index,Export Capacity (MW)
AL00-GR00,400.0
AL00-ME00,1350.0
AL00-RS00,1000.0
AT00-CH00,1200.0
AT00-CZ00,1400.0
AT00-DE00,8500.0
AT00-HU00,1800.0
AT00-SI00,1450.0
BA00-HR00,750.0
BA00-ME00,1300.0
BA00-RS00,1710.0
BE00-DE00,1000.0
BE00-LU00,680.0
BE00-NL00,3400.0
BG00-GR00,1700.0
BG00-MK00,500.0
BG00-RO00,1500.0
BG00-RS00,810.0
BG00-TR00,4000.0
CY00-GR03,1000.0
CZ00-DE00,2100.0
CZ00-SK00,2300.0
DE00-DEKF,400.0
DE00-DKE1,1200.0
DE00-DKW1,3500.0
DE00-LU00,2300.0
DE00-NL00,6000.0
DE00-NOS0,1400.0
DE00-SE04,2015.0
DEKF-DKKF,400.0
DKE1-DKKF,400.0
DKE1-DKW1,600.0
DKE1-PL00,600.0
DKE1-SE04,3200.0
DKW1-NL00,700.0
DKW1-NOS0,1640.0
DKW1-SE03,715.0
DKW1-UK00,1400.0
EE00-LV00,1100.0
ES00-FR00,8000.0
ES00-PT00,4700.0
FI00-SE01,2000.0
FI00-SE02,1000.0
FI00-SE03,1200.0
FR00-IT00,5100.0
FR00-LU00,380.0
FR00-UK00,5400.0
FR15-IT00,70.0
GR00-IT00,500.0
GR00-MA00,2000.0
GR00-MK00,2100.0
GR00-TR00,3260.0
HR00-HU00,1700.0
HR00-RS00,1580.0
HR00-SI00,2000.0
HU00-RO00,1000.0
HU00-RS00,1180.0
HU00-SI00,1200.0
HU00-SK00,2300.0
HU00-UA01,450.0
IE00-UK00,1754.0
IE00-UKNI,1250.0
IT00-ME00,600.0
IT00-MT00,200.0
IT00-SI00,805.0
LT00-LV00,950.0
LT00-PL00,1200.0
LT00-SE04,700.0
MA00-ES00,600.0
ME00-RS00,580.0
MK00-RS00,1450.0
NL00-NOS0,700.0
NL00-UK00,3000.0
NOM1-NON1,1300.0
NOM1-NOS0,1400.0
NOM1-SE02,600.0
NON1-SE01,700.0
NON1-SE02,250.0
NOS0-SE03,2145.0
PL00-SE04,600.0
RO00-RS00,2000.0
RO00-UA01,150.0
RU00-LV00,300.0
RU00-NON1,50.0
SE01-SE02,3300.0
SE02-SE03,8900.0
SE03-LV00,500.0
SE03-SE04,6200.0
SK00-UA01,650.0
TN00-IT00,600.0
UK00-UKNI,1150.0
DE00-CH00,3850.0
FI00-EE00,2000.0
GR03-GR00,2800.0
FR00-BE00,6300.0
UK00-NOS0,4200.0
MK00-AL00,2000.0
IT00-AT00,1450.0
FR00-CH00,6200.0
PL00-CZ00,1800.0
FR00-DE00,4800.0
SK00-PL00,1490.0
UK00-BE00,3800.0
IT00-CH00,2900.0
PL00-DE00,4500.0
