index,Distributed Energy_2050_Export Capacity (MW),Distributed Energy_2050_Export Capacity (MW),Distributed Energy_2050_Export Capacity (MW),DistributedEnergy_2050.csv_Export Capacity (MW),Global Ambition_2050_Export Capacity (MW),Global Ambition_2050_Export Capacity (MW),Global Ambition_2050_Export Capacity (MW),GlobalAmbition_2050.csv_Export Capacity (MW),Distributed Energy_2050_Import Capacity (MW),Distributed Energy_2050_Import Capacity (MW),Distributed Energy_2050_Import Capacity (MW),DistributedEnergy_2050.csv_Import Capacity (MW),Global Ambition_2050_Import Capacity (MW),Global Ambition_2050_Import Capacity (MW),Global Ambition_2050_Import Capacity (MW),GlobalAmbition_2050.csv_Import Capacity (MW)
AL00-GR00,900.0,900.0,900.0,900.0,400.0,400.0,400.0,400.0,900.0,900.0,900.0,900.0,400.0,400.0,400.0,400.0
AL00-ME00,2850.0,2850.0,2850.0,2850.0,1350.0,1350.0,1350.0,1350.0,2850.0,2850.0,2850.0,2850.0,1350.0,1350.0,1350.0,1350.0
AL00-RS00,500.0,500.0,500.0,500.0,1000.0,1000.0,1000.0,1000.0,500.0,500.0,500.0,500.0,1000.0,1000.0,1000.0,1000.0
AT00-CH00,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0
AT00-CZ00,2900.0,2900.0,2900.0,2900.0,1400.0,1400.0,1400.0,1400.0,2900.0,2900.0,2900.0,2900.0,1400.0,1400.0,1400.0,1400.0
AT00-DE00,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0
AT00-HU00,800.0,800.0,800.0,800.0,1800.0,1800.0,1800.0,1800.0,800.0,800.0,800.0,800.0,1800.0,1800.0,1800.0,1800.0
AT00-SI00,950.0,950.0,950.0,950.0,1450.0,1450.0,1450.0,1450.0,950.0,950.0,950.0,950.0,1450.0,1450.0,1450.0,1450.0
BA00-HR00,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0
BA00-ME00,2800.0,2800.0,2800.0,2800.0,1300.0,1300.0,1300.0,1300.0,2750.0,2750.0,2750.0,2750.0,1250.0,1250.0,1250.0,1250.0
BA00-RS00,4340.0,4340.0,4340.0,4340.0,1710.0,1710.0,1710.0,1710.0,3210.0,3210.0,3210.0,3210.0,1000.0,1000.0,1000.0,1000.0
BE00-DE00,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
BE00-LU00,680.0,680.0,680.0,680.0,680.0,680.0,680.0,680.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0
BE00-NL00,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4400.0,4400.0,4400.0,4400.0,4400.0,4400.0,4400.0,4400.0
BE00-UK00,1000.0,1000.0,1000.0,1000.0,,,,,1000.0,1000.0,1000.0,1000.0,,,,
BG00-GR00,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0
BG00-MK00,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0
BG00-RO00,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0
BG00-RS00,810.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0
BG00-TR00,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,3200.0,3200.0,3200.0,3200.0,3200.0,3200.0,3200.0,3200.0
CY00-GR03,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
CZ00-DE00,2600.0,2600.0,2600.0,2600.0,2100.0,2100.0,2100.0,2100.0,2000.0,2000.0,2000.0,2000.0,1500.0,1500.0,1500.0,1500.0
CZ00-SK00,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0
DE00-DEKF,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0
DE00-DKE1,2200.0,2200.0,2200.0,2200.0,1200.0,1200.0,1200.0,1200.0,2185.0,2185.0,2185.0,2185.0,1185.0,1185.0,1185.0,1185.0
DE00-DKW1,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0
DE00-LU00,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0
DE00-NL00,5000.0,5000.0,5000.0,5000.0,6000.0,6000.0,6000.0,6000.0,5000.0,5000.0,5000.0,5000.0,6000.0,6000.0,6000.0,6000.0
DE00-NOS0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0
DE00-SE04,3515.0,3515.0,3515.0,3515.0,2015.0,2015.0,2015.0,2015.0,3515.0,3515.0,3515.0,3515.0,2015.0,2015.0,2015.0,2015.0
DEKF-DKKF,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0
DKE1-DKKF,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
