Datetime,CH01,CH02,CH03,CH04,CH05,CH06,CH07
01.01.2009 00:00,0,0,0,0,0,0,0
01.01.2009 01:00,0,0,0,0,0,0,0
01.01.2009 02:00,0,0,0,0,0,0,0
01.01.2009 03:00,0,0,0,0,0,0,0
01.01.2009 04:00,0,0,0,0,0,0,0
01.01.2009 05:00,0,0,0,0,0,0,0
01.01.2009 06:00,0,0,0,0,0,0,0
01.01.2009 07:00,0,0,0,0,0.00682,0,0
01.01.2009 08:00,0.08565,0.08032,0.08438,0.07276,0.13961,0.06108,0.07159
01.01.2009 09:00,0.13851,0.14398,0.13546,0.15602,0.14898,0.11543,0.12132
01.01.2009 10:00,0.15668,0.1582,0.17751,0.18576,0.11697,0.11867,0.15833
01.01.2009 11:00,0.16354,0.16343,0.21125,0.20605,0.11974,0.13759,0.16686
01.01.2009 12:00,0.1697,0.16376,0.21204,0.19304,0.11585,0.14069,0.15895
01.01.2009 13:00,0.18394,0.17069,0.18468,0.15198,0.11869,0.14744,0.16441
01.01.2009 14:00,0.15283,0.14192,0.11235,0.07595,0.08824,0.11707,0.10843
01.01.2009 15:00,0.06113,0.03679,0.02262,0.00807,0.02076,0.03288,0.03335
01.01.2009 16:00,0,0,0,0,0,0,0
01.01.2009 17:00,0,0,0,0,0,0,0
01.01.2009 18:00,0,0,0,0,0,0,0
01.01.2009 19:00,0,0,0,0,0,0,0
01.01.2009 20:00,0,0,0,0,0,0,0
01.01.2009 21:00,0,0,0,0,0,0,0
01.01.2009 22:00,0,0,0,0,0,0,0
01.01.2009 23:00,0,0,0,0,0,0,0
02.01.2009 00:00,0,0,0,0,0,0,0
02.01.2009 01:00,0,0,0,0,0,0,0
02.01.2009 02:00,0,0,0,0,0,0,0
02.01.2009 03:00,0,0,0,0,0,0,0
02.01.2009 04:00,0,0,0,0,0,0,0
02.01.2009 05:00,0,0,0,0,0,0,0
02.01.2009 06:00,0,0,0,0,0,0,0
02.01.2009 07:00,0,0,0,0,0.00634,0,0
02.01.2009 08:00,0.06829,0.07413,0.09192,0.08952,0.0774,0.06841,0.11156
02.01.2009 09:00,0.16499,0.16976,0.17993,0.18981,0.15094,0.15832,0.24574
02.01.2009 10:00,0.1676,0.15481,0.02739,0.06853,0.18439,0.2048,0.38657
02.01.2009 11:00,0.23112,0.2117,0.20622,0.19975,0.21593,0.1906,0.36356
02.01.2009 12:00,0.15864,0.10302,0.02562,0.032,0.12056,0.07789,0.38043
02.01.2009 13:00,0.19643,0.17664,0.18842,0.16238,0.1688,0.16698,0.317
02.01.2009 14:00,0.11078,0.06209,0.01423,0.01405,0.05526,0.04418,0.20935
02.01.2009 15:00,0.05787,0.04507,0.03841,0.02871,0.02732,0.03737,0.06926
02.01.2009 16:00,0,0,0,0,0,0,0
02.01.2009 17:00,0,0,0,0,0,0,0
02.01.2009 18:00,0,0,0,0,0,0,0
02.01.2009 19:00,0,0,0,0,0,0,0
02.01.2009 20:00,0,0,0,0,0,0,0
02.01.2009 21:00,0,0,0,0,0,0,0
02.01.2009 22:00,0,0,0,0,0,0,0
02.01.2009 23:00,0,0,0,0,0,0,0
03.01.2009 00:00,0,0,0,0,0,0,0
03.01.2009 01:00,0,0,0,0,0,0,0
03.01.2009 02:00,0,0,0,0,0,0,0
03.01.2009 03:00,0,0,0,0,0,0,0
03.01.2009 04:00,0,0,0,0,0,0,0
