t,CH01,CH02,CH03,CH04,CH05,CH06,CH07
t_1,0.541,0.035,0.035,0.035,0.001,0.018,0.001
t_2,0.518,0.053,0.053,0.053,0.0,0.027,0.0
t_3,0.492,0.097,0.097,0.097,0.0,0.049,0.0
t_4,0.417,0.11,0.11,0.11,0.0,0.055,0.0
t_5,0.343,0.109,0.109,0.109,0.0,0.055,0.0
t_6,0.265,0.145,0.145,0.145,0.0,0.073,0.0
t_7,0.192,0.14,0.14,0.14,0.0,0.07,0.0
t_8,0.13,0.123,0.123,0.123,0.0,0.062,0.0
t_9,0.072,0.085,0.085,0.085,0.0,0.043,0.0
t_10,0.167,0.032,0.032,0.032,0.0,0.016,0.0
t_11,0.061,0.018,0.018,0.018,0.0,0.009,0.0
t_12,0.013,0.016,0.016,0.016,0.0,0.008,0.0
t_13,0.004,0.023,0.023,0.023,0.0,0.012,0.0
t_14,0.002,0.026,0.026,0.026,0.0,0.013,0.0
t_15,0.005,0.029,0.029,0.029,0.0,0.015,0.0
t_16,0.029,0.04,0.04,0.04,0.003,0.022,0.003
t_17,0.13,0.054,0.054,0.054,0.012,0.033,0.012
t_18,0.181,0.078,0.078,0.078,0.017,0.048,0.017
t_19,0.12,0.08,0.08,0.08,0.017,0.049,0.017
t_20,0.043,0.111,0.111,0.111,0.014,0.063,0.014
t_21,0.009,0.105,0.105,0.105,0.016,0.061,0.016
t_22,0.007,0.083,0.083,0.083,0.024,0.054,0.024
t_23,0.033,0.061,0.061,0.061,0.036,0.049,0.036
t_24,0.06,0.035,0.035,0.035,0.043,0.039,0.043
t_25,0.138,0.016,0.016,0.016,0.05,0.033,0.05
t_26,0.217,0.004,0.004,0.004,0.061,0.033,0.061
t_27,0.272,0.002,0.002,0.002,0.072,0.037,0.072
t_28,0.347,0.001,0.001,0.001,0.109,0.055,0.109
t_29,0.352,0.002,0.002,0.002,0.17,0.086,0.17
t_30,0.362,0.002,0.002,0.002,0.223,0.113,0.223
t_31,0.386,0.002,0.002,0.002,0.252,0.127,0.252
t_32,0.427,0.001,0.001,0.001,0.246,0.124,0.246
t_33,0.472,0.0,0.0,0.0,0.181,0.091,0.181
t_34,0.426,0.001,0.001,0.001,0.124,0.063,0.124
t_35,0.501,0.002,0.002,0.002,0.141,0.072,0.141
t_36,0.605,0.003,0.003,0.003,0.21,0.107,0.21
t_37,0.657,0.004,0.004,0.004,0.243,0.124,0.243
t_38,0.667,0.002,0.002,0.002,0.254,0.128,0.254
t_39,0.701,0.016,0.016,0.016,0.263,0.14,0.263
t_40,0.723,0.047,0.047,0.047,0.311,0.179,0.311
t_41,0.741,0.116,0.116,0.116,0.336,0.226,0.336
t_42,0.72,0.181,0.181,0.181,0.33,0.256,0.33
t_43,0.694,0.244,0.244,0.244,0.313,0.279,0.313
t_44,0.692,0.501,0.501,0.501,0.294,0.398,0.294
t_45,0.685,0.569,0.569,0.569,0.273,0.421,0.273
t_46,0.681,0.661,0.661,0.661,0.217,0.439,0.217
t_47,0.696,0.681,0.681,0.681,0.127,0.404,0.127
t_48,0.709,0.697,0.697,0.697,0.108,0.403,0.108
t_49,0.715,0.7,0.7,0.7,0.088,0.394,0.088
t_50,0.719,0.7,0.7,0.7,0.076,0.388,0.076
t_51,0.716,0.701,0.701,0.701,0.067,0.384,0.067
t_52,0.709,0.465,0.465,0.465,0.072,0.269,0.072
t_53,0.724,0.45,0.45,0.45,0.092,0.271,0.092
t_54,0.761,0.5,0.5,0.5,0.12,0.31,0.12
t_55,0.784,0.589,0.589,0.589,0.146,0.368,0.146
t_56,0.84,0.691,0.691,0.691,0.162,0.427,0.162
t_57,0.862,0.826,0.826,0.826,0.137,0.482,0.137
t_58,0.903,0.829,0.829,0.829,0.098,0.464,0.098
t_59,0.929,0.808,0.808,0.808,0.084,0.446,0.084
