t,AT00,BE00,CZ00,DE00,DKE1,DKW1,ES00,FR00,HR00,HU00,LU00,NL00,NOM1,NON1,NOS0,PL00,PT00,SE01,SE02,SE03,SE04,SI00,SK00,UK00,IT00
t_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_8,0,0,0,0,0,0,0,0,0.040550416,0.008701923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019563255
t_9,0.139819806,0,0.040502741,0.008695342,0,0,0.06199499,0.058092933,0.155797861,0.058258816,0,0,0,0,0,0.014614662,0,0,0,0,0,0.232341402,0.101326142,0,0.181997583
t_10,0.241264439,0.020761394,0.118936694,0.045115773,0.040079164,0.052363118,0.24092237,0.188467597,0.257933278,0.107692502,0.012666136,0.023264214,0,0,0,0.049178848,0.092087302,0,0,0.002466773,0.029175554,0.387411028,0.161773616,0.005500379,0.332094581
t_11,0.333960348,0.05975223,0.213107992,0.085940731,0.094120374,0.105784355,0.389829872,0.305548016,0.327360145,0.136506738,0.029694239,0.071846544,0.000428346,0,0.054415917,0.077685087,0.19275368,0,0,0.016239186,0.065253928,0.451922799,0.183224541,0.021190502,0.425311313
t_12,0.37711481,0.096107396,0.22333067,0.113746128,0.122095411,0.112486959,0.486896767,0.39049032,0.361076214,0.155954836,0.04442273,0.105110371,0.13904434,0.004765459,0.075962895,0.08403862,0.299671316,0,0.001006833,0.025049257,0.085322684,0.45709882,0.175100426,0.035312656,0.454320977
t_13,0.341477775,0.110334406,0.171998646,0.116550041,0.124391197,0.094945082,0.535880134,0.426765226,0.352550164,0.150378126,0.058038907,0.103702958,0.121504333,0.001947386,0.065384532,0.073182575,0.418990265,0,0.000213214,0.019466031,0.078343084,0.43101488,0.138456244,0.042775889,0.435670919
t_14,0.262354145,0.089044848,0.115047285,0.090370135,0.111698334,0.053305053,0.512507444,0.403042116,0.283243453,0.104636693,0.050125039,0.073106307,0,0,0.035500641,0.049116196,0.454896164,0,0,0.004628084,0.05199257,0.352623555,0.088604811,0.040141631,0.351762257
t_15,0.156506896,0.053141452,0.047174525,0.047170862,0.059686586,0.006570675,0.42942112,0.32442774,0.168978045,0.045594208,0.029184115,0.033564125,0,0,0,0.01343828,0.369602482,0,0,0,0.003889249,0.221352844,0.03418612,0.030519701,0.215448387
t_16,0.004350085,0.017882183,0,0.006873705,0,0,0.313638955,0.19333391,0.046155697,0,0.006736915,0,0,0,0,0,0.239165556,0,0,0,0,0.038066487,0,0.011879849,0.086959595
t_17,0,0,0,0,0,0,0.150458847,0.023161334,0,0,0,0,0,0,0,0,0.098958695,0,0,0,0,0,0,0,0
t_18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00331664,0,0,0,0,0,0,0,0
t_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_32,0,0,0,0,0,0,0,0,0.047292182,0.032154246,0,0,0,0,0,0.000121287,0,0,0,0,0,0,0.005334887,0,0.020079202
t_33,0.110201585,0,0.084687521,0.0209632,0,0,0.017167718,0.042099309,0.170347061,0.135305556,0.002534618,0,0,0,0,0.030868314,0,0,0,0,0,0.180925056,0.125278343,0,0.094702383
t_34,0.222898332,0.19746405,0.168588707,0.084439182,0.104168236,0.073635121,0.049961714,0.17154555,0.291009889,0.216318754,0.216798137,0.029811163,0,0,0,0.074617323,0.101157972,0,0,0.006740419,0.019220906,0.320568001,0.192617362,0.00340062,0.172858957
t_35,0.312961729,0.352026564,0.210508639,0.147951332,0.120379941,0.138795327,0.082462259,0.275509591,0.374031354,0.251936153,0.341225856,0.060345894,0.000483316,0,0.031340837,0.102252536,0.225559247,0,0.006029798,0.035170206,0.049537524,0.414765951,0.244605761,0.023578451,0.236367712
t_36,0.318152863,0.456542675,0.2181633,0.18686512,0.130204925,0.176031292,0.113840587,0.34235547,0.389630255,0.255363355,0.455437485,0.093113084,0.138660228,0.003906907,0.052798185,0.105751852,0.334265492,0,0.015747995,0.048062657,0.069658537,0.399565989,0.270970083,0.056137941,0.269637002
t_37,0.267899198,0.491700737,0.190534036,0.191531114,0.115048973,0.13873201,0.138244276,0.346301564,0.349934053,0.218836626,0.511365411,0.146834157,0.122739226,0.002236416,0.056528578,0.08830435,0.386729177,0,0.011974689,0.040711698,0.078764952,0.304023462,0.236157902,0.082167872,0.272760654
t_38,0.202156469,0.453185676,0.133192301,0.157682046,0.077039968,0.077451835,0.14719284,0.28142156,0.277385184,0.158567736,0.459943886,0.192393901,0,0,0.039459553,0.056507301,0.328039084,0,0,0.022544897,0.062803462,0.226189688,0.166791521,0.086338577,0.234660321
t_39,0.114162532,0.32504694,0.063918619,0.089879926,0.043471064,0.026847487,0.14335036,0.191020997,0.167345653,0.078391032,0.327567909,0.166286982,0,0,0.001037798,0.014177566,0.253738901,0,0,0,0.000909148,0.143068065,0.078660888,0.075192193,0.150758883
t_40,0.009630385,0.150321878,0,0.018341285,0,0,0.125051953,0.091660873,0.049231719,0,0.149031553,0,0,0,0,0,0.214465886,0,0,0,0,0.033080118,0,0.038074889,0.058123259
t_41,0,0,0,0,0,0,0.068673282,0.001297718,0,0,0,0,0,0,0,0,0.118900363,0,0,0,0,0,0,0,0
t_42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012880522,0,0,0,0,0,0,0,0
t_43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
