t,AT00,BE00,CZ00,DE00,DKE1,DKW1,ES00,FR00,HR00,HU00,LU00,NL00,NOM1,NON1,NOS0,PL00,PT00,SE01,SE02,SE03,SE04,SI00,SK00,UK00,IT00
t_1,0,0.95,0,0.948714351,0.948674998,0.920239743,0.596736927,0.948066097,0.061857024,0,0,0.95,0.38989224,0.437300116,0.935328133,0.949952923,0.900039465,0.570842678,0.262775421,0.711577109,0.949810399,0,0,0.937381323,0.01569674
t_2,0,0.95,0,0.946871482,0.949752845,0.799114406,0.395294596,0.93681866,0.097411423,0,0,0.949995611,0.254929748,0.4235658,0.880255784,0.94982925,0.893441006,0.494297477,0.592347614,0.776185163,0.949984851,0,0,0.935668174,0.024904468
t_3,0,0.94999926,0,0.940110811,0.949990675,0.655699261,0.32385313,0.93957061,0.103365452,0,0,0.949952895,0.439910534,0.401876468,0.873854163,0.949692305,0.866837635,0.448226258,0.535159873,0.833590223,0.949999735,0.002901832,0,0.934492326,0.038353805
t_4,0,0.95,0,0.933075171,0.949977304,0.725341613,0.392011913,0.945615766,0.107010228,0,0,0.949884949,0.527078281,0.348742141,0.925555021,0.949362021,0.86328781,0.346289727,0.470065676,0.934410243,0.95,0.008237362,0,0.937804063,0.0398938
t_5,0,0.95,0,0.864103769,0.949905344,0.923678224,0.315576773,0.948938837,0.104987622,0,0,0.949990599,0.459355522,0.297569839,0.948948651,0.949961656,0.850151694,0.278566276,0.5938837,0.946936901,0.949999785,0,0,0.937847009,0.044153174
t_6,0,0.95,0,0.807093056,0.949970764,0.92437031,0.271912718,0.944378573,0.131183001,0,0,0.949960152,0.363883378,0.296051519,0.949935254,0.949999392,0.827232905,0.299679325,0.497224234,0.949806008,0.95,0,0,0.93783588,0.049464339
t_7,0,0.949999861,0,0.8076498,0.94994425,0.895552718,0.369876396,0.947685585,0.191677468,0,0,0.949999735,0.342428381,0.309397479,0.945992694,0.95,0.753255658,0.178502764,0.830883615,0.949936091,0.95,0,0,0.937830813,0.04310307
t_8,0,0.95,0,0.810975075,0.949851153,0.84760749,0.476631376,0.944964025,0.266176624,0,0,0.949999756,0.415895022,0.32155892,0.916965098,0.95,0.599116001,0.101913797,0.92475419,0.948559437,0.95,0.009895983,0,0.937447132,0.036390947
t_9,0,0.949994774,0,0.834497747,0.949670701,0.828079427,0.60047994,0.944782856,0.363702813,0,0,0.949973944,0.582832885,0.328881309,0.877013994,0.95,0.408779118,0.242247044,0.942296955,0.938605875,0.95,0.047630342,0,0.937763914,0.042161095
t_10,0,0.949995921,0,0.852131887,0.949563848,0.80120211,0.719580742,0.94533727,0.435629107,0,0,0.949919895,0.621240799,0.328763554,0.76601729,0.95,0.262824099,0.323586548,0.947567305,0.949462011,0.949994827,0.109657567,0,0.937861337,0.065363842
