t,AT00,BE00,CZ00,DE00,DKE1,DKW1,ES00,FR00,HR00,HU00,LU00,NL00,NOM1,NON1,NOS0,PL00,PT00,SE01,SE02,SE03,SE04,SI00,SK00,UK00,IT00
t_1,0.09247828,0.011034997,0.168930076,0.065628376,0.11253871,0.225284825,0.136881473,0.145193985,0.268439813,0.157261409,0.011886491,0.015877574,0.518271974,0.638040742,0.370632569,0.237899316,0.166001412,0.598615303,0.570110753,0.307063802,0.077703762,0.124267212,0.198581025,0.032250818,0.116558908
t_2,0.066636383,0.012441507,0.158865892,0.076731097,0.140554122,0.216146368,0.125381886,0.135340449,0.313669682,0.129334484,0.089531529,0.01312593,0.42638452,0.659375422,0.398538041,0.249538769,0.145531826,0.580738561,0.590097713,0.32494412,0.08664404,0.112605523,0.170495684,0.033829919,0.125070676
t_3,0.043922352,0.013436137,0.152028643,0.086147497,0.151111766,0.194131521,0.107792812,0.135038392,0.349378828,0.082554527,0.138856773,0.011329716,0.40378262,0.695091776,0.418680957,0.245236238,0.122411585,0.585916219,0.608585177,0.326810055,0.088918632,0.099289485,0.142044972,0.037769444,0.136747635
t_4,0.033440118,0.010513253,0.145898578,0.093853062,0.138220165,0.169456436,0.094474555,0.138555921,0.37654701,0.05138352,0.127080562,0.009696851,0.383555055,0.701238079,0.383847753,0.242782927,0.11045125,0.597871785,0.632721607,0.332074973,0.109615436,0.083076832,0.123584501,0.040243676,0.15352237
t_5,0.028932347,0.008789778,0.138614157,0.106340596,0.11635101,0.157527671,0.086696082,0.140646023,0.416138204,0.024544847,0.102824287,0.011472656,0.361466969,0.674754912,0.298689209,0.242436231,0.104099728,0.605420742,0.65785627,0.340571952,0.136190527,0.06445021,0.10435482,0.041760496,0.176881131
t_6,0.037120214,0.008417076,0.127182858,0.112337801,0.106674535,0.14781673,0.08601007,0.142037191,0.485480942,0.012434072,0.082229495,0.014766991,0.336140331,0.645616631,0.218963021,0.244574309,0.113066356,0.627471049,0.692012556,0.351109162,0.146739056,0.046126694,0.084469132,0.041780705,0.20921597
t_7,0.054078073,0.009119993,0.120284126,0.113246461,0.097036369,0.124581954,0.085667663,0.153187726,0.540191197,0.007256245,0.068062807,0.016346804,0.313458047,0.628020172,0.163284063,0.251162815,0.121558137,0.650256904,0.715161992,0.341545094,0.141618334,0.035838694,0.068680856,0.044604257,0.233742083
t_8,0.071966484,0.009544504,0.123273981,0.111126424,0.083643081,0.108726047,0.086857334,0.161783413,0.583640067,0.002933844,0.063832252,0.015492486,0.271376503,0.614724467,0.130525774,0.247690797,0.127830351,0.656221827,0.723562454,0.327847318,0.147303229,0.029044604,0.058957741,0.048751462,0.270348296
t_9,0.082791684,0.007176553,0.132653663,0.102389491,0.071335313,0.097942161,0.08913975,0.166328432,0.640717992,0.001251826,0.039231176,0.013066191,0.268235546,0.619117915,0.103964288,0.225198459,0.130666094,0.648578338,0.730447053,0.305471375,0.157556646,0.023071084,0.044147883,0.049654597,0.308479105
t_10,0.092511282,0.006406474,0.120751625,0.091798636,0.066051405,0.089065263,0.086198781,0.167417489,0.688589952,0.001194476,0.006421214,0.014766799,0.269971234,0.614126759,0.087735819,0.200767649,0.137885519,0.63486115,0.73160244,0.290835352,0.161585945,0.01678339,0.025515261,0.049569133,0.350249646
t_11,0.079680266,0.010885916,0.088978163,0.062166228,0.062076197,0.114153701,0.067008913,0.14147258,0.672057329,0.00439807,0.000224147,0.016010344,0.428813011,0.654522794,0.104075313,0.188060761,0.131004755,0.613802474,0.709088396,0.291822803,0.183501924,0.016252692,0.01380457,0.048585644,0.410482494
t_12,0.086297352,0.020519323,0.092116078,0.052740503,0.043795316,0.100003937,0.063498546,0.123027194,0.655885921,0.014111575,0.000603388,0.025256857,0.409680961,0.642086007,0.072401767,0.199488182,0.161454594,0.536592124,0.651173891,0.23495029,0.139235389,0.01620012,0.014274109,0.043091604,0.487269704
t_13,0.116821666,0.030676695,0.107409429,0.051465147,0.028263191,0.084827715,0.081910247,0.108084838,0.603054096,0.030147227,0.005366052,0.03444558,0.389451887,0.649042367,0.06303376,0.215608393,0.178296306,0.516509374,0.632056812,0.210038553,0.087280138,0.018606249,0.023528942,0.03935144,0.53019218
t_14,0.120368143,0.03376306,0.111939592,0.052551332,0.022813387,0.073752681,0.108864707,0.101335229,0.609311469,0.040043645,0.011004493,0.044035081,0.347600939,0.639356709,0.063270487,0.224241963,0.184821738,0.49463493,0.635599063,0.214630804,0.080831514,0.017374541,0.040506066,0.032106981,0.530590539
t_15,0.120237371,0.033319558,0.113075969,0.05590621,0.020959966,0.066950671,0.12229521,0.107982626,0.563516669,0.031954231,0.018244935,0.045371801,0.310904501,0.618089463,0.062961194,0.244932623,0.148726588,0.473610419,0.648528019,0.23488694,0.076094313,0.011270218,0.060357932,0.031163629,0.502275276
t_16,0.147880423,0.022493658,0.116205432,0.057314864,0.023901579,0.063776905,0.112407453,0.118613479,0.533837767,0.031714523,0.017232554,0.042460575,0.321404505,0.614892197,0.063458533,0.266887448,0.124569446,0.487111056,0.660338578,0.251954718,0.086379605,0.010252077,0.074723964,0.03199539,0.465191412
t_17,0.184110599,0.022932439,0.127293989,0.056510249,0.021606821,0.057733228,0.096657221,0.146568684,0.4932423,0.034922359,0.01902773,0.043715463,0.325888331,0.596702951,0.062158891,0.264417087,0.111522607,0.491785365,0.652371174,0.257269287,0.095982739,0.013190852,0.091791545,0.036602503,0.412745517
t_18,0.231153176,0.030345729,0.124487182,0.049986776,0.019878598,0.049713716,0.090686956,0.172268659,0.430244881,0.044002505,0.021534885,0.04329866,0.366859609,0.605801874,0.064007401,0.242911832,0.097069872,0.518809543,0.655879806,0.262958698,0.100756344,0.016193433,0.130059038,0.04345677,0.383589318
t_19,0.266884861,0.035490223,0.101777279,0.042925946,0.018089075,0.041191419,0.088385729,0.181461088,0.349423575,0.078029503,0.028491821,0.041327212,0.402569592,0.598837606,0.063485435,0.214503091,0.078527048,0.538398757,0.650973022,0.275101838,0.106536043,0.017014184,0.193387346,0.052359217,0.357601213
t_20,0.313815858,0.036661363,0.085243409,0.03652355,0.020039778,0.037587159,0.08588842,0.180996196,0.307830705,0.157948864,0.040080161,0.038330061,0.422829271,0.58503334,0.065625739,0.183988553,0.067806148,0.552492358,0.645660598,0.290311515,0.108244017,0.020273496,0.259665881,0.060136119,0.343952608
t_21,0.321523905,0.035524367,0.06632696,0.031938303,0.023893901,0.037465634,0.083923232,0.179019989,0.302738063,0.252363076,0.06115495,0.035665979,0.463598337,0.574865265,0.074403655,0.156920782,0.07068632,0.565532808,0.648803229,0.31473829,0.10432371,0.021904232,0.271744133,0.065316661,0.337132978
t_22,0.294210988,0.033598319,0.057442947,0.028609317,0.024328088,0.035295682,0.082088916,0.173856914,0.311567215,0.30485957,0.078149872,0.032639322,0.48473479,0.561361394,0.092565396,0.132908366,0.067226534,0.573444996,0.64904617,0.331619825,0.098368395,0.024162263,0.26268079,0.068284872,0.325573608
t_23,0.255509961,0.033105129,0.05594454,0.022614563,0.043839501,0.036494334,0.082999929,0.159601348,0.26462378,0.275407858,0.109090772,0.038085217,0.653374146,0.625865817,0.194121653,0.1144485,0.057740326,0.578189345,0.663670688,0.353662566,0.103857704,0.022988879,0.197229137,0.058807842,0.297840401
