country,technology,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
CH,nuclear,0.95,0.95,0.95,0.85,0.85,0.85,0.85,0.85,0.85,0.95,0.95,0.95
CZ,lignite,0.96,0.91,0.89,0.76,0.67,0.65,0.65,0.67,0.77,0.84,0.91,0.86
DE,lignite,0.9,0.91,0.86,0.83,0.78,0.81,0.82,0.83,0.83,0.82,0.87,0.76
ES,lignite,0.64,0.61,0.59,0.49,0.47,0.47,0.55,0.54,0.54,0.58,0.61,0.57
HU,lignite,0.89,0.82,0.86,0.48,0.58,0.58,0.82,0.92,0.92,0.92,0.89,0.77
PL,lignite,0.71,0.71,0.68,0.63,0.66,0.68,0.74,0.7,0.69,0.64,0.69,0.66
SI,lignite,1,1,0.89,0.71,0.56,0.56,0.94,0.87,0.84,0.99,0.92,0.89
SK,lignite,1,1,0.91,0.77,0.71,0.71,0.69,0.53,0.55,0.88,1,1
PT,hardcoal,1,0.97,0.97,0.86,0.78,0.78,0.81,0.8,0.81,0.89,0.96,0.96
SI,gas,1,1,1,1,1,1,1,1,1,1,1,1
Default,biomass,1,1,1,1,1,1,1,1,1,1,1,1
Default,hardcoal,0.93,0.91,0.91,0.8,0.73,0.73,0.76,0.75,0.76,0.83,0.9,0.9
Default,gas,0.93,0.91,0.91,0.8,0.73,0.73,0.76,0.75,0.76,0.83,0.9,0.9
Default,chp,0.93,0.91,0.91,0.8,0.73,0.73,0.76,0.75,0.76,0.83,0.9,0.9
Default,Geothermal,0.88,0.86,0.86,0.75,0.68,0.68,0.71,0.7,0.71,0.78,0.85,0.85
Default,psp_close,0.966,0.966,0.966,0.966,0.966,0.966,0.966,0.966,0.966,0.966,0.966,0.966
Default,psp_open,0.966,0.966,0.966,0.966,0.966,0.966,0.966,0.966,0.966,0.966,0.966,0.966
Default,lignite,0.74,0.8,0.83,0.7,0.65,0.71,0.72,0.7,0.69,0.77,0.81,0.75
Default,oil,0.93,0.91,0.91,0.8,0.73,0.73,0.76,0.75,0.76,0.83,0.9,0.9
Default,ror,0.966,0.966,0.966,0.966,0.966,0.966,0.966,0.966,0.966,0.966,0.966,0.966
Default,other,1,1,1,1,1,1,1,1,1,1,1,1
Default,dam,0.966,0.966,0.966,0.966,0.966,0.966,0.966,0.966,0.966,0.966,0.966,0.966
Default,nuclear,0.95,0.95,0.95,0.85,0.85,0.85,0.85,0.85,0.85,0.95,0.95,0.95
Default,battery,1,1,1,1,1,1,1,1,1,1,1,1
Default,limited_energy,1,1,1,1,1,1,1,1,1,1,1,1
Default,dsr,1,1,1,1,1,1,1,1,1,1,1,1
Default,electrolyzer,1,1,1,1,1,1,1,1,1,1,1,1
Default,CCGTresmethane,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
Default,SCGTresmethane,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
Default,CCGTCCS,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
Default,SCGTfossil,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
Default,hydrogen,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
CH,oil,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
Default,resistive_heater,1,1,1,1,1,1,1,1,1,1,1,1
Default,heat_pump,1,1,1,1,1,1,1,1,1,1,1,1
Default,TES,1,1,1,1,1,1,1,1,1,1,1,1
Default,ev_flex,1,1,1,1,1,1,1,1,1,1,1,1
Default,heat_pump_households,1,1,1,1,1,1,1,1,1,1,1,1
Default,dsrTh,1,1,1,1,1,1,1,1,1,1,1,1
Default,v2g,1,1,1,1,1,1,1,1,1,1,1,1
