node,scenario,weather_year,2030,2040,2050
AT00,DistributedEnergy,1995,96127082.06465,108401544.2469,119243291.13794
AT00,DistributedEnergy,2008,96112029.45560999,108379646.4563,119228471.00673
AT00,DistributedEnergy,2009,96171442.19872001,108416906.78303,119276316.83743
AT00,GlobalAmbition,1995,93537228.03485,106282273.27504,112565834.79447
AT00,GlobalAmbition,2008,93526025.37789,106257086.35771999,112544179.89225002
AT00,GlobalAmbition,2009,93575152.84613,106289563.35520001,112567689.93970999
BE00,DistributedEnergy,1995,110125015.87941,127053799.205,144205384.90368
BE00,DistributedEnergy,2008,110062992.31286001,126931864.5242,144043873.88606
BE00,DistributedEnergy,2009,110152193.29865,127025800.56269999,144238256.54463002
BE00,GlobalAmbition,1995,98516186.03613001,108891415.78043,116497758.28884
BE00,GlobalAmbition,2008,98461256.66081001,108793061.42919,116361745.67569001
BE00,GlobalAmbition,2009,98540154.50609,108872100.07605,116462412.52135
BG00,DistributedEnergy,1995,38032583.20745,39670969.74193,42008884.500599995
BG00,DistributedEnergy,2008,38090436.712869994,39774587.21196,42183530.94679
BG00,DistributedEnergy,2009,38094289.207509995,39733144.43171,42114395.96148999
BG00,GlobalAmbition,1995,36017805.97856,36749397.03694,36646094.91384
BG00,GlobalAmbition,2008,36039108.388610005,36800878.01882,36769496.532010004
BG00,GlobalAmbition,2009,36074022.97104,36804462.72269,36734896.88486
CH00,DistributedEnergy,1995,60146464.98105,68200789.85414001,75859445.62646
CH00,DistributedEnergy,2008,60023738.63756,68067370.97788,75705395.11872
CH00,DistributedEnergy,2009,60224435.91341,68272220.8523,75953696.16531
CH00,GlobalAmbition,1995,60146464.98105,68200789.85414001,76080172.02995999
CH00,GlobalAmbition,2008,60023738.63756,68067370.97788,75931484.30508
CH00,GlobalAmbition,2009,60224435.91341,68272220.8523,76158304.88577001
CZ00,DistributedEnergy,1995,72279645.23729001,84781814.18682,94666230.89733002
CZ00,DistributedEnergy,2008,72261582.30839,84714384.86866,94584855.51649
CZ00,DistributedEnergy,2009,72279366.65577,84767074.83714,94664909.69319999
CZ00,GlobalAmbition,1995,69580323.7141,76949247.47094,81110313.90573
CZ00,GlobalAmbition,2008,69577704.60063002,76911530.50634,81047997.70198
CZ00,GlobalAmbition,2009,69577980.76405,76932752.96697,81095151.86883
DE00,DistributedEnergy,1995,739471201.02968,838588597.69605,904536648.3937299
DE00,DistributedEnergy,2008,738930213.60436,837873205.42734,903774226.91116
DE00,DistributedEnergy,2009,739474395.9136599,838452289.9304501,904592618.4035001
DE00,GlobalAmbition,1995,693181199.1894801,771219946.5284299,822896507.48851
DE00,GlobalAmbition,2008,692808547.68431,770638753.6413699,822267537.91564
DE00,GlobalAmbition,2009,693199745.61034,771035192.8892001,822669139.36937
DEKF,DistributedEnergy,1995,0.0,0.0,0.0
DEKF,DistributedEnergy,2008,0.0,0.0,0.0
