t,charging_power_rate_[MWh]
t_6553,17466
t_6554,17466
t_6555,17466
t_6556,17443
t_6557,17335
t_6558,16930
t_6559,15413
t_6560,14219
t_6561,14655
t_6562,15230
t_6563,15345
t_6564,15352
t_6565,14747
t_6566,14939
t_6567,15291
t_6568,15291
t_6569,14617
t_6570,13239
t_6571,13583
t_6572,14816
t_6573,15911
t_6574,16501
t_6575,16570
t_6576,16876
t_6577,17466
t_6578,17466
t_6579,17466
t_6580,17443
t_6581,17335
t_6582,16930
t_6583,15413
t_6584,14219
t_6585,14655
t_6586,15230
t_6587,15345
t_6588,15352
t_6589,14747
t_6590,14939
t_6591,15291
t_6592,15291
t_6593,14617
t_6594,13239
t_6595,13583
t_6596,14816
t_6597,15911
t_6598,16501
t_6599,16570
t_6600,16876
t_6601,17466
t_6602,17466
t_6603,17466
t_6604,17443
t_6605,17335
t_6606,16930
t_6607,15413
t_6608,14219
t_6609,14655
t_6610,15230
t_6611,15345
t_6612,15352
t_6613,14747
t_6614,14939
t_6615,15291
t_6616,15291
t_6617,14617
t_6618,13239
t_6619,13583
t_6620,14816
t_6621,15911
t_6622,16501
t_6623,16570
t_6624,16876
t_6625,17466
t_6626,17466
t_6627,17466
t_6628,17443
t_6629,17335
t_6630,16930
t_6631,15413
t_6632,14219
t_6633,14655
t_6634,15230
t_6635,15345
t_6636,15352
t_6637,14747
t_6638,14939
t_6639,15291
t_6640,15291
t_6641,14617
t_6642,13239
t_6643,13583
t_6644,14816
t_6645,15911
t_6646,16501
t_6647,16570
t_6648,16876
t_6649,17466
t_6650,17466
t_6651,17466
t_6652,17443
t_6653,17335
t_6654,16930
t_6655,15413
t_6656,14219
t_6657,14655
t_6658,15230
t_6659,15345
t_6660,15352
t_6661,14747
t_6662,14939
t_6663,15291
t_6664,15291
t_6665,14617
t_6666,13239
t_6667,13583
t_6668,14816
t_6669,15911
t_6670,16501
t_6671,16570
t_6672,16876
t_6673,17113
t_6674,17182
t_6675,17351
t_6676,17374
t_6677,17381
t_6678,17251
t_6679,16991
t_6680,16317
t_6681,15505
t_6682,14227
t_6683,13897
t_6684,14433
t_6685,14663
t_6686,14426
t_6687,13936
t_6688,14227
t_6689,14342
t_6690,14671
t_6691,15054
t_6692,15796
t_6693,16164
t_6694,16363
t_6695,16309
t_6696,16493
t_6697,17037
t_6698,16991
t_6699,17213
t_6700,17297
t_6701,17351
t_6702,17282
t_6703,17198
t_6704,16815
t_6705,16309
t_6706,15505
t_6707,15046
t_6708,14801
t_6709,15237
t_6710,14847
t_6711,14403
t_6712,14426
t_6713,14655
t_6714,14832
t_6715,15360
t_6716,15988
t_6717,16401
t_6718,16654
t_6719,16914
t_6720,17121
t_6721,17466
t_6722,17466
t_6723,17466
t_6724,17443
t_6725,17335
t_6726,16930
t_6727,15413
t_6728,14219
t_6729,14655
t_6730,15230
t_6731,15345
t_6732,15352
t_6733,14747
t_6734,14939
t_6735,15291
t_6736,15291
t_6737,14617
t_6738,13239
t_6739,13583
t_6740,14816
t_6741,15911
t_6742,16501
t_6743,16570
t_6744,16876
t_6745,17466
t_6746,17466
t_6747,17466
t_6748,17443
t_6749,17335
t_6750,16930
t_6751,15413
t_6752,14219
t_6753,14655
t_6754,15230
t_6755,15345
t_6756,15352
t_6757,14747
t_6758,14939
t_6759,15291
t_6760,15291
t_6761,14617
t_6762,13239
t_6763,13583
t_6764,14816
t_6765,15911
t_6766,16501
t_6767,16570
t_6768,16876
t_6769,17466
t_6770,17466
t_6771,17466
t_6772,17443
t_6773,17335
t_6774,16930
t_6775,15413
t_6776,14219
t_6777,14655
t_6778,15230
t_6779,15345
t_6780,15352
t_6781,14747
t_6782,14939
t_6783,15291
t_6784,15291
t_6785,14617
t_6786,13239
t_6787,13583
t_6788,14816
t_6789,15911
t_6790,16501
t_6791,16570
t_6792,16876
t_6793,17466
t_6794,17466
t_6795,17466
t_6796,17443
t_6797,17335
t_6798,16930
t_6799,15413
t_6800,14219
t_6801,14655
t_6802,15230
t_6803,15345
t_6804,15352
t_6805,14747
t_6806,14939
t_6807,15291
t_6808,15291
t_6809,14617
t_6810,13239
t_6811,13583
t_6812,14816
t_6813,15911
t_6814,16501
t_6815,16570
t_6816,16876
t_6817,17466
t_6818,17466
t_6819,17466
t_6820,17443
t_6821,17335
t_6822,16930
t_6823,15413
t_6824,14219
t_6825,14655
t_6826,15230
t_6827,15345
t_6828,15352
t_6829,14747
t_6830,14939
t_6831,15291
t_6832,15291
t_6833,14617
t_6834,13239
t_6835,13583
t_6836,14816
t_6837,15911
t_6838,16501
t_6839,16570
t_6840,16876
t_6841,17113
t_6842,17182
t_6843,17351
t_6844,17374
t_6845,17381
t_6846,17251
t_6847,16991
t_6848,16317
t_6849,15505
t_6850,14227
t_6851,13897
t_6852,14433
t_6853,14663
t_6854,14426
t_6855,13936
t_6856,14227
t_6857,14342
t_6858,14671
t_6859,15054
t_6860,15796
t_6861,16164
t_6862,16363
t_6863,16309
t_6864,16493
t_6865,17037
t_6866,16991
t_6867,17213
t_6868,17297
t_6869,17351
t_6870,17282
t_6871,17198
t_6872,16815
t_6873,16309
t_6874,15505
t_6875,15046
t_6876,14801
t_6877,15237
t_6878,14847
t_6879,14403
t_6880,14426
t_6881,14655
t_6882,14832
t_6883,15360
t_6884,15988
t_6885,16401
t_6886,16654
t_6887,16914
t_6888,17121
t_6889,17466
t_6890,17466
t_6891,17466
t_6892,17443
t_6893,17335
t_6894,16930
t_6895,15413
t_6896,14219
t_6897,14655
t_6898,15230
t_6899,15345
t_6900,15352
t_6901,14747
t_6902,14939
t_6903,15291
t_6904,15291
t_6905,14617
t_6906,13239
t_6907,13583
t_6908,14816
t_6909,15911
t_6910,16501
t_6911,16570
t_6912,16876
t_6913,17466
t_6914,17466
t_6915,17466
t_6916,17443
t_6917,17335
t_6918,16930
t_6919,15413
t_6920,14219
t_6921,14655
t_6922,15230
t_6923,15345
t_6924,15352
t_6925,14747
t_6926,14939
t_6927,15291
t_6928,15291
t_6929,14617
t_6930,13239
t_6931,13583
t_6932,14816
t_6933,15911
t_6934,16501
t_6935,16570
t_6936,16876
t_6937,17466
t_6938,17466
t_6939,17466
t_6940,17443
t_6941,17335
t_6942,16930
t_6943,15413
t_6944,14219
t_6945,14655
t_6946,15230
t_6947,15345
t_6948,15352
t_6949,14747
t_6950,14939
t_6951,15291
t_6952,15291
t_6953,14617
t_6954,13239
t_6955,13583
t_6956,14816
t_6957,15911
t_6958,16501
t_6959,16570
t_6960,16876
t_6961,17466
t_6962,17466
t_6963,17466
t_6964,17443
t_6965,17335
t_6966,16930
t_6967,15413
t_6968,14219
t_6969,14655
t_6970,15230
t_6971,15345
t_6972,15352
t_6973,14747
t_6974,14939
t_6975,15291
t_6976,15291
t_6977,14617
t_6978,13239
t_6979,13583
t_6980,14816
t_6981,15911
t_6982,16501
t_6983,16570
t_6984,16876
t_6985,17466
t_6986,17466
t_6987,17466
t_6988,17443
t_6989,17335
t_6990,16930
t_6991,15413
t_6992,14219
t_6993,14655
t_6994,15230
t_6995,15345
t_6996,15352
t_6997,14747
t_6998,14939
t_6999,15291
t_7000,15291
t_7001,14617
t_7002,13239
t_7003,13583
t_7004,14816
t_7005,15911
t_7006,16501
t_7007,16570
t_7008,16876
t_7009,17113
t_7010,17182
t_7011,17351
t_7012,17374
t_7013,17381
t_7014,17251
t_7015,16991
t_7016,16317
t_7017,15505
t_7018,14227
t_7019,13897
t_7020,14433
t_7021,14663
t_7022,14426
t_7023,13936
t_7024,14227
t_7025,14342
t_7026,14671
t_7027,15054
t_7028,15796
t_7029,16164
t_7030,16363
t_7031,16309
t_7032,16493
t_7033,17037
t_7034,16991
t_7035,17213
t_7036,17297
t_7037,17351
t_7038,17282
t_7039,17198
t_7040,16815
t_7041,16309
t_7042,15505
t_7043,15046
t_7044,14801
t_7045,15237
t_7046,14847
t_7047,14403
t_7048,14426
t_7049,14655
t_7050,14832
t_7051,15360
t_7052,15988
t_7053,16401
t_7054,16654
t_7055,16914
t_7056,17121
t_7057,17466
t_7058,17466
t_7059,17466
t_7060,17443
t_7061,17335
t_7062,16930
t_7063,15413
t_7064,14219
t_7065,14655
t_7066,15230
t_7067,15345
t_7068,15352
t_7069,14747
t_7070,14939
t_7071,15291
t_7072,15291
t_7073,14617
t_7074,13239
t_7075,13583
t_7076,14816
t_7077,15911
t_7078,16501
t_7079,16570
t_7080,16876
t_7081,17466
t_7082,17466
t_7083,17466
t_7084,17443
t_7085,17335
t_7086,16930
t_7087,15413
t_7088,14219
t_7089,14655
t_7090,15230
t_7091,15345
t_7092,15352
t_7093,14747
t_7094,14939
t_7095,15291
t_7096,15291
t_7097,14617
t_7098,13239
t_7099,13583
t_7100,14816
t_7101,15911
t_7102,16501
t_7103,16570
t_7104,16876
t_7105,17466
t_7106,17466
t_7107,17466
t_7108,17443
t_7109,17335
t_7110,16930
t_7111,15413
t_7112,14219
t_7113,14655
t_7114,15230
t_7115,15345
t_7116,15352
t_7117,14747
t_7118,14939
t_7119,15291
t_7120,15291
t_7121,14617
t_7122,13239
t_7123,13583
t_7124,14816
t_7125,15911
t_7126,16501
t_7127,16570
t_7128,16876
t_7129,17466
t_7130,17466
t_7131,17466
t_7132,17443
t_7133,17335
t_7134,16930
t_7135,15413
t_7136,14219
t_7137,14655
t_7138,15230
t_7139,15345
t_7140,15352
t_7141,14747
t_7142,14939
t_7143,15291
t_7144,15291
t_7145,14617
t_7146,13239
