t,demand_[MWh]
1,2771.78
2,2771.78
3,2771.78
4,2771.78
5,2425.46
6,2078.86
7,1039.36
8,692.92
9,346.48
10,692.92
11,1039.36
12,1212.58
13,1039.36
14,692.92
15,519.68
16,692.92
17,1385.84
18,2078.86
19,3118.22
20,3464.86
21,3464.86
22,3464.86
23,2771.78
24,2771.78
25,2858.96
26,2858.96
27,2858.96
28,2858.96
29,2501.74
30,2144.48
31,1072.16
32,714.82
33,357.44
34,714.82
35,1072.16
36,1250.9
37,1072.16
38,714.82
39,536.1
40,714.82
41,1429.62
42,2144.48
43,3216.66
44,3574.3
45,3574.3
46,3574.3
47,2858.96
48,2858.96
49,2937.98
50,2937.98
51,2937.98
52,2937.98
53,2570.72
54,2203.66
55,1101.82
56,734.52
57,367.28
58,734.52
59,1101.82
60,1285.48
61,1101.82
62,734.52
63,550.9
64,734.52
65,1469.1
66,2203.66
67,3305.42
68,3672.84
69,3672.84
70,3672.84
71,2937.98
72,2937.98
73,2963.8
74,2963.8
75,2963.8
76,2963.8
77,2593.78
78,2223.3
79,1111.6
80,741.04
81,370.54
82,741.04
83,1111.6
84,1296.88
85,1111.6
86,741.04
87,555.82
88,741.04
89,1482.16
90,2223.3
91,3334.9
92,3705.5
93,3705.5
94,3705.5
95,2963.8
96,2963.8
97,2977.4
98,2977.4
99,2977.4
100,2977.4
101,2605.02
102,2233
103,1116.44
104,744.2
105,372.14
106,744.2
107,1116.44
108,1302.54
109,1116.44
110,744.2
111,558.16
112,744.2
113,1488.58
114,2233
115,3348.7
116,3721.32
117,3721.32
118,3721.32
119,2977.4
120,2977.4
121,3045
122,3045
123,3045
124,3045
125,2664.36
126,2283.82
127,1142
128,761.4
129,380.66
130,761.4
131,1142
132,1332.28
133,1142
134,761.4
135,570.96
136,761.4
137,1522.62
138,2283.82
139,3425.72
140,3806.72
141,3806.72
142,3806.72
143,3045
144,3045
145,3022.2
146,3022.2
147,3022.2
148,3022.2
149,2644.18
150,2266.86
151,1133.26
152,755.6
153,377.68
154,755.6
155,1133.26
156,1322.2
157,1133.26
158,755.6
159,566.68
160,755.6
161,1511.06
162,2266.86
163,3399.92
164,3776.96
165,3776.96
166,3776.96
167,3022.2
168,3022.2
169,3010.78
170,3010.78
171,3010.78
172,3010.78
173,2634.04
174,2257.76
175,1128.9
176,752.6
177,376.32
178,752.6
179,1128.9
180,1317.08
181,1128.9
182,752.6
183,564.48
184,752.6
185,1505.24
186,2257.76
187,3386.5
188,3763.22
189,3763.22
190,3763.22
191,3010.78
192,3010.78
193,2995.8
194,2995.8
195,2995.8
196,2995.8
197,2621.48
198,2247.08
199,1123.46
200,748.98
201,374.46
202,748.98
203,1123.46
204,1310.76
205,1123.46
206,748.98
207,561.72
208,748.98
209,1497.96
210,2247.08
211,3370.36
212,3744.74
213,3744.74
214,3744.74
215,2995.8
216,2995.8
217,2969
218,2969
219,2969
220,2969
221,2598.1
222,2226.94
223,1113.4
