week,energy_consumption_[MWh]
week_40,154606.12
week_41,158545.65
week_42,157596.15
week_43,161526.55
week_44,168402.37
week_45,163310.52
week_46,169260.17
week_47,167384.57
week_48,169794.34
week_49,182452.52
week_50,182577.77
week_51,170924.08
week_52,162277.95
week_53,23411.31
week_1,165193.19
week_2,170368.46
week_3,178655.08
week_4,175675.81
week_5,199215.01
week_6,207396.95
week_7,181319.39
week_8,171677.01
week_9,165368.74
week_10,168773.53
week_11,160999.12
week_12,160094.33
week_13,157764.13
week_14,164721.59
week_15,162797.45
week_16,162119.42
week_17,159042.64
week_18,157563.03
week_19,160437.4
week_20,158803.13
week_21,165826.6
week_22,159909.97
week_23,156871.35
week_24,157438.44
week_25,164011.46
week_26,165883.6
week_27,166677.33
week_28,161931.17
week_29,159615.9
week_30,170022.95
week_31,166224.92
week_32,162146.18
week_33,169482.76
week_34,173104.29
week_35,161196.56
week_36,159456.88
week_37,159822.69
week_38,155738.8
week_39,154586.27
