week,energy_consumption_[MWh]
week_40,160089.36
week_41,164169.35
week_42,163186.27
week_43,167255.28
week_44,174375.02
week_45,169102.16
week_46,175263.89
week_47,173320.56
week_48,175816.14
week_49,188923.93
week_50,189053.13
week_51,176986.47
week_52,168032.93
week_53,24241.69
week_1,171051.63
week_2,176410.98
week_3,184991.29
week_4,181906.44
week_5,206280.31
week_6,214753.04
week_7,187749.9
week_8,177765.95
week_9,171233.11
week_10,174758.85
week_11,166709.06
week_12,165771.72
week_13,163358.88
week_14,170563.84
week_15,168570.81
week_16,167869.19
week_17,164683.18
week_18,163150.94
week_19,166127.65
week_20,164435.25
week_21,171708.39
week_22,165581
week_23,162435.2
week_24,163021.96
week_25,169828.37
week_26,171766.61
week_27,172588.72
week_28,167674.48
week_29,165277.53
week_30,176053.29
week_31,172120.53
week_32,167897
week_33,175492.69
week_34,179243.88
week_35,166912.78
week_36,165112.04
week_37,165490.71
week_38,161262.03
week_39,160069.1
