t,demand_[MWh]
t_1, 3.73 
t_2, 4.17 
t_3, 4.08 
t_4, 5.94 
t_5, 13.30 
t_6, 43.07 
t_7, 154.16 
t_8, 241.73 
t_9, 209.63 
t_10, 167.73 
t_11, 159.09 
t_12, 158.34 
t_13, 203.37 
t_14, 188.97 
t_15, 162.91 
t_16, 163.51 
t_17, 212.45 
t_18, 313.44 
t_19, 288.59 
t_20, 198.00 
t_21, 117.65 
t_22, 74.54 
t_23, 69.45 
t_24, 46.75 
t_25, 3.73 
t_26, 4.17 
t_27, 4.08 
t_28, 5.94 
t_29, 13.30 
t_30, 43.07 
t_31, 154.16 
t_32, 241.73 
t_33, 209.63 
t_34, 167.73 
t_35, 159.09 
t_36, 158.34 
t_37, 203.37 
t_38, 188.97 
t_39, 162.91 
t_40, 163.51 
t_41, 212.45 
t_42, 313.44 
t_43, 288.59 
t_44, 198.00 
t_45, 117.65 
t_46, 74.54 
t_47, 69.45 
t_48, 46.75 
t_49, 3.73 
t_50, 4.17 
t_51, 4.08 
t_52, 5.94 
t_53, 13.30 
t_54, 43.07 
t_55, 154.16 
t_56, 241.73 
t_57, 209.63 
t_58, 167.73 
t_59, 159.09 
t_60, 158.34 
t_61, 203.37 
t_62, 188.97 
t_63, 162.91 
t_64, 163.51 
t_65, 212.45 
t_66, 313.44 
t_67, 288.59 
t_68, 198.00 
t_69, 117.65 
t_70, 74.54 
t_71, 69.45 
t_72, 46.75 
t_73, 3.73 
t_74, 4.17 
t_75, 4.08 
t_76, 5.94 
t_77, 13.30 
t_78, 43.07 
t_79, 154.16 
t_80, 241.73 
t_81, 209.63 
t_82, 167.73 
t_83, 159.09 
t_84, 158.34 
t_85, 203.37 
t_86, 188.97 
t_87, 162.91 
t_88, 163.51 
t_89, 212.45 
t_90, 313.44 
t_91, 288.59 
t_92, 198.00 
t_93, 117.65 
t_94, 74.54 
t_95, 69.45 
t_96, 46.75 
t_97, 3.73 
t_98, 4.17 
t_99, 4.08 
t_100, 5.94 
t_101, 13.30 
t_102, 43.07 
t_103, 154.16 
t_104, 241.73 
t_105, 209.63 
t_106, 167.73 
t_107, 159.09 
t_108, 158.34 
t_109, 203.37 
t_110, 188.97 
t_111, 162.91 
t_112, 163.51 
t_113, 212.45 
t_114, 313.44 
t_115, 288.59 
t_116, 198.00 
t_117, 117.65 
t_118, 74.54 
t_119, 69.45 
