t,CH00
1,5844.77
2,5671.82
3,5436.89
4,5196.96
5,5003.35
6,5053.73
7,5061.84
8,4917.247
9,4919.603
10,4941.237
11,5228.79
12,5424.05
13,5698.65
14,5707.007
15,5574.728
16,5555.057
17,5727.27
18,6410.32
19,6392.24
20,6163.91
21,5881.99
22,5579.08
23,5635.83
24,5275.94
25,5423.93
26,5130.01
27,5043.04
28,5043.04
29,5085.73
30,5127.43
31,5409.61
32,5563.281
33,5960.913
34,6311.061
35,6614.25
36,6827.3
37,7109.1
38,7062.841
39,6976.738
40,6955.871
41,7176.32
42,7542.71
43,7621.46
44,7266.77
45,6755.92
46,6555.98
47,6608.57
48,6233.68
49,6048.54
50,5925.58
51,5815.61
52,5761.63
53,5665.55
54,5865.34
55,6589.8
56,7310.482
57,7851.2
58,7979.282
59,8050.37
60,8043.42
61,7767.45
62,7766.342
63,7685.309
64,7672.372
65,7785.55
66,8282.61
67,8442.9
68,8039.1
69,7412.29
70,7093.38
71,7045.25
72,6616.37
73,6379.83
74,6222.88
75,6063.93
76,5978.95
77,5889.46
78,6023.02
79,6750.62
80,7470.013
81,8071.43
82,8196.793
83,8302.16
84,8361.84
85,8179.2
86,8114.823
87,8016.14
88,7991.863
89,8124.61
90,8562.26
91,8686.42
92,8258.93
93,7640.12
94,7321.21
95,7253.57
96,6798.71
97,6688.78
98,6482.84
99,6339.88
100,6200.93
101,6032.98
102,6137.87
103,6847.54
104,7589.294
105,8203.046
106,8389.054
107,8575.03
108,8747.49
109,8548.04
110,8581.994
111,8442.5
112,8386.054
113,8564.08
114,8835.07
115,8837.37
116,8341.47
117,7721.65
118,7364.76
119,7322.59
120,6911.71
121,6804.04
122,6618.1
123,6489.14
124,6389.17
125,6214.02
126,6325.76
127,6969.95
128,7556.567
129,8078.219
130,8200.367
131,8329.54
132,8431.12
133,8375.53
134,8360.317
135,8221.786
136,8191.377
137,8257.77
138,8523.11
139,8592.69
140,8212.93
141,7557.13
142,7271.21
143,7313.89
144,7039.97
145,6693.04
146,6538.08
147,6318.15
148,6134.2
149,5952.48
150,6103.52
151,6279.05
152,6379.177
153,6652.296
154,6842.037
155,7134.8
156,7233.67
157,7463.7
158,7590.817
159,7513.928
160,7487.847
161,7504.5
162,7872.99
163,7806.54
164,7424.64
165,6911.79
166,6528.91
167,6559.08
168,6271.16
169,6005.72
170,5696.82
171,5561.86
172,5417.9
173,5304.89
174,5431.7
175,5514.23
176,5448.113
177,5686.885
178,5872.983
179,6250.01
180,6582.98
181,6886.82
182,6850.693
183,6649.665
184,6608.763
185,6717.01
186,7293.15
187,7269.62
188,6974.76
189,6606.87
190,6246.98
191,6247.65
192,5884.76
193,5979.99
194,5836.03
195,5808.04
196,5780.05
197,5803.47
198,6102.82
199,7083.94
200,8064.107
201,8612.407
202,8577.957
203,8619.48
204,8754.7
205,8349.56
206,8476.987
207,8414.738
208,8409.007
209,8505.05
210,8712.04
211,8729.69
212,8201.42
213,7557.61
214,7214.71
215,7079.66
216,6612.8
217,6417.69
218,6250.74
219,6137.78
220,6097.79
221,6001.5
222,6180.18
223,7123.12
224,8088.569
225,8615.14
226,8553.429
227,8588.68
228,8683.29
229,8205.8
230,8214.529
231,8085.939
232,8023.589
233,8085.1
234,8556.47
235,8698.29
236,8240.74
237,7621.92
238,7289.02
239,7144.47
240,6723.6
241,6539.57
242,6369.63
243,6290.65
244,6190.68
245,6052.99
246,6217.11
247,7154.59
248,8172.522
249,8695.611
250,8655.382
251,8692.13
252,8765.49
253,8422.21
254,8443.442
255,8332.106
256,8291.492
257,8368.98
258,8653.38
259,8745.76
260,8330.62
261,7748.79
262,7377.9
263,7261.36
264,6790.5
265,6643.53
266,6496.58
267,6372.61
268,6281.64
269,6159.63
270,6356.43
271,7259.71
272,8253.273
273,8803.955
274,8796.103
275,8785.25
276,8801.32
277,8376.38
278,8392.233
279,8232.195
280,8164.293
281,8278.54
282,8630.75
283,8873.14
284,8506.31
285,7864.5
286,7458.62
287,7343.32
288,6941.44
289,6804.45
290,6645.5
291,6526.53
292,6398.57
293,6272.11
294,6453.73
295,7317.37
296,8275.715
297,8811.181
298,8825.545
299,8861.91
300,8894.08
301,8522.01
302,8462.655
303,8264.547
304,8096.765
305,8135.5
306,8544.11
307,8725.13
308,8308.72
309,7660.91
310,7312.02
311,7335.29
312,7081.37
313,6735.12
314,6516.19
315,6359.24
316,6201.28
317,6001.72
318,6143.91
319,6353.71
320,6550.92
321,6893.109
322,7056.77
323,7211.45
324,7224.3
325,7258.44
326,7225.72
327,7083.915
328,7031.78
329,7044.22
330,7695.45
331,7861.63
332,7520.43
333,7074.56
334,6722.67
335,6791.11
336,6645.15
337,6425.38
338,6189.45
339,6021.5
340,5865.55
341,5719.54
342,5810.34
343,5926.99
344,5913.88
345,6103.738
346,6271.78
347,6495.82
348,6577.84
349,6689.76
350,6549.69
351,6380.713
352,6345.75
353,6483.93
354,7262.9
355,7437.21
356,7184.51
357,6835.61
358,6510.71
359,6573.33
360,6298.42
361,6400.84
362,6211.9
363,6194.9
364,6143.92
365,6118.7
366,6394.36
367,7388.14
368,8439.53
369,8926.083
370,8840.41
371,8904.69
372,8895.34
373,8514.81
374,8585.48
375,8481.855
376,8420.53
377,8465.1
378,8838.63
379,9021.4
380,8581.94
381,7952.12
382,7587.23
383,7545.5
384,7202.6
385,7050.51
386,6933.55
387,6763.6
388,6680.62
389,6494.75
390,6666.84
391,7616.87
392,8635.66
393,9065.647
394,8970.56
395,8909.48
396,8866.43
397,8477.61
398,8496.7
399,8370.795
400,8295.76
401,8463.5
402,8824.19
403,9032.84
404,8595.97
405,7969.16
406,7620.27
407,7576.35
408,7176.47
409,7012.5
410,6855.54
411,6744.58
412,6661.6
413,6497.95
414,6626.06
415,7571.49
416,8577.412
417,9031.516
418,8928.302
419,8770.13
420,8802.99
421,8389.25
422,8405.462
423,8379.592
424,8255.502
425,8365.02
426,8788.42
427,8927.79
428,8510.6
429,7853.79
430,7457.91
431,7419.37
432,6981.51
433,6809.29
434,6567.37
435,6425.41
436,6290.45
437,6114.31
