plant_name,node,scenario,weather_year,2030,2035,2040,2050
AT00_electrolyzer,AT00,DistributedEnergy,1995,6199329.088,11625557.22,17051785.35,16950292.52
AT00_electrolyzer,AT00,DistributedEnergy,2008,6191733.863,11555596.66,16919459.45,16767192.48
AT00_electrolyzer,AT00,DistributedEnergy,2009,6174928.576,11524730.68,16874532.78,16698527.93
AT00_electrolyzer,AT00,GlobalAmbition,1995,9321694.569,10871380.43,12421066.3,11158000.62
AT00_electrolyzer,AT00,GlobalAmbition,2008,9309164.725,10860247.23,12411329.73,11204039.62
AT00_electrolyzer,AT00,GlobalAmbition,2009,9315105.039,10737659.37,12160213.7,10894266.13
BE00_electrolyzer,BE00,DistributedEnergy,1995,11523896.44,22036731.85,32549567.27,33740091.12
BE00_electrolyzer,BE00,DistributedEnergy,2008,11574169.93,21795676.96,32017183.99,33559856.92
BE00_electrolyzer,BE00,DistributedEnergy,2009,11609396.19,22767279.7,33925163.2,37060129.89
BE00_electrolyzer,BE00,GlobalAmbition,1995,19901090.22,20720426.83,21539763.44,18401540.25
BE00_electrolyzer,BE00,GlobalAmbition,2008,19926166.98,20735416.48,21544665.99,18308810.16
BE00_electrolyzer,BE00,GlobalAmbition,2009,19941650.39,20603821.68,21265992.96,18112060.51
CH00_electrolyzer,CH00,DistributedEnergy,1995,-1.19E-09,-5.00084E-06,-1.00E-05,-1.00E-05
CH00_electrolyzer,CH00,DistributedEnergy,2008,1.00E-05,5.86198E-10,-1.00E-05,0
CH00_electrolyzer,CH00,DistributedEnergy,2009,-1.00E-05,-1.00013E-05,-1.00E-05,-1.00E-05
CH00_electrolyzer,CH00,GlobalAmbition,1995,0,4.54747E-10,9.09E-10,3.64E-09
CH00_electrolyzer,CH00,GlobalAmbition,2008,1.14E-09,1.7053E-09,2.27E-09,0
CH00_electrolyzer,CH00,GlobalAmbition,2009,-1.00E-05,-1.13687E-09,1.00E-05,-1.00E-05
CZ00_electrolyzer,CZ00,DistributedEnergy,1995,6514483.288,12681990.24,18849497.19,17413685.32
CZ00_electrolyzer,CZ00,DistributedEnergy,2008,6453385.573,12844843.53,19236301.48,17374723.3
CZ00_electrolyzer,CZ00,DistributedEnergy,2009,6489519.505,13172901.32,19856283.13,19408028.38
CZ00_electrolyzer,CZ00,GlobalAmbition,1995,10141320.39,16724700.94,23308081.48,12565646.02
CZ00_electrolyzer,CZ00,GlobalAmbition,2008,10116262.91,16624045.45,23131827.98,12434991.95
CZ00_electrolyzer,CZ00,GlobalAmbition,2009,10139839.71,16712282.12,23284724.52,12863969.87
DE00_electrolyzer,DE00,DistributedEnergy,1995,80750430.22,154200079,227649727.7,289639299.3
DE00_electrolyzer,DE00,DistributedEnergy,2008,80095327.01,153486036.8,226876746.7,292204868
DE00_electrolyzer,DE00,DistributedEnergy,2009,80041814.79,157256271.8,234470728.7,308890147.8
DE00_electrolyzer,DE00,GlobalAmbition,1995,104870605,153808501,202746397,258402077.7
DE00_electrolyzer,DE00,GlobalAmbition,2008,104903543.3,153942808.9,202982074.5,260748723.3
DE00_electrolyzer,DE00,GlobalAmbition,2009,104753882.9,153688954.4,202624025.8,259764160.2
DKE1_electrolyzer,DKE1,DistributedEnergy,1995,1331719.538,20146213.08,38960706.61,38765216.56
DKE1_electrolyzer,DKE1,DistributedEnergy,2008,1327463.199,20190125.56,39052787.92,39662687.42
DKE1_electrolyzer,DKE1,DistributedEnergy,2009,1177879.569,20704272.45,40230665.33,40601025.31
DKE1_electrolyzer,DKE1,GlobalAmbition,1995,1350572.784,2566358.034,3782143.284,32480725.93
DKE1_electrolyzer,DKE1,GlobalAmbition,2008,1380358.382,2547217.912,3714077.442,32958061.01
DKE1_electrolyzer,DKE1,GlobalAmbition,2009,1274568.417,3126143.069,4977717.721,33900128.24
DKW1_electrolyzer,DKW1,DistributedEnergy,1995,1817159.99,36954548.9,72091937.81,100811250
DKW1_electrolyzer,DKW1,DistributedEnergy,2008,1904891.828,35562309.36,69219726.89,97731188.1
DKW1_electrolyzer,DKW1,DistributedEnergy,2009,1533442.967,35694497.41,69855551.86,97743830.7
DKW1_electrolyzer,DKW1,GlobalAmbition,1995,2534430.395,21340840.9,40147251.4,100257716.2
DKW1_electrolyzer,DKW1,GlobalAmbition,2008,2658464.876,21098691.58,39538918.28,98285220.36
DKW1_electrolyzer,DKW1,GlobalAmbition,2009,2217229.06,20915192.51,39613155.96,97689199.14
ES00_electrolyzer,ES00,DistributedEnergy,1995,24082469.84,87740355.15,151398240.5,199559075.8
ES00_electrolyzer,ES00,DistributedEnergy,2008,22628858.75,85352774.56,148076690.4,190543102.7
ES00_electrolyzer,ES00,DistributedEnergy,2009,24425263.27,89183421.11,153941579,204664526.4
ES00_electrolyzer,ES00,GlobalAmbition,1995,23389136.85,62375739.54,101362342.2,216174177.6
ES00_electrolyzer,ES00,GlobalAmbition,2008,23078571.18,58589243.12,94099915.07,197854802
ES00_electrolyzer,ES00,GlobalAmbition,2009,23630025.13,68232091.59,112834158,235055527.5
FR00_electrolyzer,FR00,DistributedEnergy,1995,23770657.26,98589974.44,173409291.6,252651818.1
FR00_electrolyzer,FR00,DistributedEnergy,2008,26102741.98,98695667.77,171288593.6,249306086.7
FR00_electrolyzer,FR00,DistributedEnergy,2009,24895588.76,101764777.1,178633965.5,253993479.8
FR00_electrolyzer,FR00,GlobalAmbition,1995,29246427.73,121277701.4,213308975.1,375782654.4
FR00_electrolyzer,FR00,GlobalAmbition,2008,29125262.09,121713237.6,214301213.2,375651989.5
FR00_electrolyzer,FR00,GlobalAmbition,2009,30590010.78,119649745.6,208709480.3,366525492.4
HR00_electrolyzer,HR00,DistributedEnergy,1995,4359729.442,5667447.437,6975165.431,17100321.03
HR00_electrolyzer,HR00,DistributedEnergy,2008,4359729.442,5724305.064,7088880.686,17087747.64
HR00_electrolyzer,HR00,DistributedEnergy,2009,4359729.442,5713989.772,7068250.101,17259784.58
HR00_electrolyzer,HR00,GlobalAmbition,1995,5295235.65,5208404.981,5121574.312,2754854.433
HR00_electrolyzer,HR00,GlobalAmbition,2008,5306596.166,5233165.051,5159733.937,2791796.724
HR00_electrolyzer,HR00,GlobalAmbition,2009,5308666.946,5700089.668,6091512.39,4366494.789
HU00_electrolyzer,HU00,DistributedEnergy,1995,8003706.228,14088369.22,20173032.21,21812241.53
HU00_electrolyzer,HU00,DistributedEnergy,2008,8003579.988,14338421.35,20673262.72,21919708.95
HU00_electrolyzer,HU00,DistributedEnergy,2009,8002049.194,14300340.85,20598632.5,23348051.46
HU00_electrolyzer,HU00,GlobalAmbition,1995,11623096.67,14314282.86,17005469.06,10585411.96
HU00_electrolyzer,HU00,GlobalAmbition,2008,11633026.91,14359955.15,17086883.39,10538272.12
