scenario,zone,tech,weather_year,2030,2035,2040,2050,Unnamed: 8,Unnamed: 9
DistributedEnergy,AL00,battery,1995,74.5427,136.8282,199.1137,275.6373,,
DistributedEnergy,AL00,battery,2008,72.4254,139.9975,207.5696,278.5061,,
DistributedEnergy,AL00,battery,2009,71.6396,132.6171,193.5945,268.2254,,
GlobalAmbition,AL00,battery,1995,28.4389,45.2438,62.0488,101.1206,,
GlobalAmbition,AL00,battery,2008,26.1309,46.0101,65.8893,107.3928,,
GlobalAmbition,AL00,battery,2009,30.5993,48.2739,65.9484,100.3049,,
DistributedEnergy,AL00,gas,1995,572.0441,627.2603,682.4765,602.9982,,
DistributedEnergy,AL00,gas,2008,525.3185,578.0644,630.8102,458.963,,
DistributedEnergy,AL00,gas,2009,528.0743,623.0595,718.0447,588.4315,,
GlobalAmbition,AL00,gas,1995,653.352,618.7136,584.0753,762.8959,,
GlobalAmbition,AL00,gas,2008,625.5787,571.9236,518.2686,695.8569,,
GlobalAmbition,AL00,gas,2009,595.8573,576.5414,557.2255,729.5817,,
DistributedEnergy,AL00,pvrf,1995,1058.4155,1594.1728,2129.93,2180.0909,,
DistributedEnergy,AL00,pvrf,2008,1060.5614,1594.9088,2129.2562,2179.8241,,
DistributedEnergy,AL00,pvrf,2009,1030.8836,1548.8936,2066.9037,2108.1202,,
GlobalAmbition,AL00,pvrf,1995,1059.2572,1609.6027,2159.9481,2200.1003,,
GlobalAmbition,AL00,pvrf,2008,1060.5614,1612.7386,2164.9157,2205.7932,,
GlobalAmbition,AL00,pvrf,2009,1032.336,1567.8859,2103.4358,2143.1358,,
DistributedEnergy,AL00,windon,1995,1714.713,2898.3302,4081.9474,4739.886,,
DistributedEnergy,AL00,windon,2008,1739.9908,2948.8597,4157.7285,4813.9306,,
DistributedEnergy,AL00,windon,2009,1733.9093,2938.1382,4142.367,4787.0495,,
GlobalAmbition,AL00,windon,1995,1714.92,2907.1966,4099.4732,4764.3692,,
GlobalAmbition,AL00,windon,2008,1740.1855,2958.0347,4175.8839,4853.0385,,
GlobalAmbition,AL00,windon,2009,1736.0413,2949.978,4163.9147,4838.9861,,
DistributedEnergy,AT00,battery,1995,4235.271,8698.7879,13162.3048,17586.535,,
DistributedEnergy,AT00,battery,2008,4215.2659,8804.8153,13394.3648,18102.8092,,
DistributedEnergy,AT00,battery,2009,4308.1067,8668.2541,13028.4015,18228.3579,,
GlobalAmbition,AT00,battery,1995,1634.1003,4559.4021,7484.7039,10473.7012,,
GlobalAmbition,AT00,battery,2008,1628.7855,4650.246,7671.7065,10440.4016,,
GlobalAmbition,AT00,battery,2009,1607.2866,4648.4967,7689.7068,10740.4926,,
DistributedEnergy,AT00,biomass,1995,3285.2126,3291.4813,3297.75,3282.3111,,
DistributedEnergy,AT00,biomass,2008,3285.2126,3293.6687,3302.1249,3285.2126,,
DistributedEnergy,AT00,biomass,2009,3285.2126,3289.6242,3294.0358,3283.1407,,
GlobalAmbition,AT00,biomass,1995,3285.2126,3279.8368,3274.461,3249.4239,,
GlobalAmbition,AT00,biomass,2008,3285.2126,3292.2738,3299.3351,3283.298,,
GlobalAmbition,AT00,biomass,2009,3285.2126,3283.8225,3282.4325,3266.7133,,
DistributedEnergy,AT00,dsr,1995,,571.9638,1143.9275,3377.5876,,
DistributedEnergy,AT00,dsr,2008,,209.4553,418.9106,2194.9011,,
DistributedEnergy,AT00,dsr,2009,,701.3804,1402.7609,3436.4715,,
GlobalAmbition,AT00,dsr,1995,7.0,169.136,331.2721,1846.4534,,
GlobalAmbition,AT00,dsr,2008,,17.2973,34.5946,551.7594,,
GlobalAmbition,AT00,dsr,2009,,77.6994,155.3988,1042.1215,,
