area,cap_MW,sto_GWh
AL00,611.813,0.0
AT00,6140.0999,5.592
BA00,325.0,0.81
BE00,148.212,0.0
BG00,535.51,0.0
CH00,4198.0,0.0
CZ00,431.63,0.0
DE00,4731.8,0.0
ES00,3640.0,0.55
FI00,0.0,0.0
FR00,13600.0,0.0
GR00,382.978,0.0
HR00,424.88,4.0
HU00,55.0,0.0
IE00,216.0,0.0
ITCA,148.9,0.0
ITCN,311.73,0.0
ITCS,659.97,0.0
ITN1,4977.43,0.0
ITS1,0.0,0.0
ITSA,82.2,0.0
ITSI,65.9,0.0
LT00,127.8,0.0
LUG1,42.0,0.0
LUV1,0.0,0.0
LV00,1608.0,16.0
ME00,78.853,0.0
MK00,267.5,0.14
NL00,37.7,0.0
NOM1,0.0,0.0
NON1,0.0,0.0
NOS0,0.0,0.0
PL00,518.26,0.0
PT00,793.133,6.4
RO00,3365.6324,0.0
RS00,2096.57,0.0
SE01,0.0,0.0
SE02,0.0,0.0
SE03,0.0,0.0
SE04,0.0,0.0
SI00,1277.7,3.45
SK00,1592.1815,11.7642
TR00,10716.137,0.0
UA01,13.62,0.0
UK00,2095.1166,0.0
