"area","technology","variable","value"
"AL00","reservoir","pumping_cap_MW",0
"AL00","pumped_open","pumping_cap_MW",0
"AL00","pumped_closed","pumping_cap_MW",0
"AL00","reservoir","gen_cap_MW",2092.944
"AL00","pumped_open","gen_cap_MW",0
"AL00","pumped_closed","gen_cap_MW",0
"AL00","reservoir","sto_GWh",1450
"AL00","pumped_open","sto_GWh",0
"AL00","pumped_closed","sto_GWh",0
"AT00","reservoir","pumping_cap_MW",0
"AT00","pumped_open","pumping_cap_MW",-5205.65
"AT00","pumped_closed","pumping_cap_MW",-300
"AT00","reservoir","gen_cap_MW",2488.9539999999997
"AT00","pumped_open","gen_cap_MW",6043.280000000001
"AT00","pumped_closed","gen_cap_MW",300
"AT00","reservoir","sto_GWh",757.0302
"AT00","pumped_open","sto_GWh",1732.627
"AT00","pumped_closed","sto_GWh",1.8
"BA00","reservoir","pumping_cap_MW",0
"BA00","pumped_open","pumping_cap_MW",-440
"BA00","pumped_closed","pumping_cap_MW",0
"BA00","reservoir","gen_cap_MW",1615.9
"BA00","pumped_open","gen_cap_MW",440
"BA00","pumped_closed","gen_cap_MW",0
"BA00","reservoir","sto_GWh",1711.51
"BA00","pumped_open","sto_GWh",3.4
"BA00","pumped_closed","sto_GWh",0
"BE00","reservoir","pumping_cap_MW",0
"BE00","pumped_open","pumping_cap_MW",0
"BE00","pumped_closed","pumping_cap_MW",-1150
"BE00","reservoir","gen_cap_MW",0
"BE00","pumped_open","gen_cap_MW",0
"BE00","pumped_closed","gen_cap_MW",1224
"BE00","reservoir","sto_GWh",0
"BE00","pumped_open","sto_GWh",0
"BE00","pumped_closed","sto_GWh",5.3
"BG00","reservoir","pumping_cap_MW",0
"BG00","pumped_open","pumping_cap_MW",-148
"BG00","pumped_closed","pumping_cap_MW",-784
"BG00","reservoir","gen_cap_MW",1281.3
"BG00","pumped_open","gen_cap_MW",535
"BG00","pumped_closed","gen_cap_MW",864
"BG00","reservoir","sto_GWh",843
"BG00","pumped_open","sto_GWh",255.3
"BG00","pumped_closed","sto_GWh",9.4
"CH00","reservoir","pumping_cap_MW",0
"CH00","pumped_open","pumping_cap_MW",-2054
"CH00","pumped_closed","pumping_cap_MW",-1900
"CH00","reservoir","gen_cap_MW",0
"CH00","pumped_open","gen_cap_MW",10732
"CH00","pumped_closed","gen_cap_MW",1900
"CH00","reservoir","sto_GWh",0
"CH00","pumped_open","sto_GWh",8800
"CH00","pumped_closed","sto_GWh",70
"CZ00","reservoir","pumping_cap_MW",0
"CZ00","pumped_open","pumping_cap_MW",-438
"CZ00","pumped_closed","pumping_cap_MW",-664
"CZ00","reservoir","gen_cap_MW",697.7199999999999
"CZ00","pumped_open","gen_cap_MW",470.4
"CZ00","pumped_closed","gen_cap_MW",688.05
"CZ00","reservoir","sto_GWh",2.5
"CZ00","pumped_open","sto_GWh",2.3
"CZ00","pumped_closed","sto_GWh",3.7
"DE00","reservoir","pumping_cap_MW",0
"DE00","pumped_open","pumping_cap_MW",-1361
"DE00","pumped_closed","pumping_cap_MW",-7417.6
"DE00","reservoir","gen_cap_MW",1297
"DE00","pumped_open","gen_cap_MW",1644.1
"DE00","pumped_closed","gen_cap_MW",7381.64
"DE00","reservoir","sto_GWh",258.58
"DE00","pumped_open","sto_GWh",416.67
"DE00","pumped_closed","sto_GWh",242.17
"ES00","reservoir","pumping_cap_MW",0
"ES00","pumped_open","pumping_cap_MW",-2424.005632965166
"ES00","pumped_closed","pumping_cap_MW",-6676.03
"ES00","reservoir","gen_cap_MW",10972.199
"ES00","pumped_open","gen_cap_MW",2683.32
"ES00","pumped_closed","gen_cap_MW",6866.4
"ES00","reservoir","sto_GWh",11648.51
"ES00","pumped_open","sto_GWh",5961.86
"ES00","pumped_closed","sto_GWh",99.04
"FI00","reservoir","pumping_cap_MW",0
"FI00","pumped_open","pumping_cap_MW",0
"FI00","pumped_closed","pumping_cap_MW",0
"FI00","reservoir","gen_cap_MW",3236.61
"FI00","pumped_open","gen_cap_MW",0
"FI00","pumped_closed","gen_cap_MW",0
"FI00","reservoir","sto_GWh",5530
"FI00","pumped_open","sto_GWh",0
"FI00","pumped_closed","sto_GWh",0
"FR00","reservoir","pumping_cap_MW",0
"FR00","pumped_open","pumping_cap_MW",-1850
"FR00","pumped_closed","pumping_cap_MW",-1950
"FR00","reservoir","gen_cap_MW",8785.365853658537
"FR00","pumped_open","gen_cap_MW",1850
"FR00","pumped_closed","gen_cap_MW",1950
"FR00","reservoir","sto_GWh",10000
"FR00","pumped_open","sto_GWh",90.00000000000001
"FR00","pumped_closed","sto_GWh",10
"GR00","reservoir","pumping_cap_MW",0
"GR00","pumped_open","pumping_cap_MW",-735
"GR00","pumped_closed","pumping_cap_MW",-710
"GR00","reservoir","gen_cap_MW",2743.7
"GR00","pumped_open","gen_cap_MW",699
"GR00","pumped_closed","gen_cap_MW",680
"GR00","reservoir","sto_GWh",3600
"GR00","pumped_open","sto_GWh",4.5
"GR00","pumped_closed","sto_GWh",0
"HR00","reservoir","pumping_cap_MW",0
"HR00","pumped_open","pumping_cap_MW",-246.9
"HR00","pumped_closed","pumping_cap_MW",0
"HR00","reservoir","gen_cap_MW",1941.29
"HR00","pumped_open","gen_cap_MW",281.4
"HR00","pumped_closed","gen_cap_MW",0
"HR00","reservoir","sto_GWh",2045.9
"HR00","pumped_open","sto_GWh",18.3
"HR00","pumped_closed","sto_GWh",0
"HU00","reservoir","pumping_cap_MW",0
"HU00","pumped_open","pumping_cap_MW",0
"HU00","pumped_closed","pumping_cap_MW",0
"HU00","reservoir","gen_cap_MW",0
"HU00","pumped_open","gen_cap_MW",0
"HU00","pumped_closed","gen_cap_MW",0
"HU00","reservoir","sto_GWh",0
"HU00","pumped_open","sto_GWh",0
"HU00","pumped_closed","sto_GWh",0
"IE00","reservoir","pumping_cap_MW",0
"IE00","pumped_open","pumping_cap_MW",0
"IE00","pumped_closed","pumping_cap_MW",-292
"IE00","reservoir","gen_cap_MW",0
"IE00","pumped_open","gen_cap_MW",0
"IE00","pumped_closed","gen_cap_MW",292
"IE00","reservoir","sto_GWh",0
"IE00","pumped_open","sto_GWh",0
"IE00","pumped_closed","sto_GWh",1.72
"ITCA","reservoir","pumping_cap_MW",0
"ITCA","pumped_open","pumping_cap_MW",0
"ITCA","pumped_closed","pumping_cap_MW",-1250
"ITCA","reservoir","gen_cap_MW",686.4
"ITCA","pumped_open","gen_cap_MW",0
"ITCA","pumped_closed","gen_cap_MW",1250
"ITCA","reservoir","sto_GWh",572.38
"ITCA","pumped_open","sto_GWh",0
"ITCA","pumped_closed","sto_GWh",10
"ITCN","reservoir","pumping_cap_MW",0
"ITCN","pumped_open","pumping_cap_MW",0
"ITCN","pumped_closed","pumping_cap_MW",0
"ITCN","reservoir","gen_cap_MW",341.4
"ITCN","pumped_open","gen_cap_MW",0
"ITCN","pumped_closed","gen_cap_MW",0
"ITCN","reservoir","sto_GWh",186.97
"ITCN","pumped_open","sto_GWh",0
"ITCN","pumped_closed","sto_GWh",0
"ITCS","reservoir","pumping_cap_MW",0
"ITCS","pumped_open","pumping_cap_MW",-333
"ITCS","pumped_closed","pumping_cap_MW",-2185
"ITCS","reservoir","gen_cap_MW",1094.5289764705883
"ITCS","pumped_open","gen_cap_MW",742
"ITCS","pumped_closed","gen_cap_MW",2205
"ITCS","reservoir","sto_GWh",803.36
"ITCS","pumped_open","sto_GWh",94.99
"ITCS","pumped_closed","sto_GWh",13.9
"ITN1","reservoir","pumping_cap_MW",0
"ITN1","pumped_open","pumping_cap_MW",-1706
"ITN1","pumped_closed","pumping_cap_MW",-2502
"ITN1","reservoir","gen_cap_MW",7122.1
"ITN1","pumped_open","gen_cap_MW",2512
"ITN1","pumped_closed","gen_cap_MW",2505
"ITN1","reservoir","sto_GWh",3707
"ITN1","pumped_open","sto_GWh",194
"ITN1","pumped_closed","sto_GWh",31.3
"ITS1","reservoir","pumping_cap_MW",0
"ITS1","pumped_open","pumping_cap_MW",0
"ITS1","pumped_closed","pumping_cap_MW",0
"ITS1","reservoir","gen_cap_MW",189.52
"ITS1","pumped_open","gen_cap_MW",0
"ITS1","pumped_closed","gen_cap_MW",0
"ITS1","reservoir","sto_GWh",153.79
"ITS1","pumped_open","sto_GWh",0
"ITS1","pumped_closed","sto_GWh",0
"ITSA","reservoir","pumping_cap_MW",0
"ITSA","pumped_open","pumping_cap_MW",0
"ITSA","pumped_closed","pumping_cap_MW",-242
"ITSA","reservoir","gen_cap_MW",141.8
"ITSA","pumped_open","gen_cap_MW",0
"ITSA","pumped_closed","gen_cap_MW",240
"ITSA","reservoir","sto_GWh",144.35
"ITSA","pumped_open","sto_GWh",0
"ITSA","pumped_closed","sto_GWh",7.8
"ITSI","reservoir","pumping_cap_MW",0
"ITSI","pumped_open","pumping_cap_MW",-58
"ITSI","pumped_closed","pumping_cap_MW",-1187
"ITSI","reservoir","gen_cap_MW",73.1
"ITSI","pumped_open","gen_cap_MW",80
"ITSI","pumped_closed","gen_cap_MW",1100
"ITSI","reservoir","sto_GWh",81.25
"ITSI","pumped_open","sto_GWh",20.39
"ITSI","pumped_closed","sto_GWh",7.4
"LT00","reservoir","pumping_cap_MW",0
"LT00","pumped_open","pumping_cap_MW",0
"LT00","pumped_closed","pumping_cap_MW",-900
"LT00","reservoir","gen_cap_MW",0
"LT00","pumped_open","gen_cap_MW",0
"LT00","pumped_closed","gen_cap_MW",930
"LT00","reservoir","sto_GWh",0
"LT00","pumped_open","sto_GWh",0
"LT00","pumped_closed","sto_GWh",10.6
"LUG1","reservoir","pumping_cap_MW",0
"LUG1","pumped_open","pumping_cap_MW",0
"LUG1","pumped_closed","pumping_cap_MW",0
"LUG1","reservoir","gen_cap_MW",0
"LUG1","pumped_open","gen_cap_MW",0
"LUG1","pumped_closed","gen_cap_MW",0
"LUG1","reservoir","sto_GWh",0
"LUG1","pumped_open","sto_GWh",0
"LUG1","pumped_closed","sto_GWh",0
"LUV1","reservoir","pumping_cap_MW",0
"LUV1","pumped_open","pumping_cap_MW",0
"LUV1","pumped_closed","pumping_cap_MW",-1026
