,Season,Type of Day,Hour,2030,2040,2050
# of occurences of this typical day in the year,ANNUAL AVERAGE,-,-,85,95,75
13,Autumn,Saturday,1,96,134,113
13,Autumn,Saturday,2,93,129,106
13,Autumn,Saturday,3,91,126,105
13,Autumn,Saturday,4,89,123,104
13,Autumn,Saturday,5,88,122,98
13,Autumn,Saturday,6,89,122,100
13,Autumn,Saturday,7,89,120,98
13,Autumn,Saturday,8,86,111,92
13,Autumn,Saturday,9,82,99,83
13,Autumn,Saturday,10,74,81,67
13,Autumn,Saturday,11,68,70,55
13,Autumn,Saturday,12,64,65,50
13,Autumn,Saturday,13,64,66,52
13,Autumn,Saturday,14,69,74,61
13,Autumn,Saturday,15,80,93,74
13,Autumn,Saturday,16,90,116,90
13,Autumn,Saturday,17,96,132,105
13,Autumn,Saturday,18,99,142,115
13,Autumn,Saturday,19,100,145,116
13,Autumn,Saturday,20,101,145,117
13,Autumn,Saturday,21,100,142,115
13,Autumn,Saturday,22,99,138,110
13,Autumn,Saturday,23,98,137,109
13,Autumn,Saturday,24,95,134,108
14.5,Autumn,Sunday,1,90,130,104
14.5,Autumn,Sunday,2,83,123,100
14.5,Autumn,Sunday,3,81,117,98
14.5,Autumn,Sunday,4,78,113,95
14.5,Autumn,Sunday,5,77,111,92
14.5,Autumn,Sunday,6,76,109,91
14.5,Autumn,Sunday,7,69,95,77
14.5,Autumn,Sunday,8,65,85,71
14.5,Autumn,Sunday,9,58,70,58
14.5,Autumn,Sunday,10,51,56,46
14.5,Autumn,Sunday,11,46,48,38
14.5,Autumn,Sunday,12,45,47,36
14.5,Autumn,Sunday,13,48,50,41
14.5,Autumn,Sunday,14,54,57,45
14.5,Autumn,Sunday,15,66,79,65
14.5,Autumn,Sunday,16,74,98,78
14.5,Autumn,Sunday,17,88,117,91
14.5,Autumn,Sunday,18,95,134,105
14.5,Autumn,Sunday,19,99,139,110
14.5,Autumn,Sunday,20,100,140,112
14.5,Autumn,Sunday,21,99,140,110
14.5,Autumn,Sunday,22,98,138,109
14.5,Autumn,Sunday,23,98,137,108
14.5,Autumn,Sunday,24,96,135,107
63.5,Autumn,Working Day,1,101,145,118
63.5,Autumn,Working Day,2,98,139,111
63.5,Autumn,Working Day,3,96,136,115
63.5,Autumn,Working Day,4,95,135,110
63.5,Autumn,Working Day,5,96,135,113
63.5,Autumn,Working Day,6,99,139,115
63.5,Autumn,Working Day,7,103,148,117
63.5,Autumn,Working Day,8,105,151,119
63.5,Autumn,Working Day,9,103,143,111
63.5,Autumn,Working Day,10,98,128,100
63.5,Autumn,Working Day,11,94,115,94
63.5,Autumn,Working Day,12,91,107,87
63.5,Autumn,Working Day,13,91,109,86
63.5,Autumn,Working Day,14,95,121,97
63.5,Autumn,Working Day,15,99,137,104
63.5,Autumn,Working Day,16,103,159,123
63.5,Autumn,Working Day,17,106,187,144
63.5,Autumn,Working Day,18,109,204,159
63.5,Autumn,Working Day,19,109,211,167
63.5,Autumn,Working Day,20,109,212,167
63.5,Autumn,Working Day,21,108,204,159
63.5,Autumn,Working Day,22,106,187,146
63.5,Autumn,Working Day,23,105,179,141
63.5,Autumn,Working Day,24,104,167,137
13,Spring,Saturday,1,85,71,39
13,Spring,Saturday,2,83,69,38
13,Spring,Saturday,3,80,67,37
13,Spring,Saturday,4,78,65,34
13,Spring,Saturday,5,76,64,33
13,Spring,Saturday,6,72,60,32
13,Spring,Saturday,7,66,47,27
13,Spring,Saturday,8,61,38,20
13,Spring,Saturday,9,55,30,16
13,Spring,Saturday,10,48,25,15
13,Spring,Saturday,11,43,22,12
13,Spring,Saturday,12,40,21,12
13,Spring,Saturday,13,41,21,11
13,Spring,Saturday,14,47,24,13
13,Spring,Saturday,15,56,33,17
13,Spring,Saturday,16,64,43,23
13,Spring,Saturday,17,74,59,32
13,Spring,Saturday,18,79,66,34
13,Spring,Saturday,19,81,68,36
