,Season,Type of Day,Hour,Austria,Germany,France,Italy
# of occurences of this typical day in the year,ANNUAL AVERAGE,-,-,62,72,43,105
13,Autumn,Saturday,1,89,114,85,155
13,Autumn,Saturday,2,87,99,81,148
13,Autumn,Saturday,3,87,100,74,148
13,Autumn,Saturday,4,87,102,66,152
13,Autumn,Saturday,5,86,96,67,136
13,Autumn,Saturday,6,84,95,71,142
13,Autumn,Saturday,7,79,95,70,140
13,Autumn,Saturday,8,92,84,62,122
13,Autumn,Saturday,9,88,82,59,97
13,Autumn,Saturday,10,79,68,40,74
13,Autumn,Saturday,11,74,65,30,46
13,Autumn,Saturday,12,79,55,24,39
13,Autumn,Saturday,13,71,65,26,40
13,Autumn,Saturday,14,78,64,26,69
13,Autumn,Saturday,15,84,75,37,92
13,Autumn,Saturday,16,90,92,52,118
13,Autumn,Saturday,17,99,107,68,138
13,Autumn,Saturday,18,101,112,95,143
13,Autumn,Saturday,19,102,106,101,146
13,Autumn,Saturday,20,102,107,102,146
13,Autumn,Saturday,21,100,111,96,143
13,Autumn,Saturday,22,101,107,87,137
13,Autumn,Saturday,23,99,105,86,136
13,Autumn,Saturday,24,86,95,87,154
14.5,Autumn,Sunday,1,89,92,89,136
14.5,Autumn,Sunday,2,86,87,83,136
14.5,Autumn,Sunday,3,84,88,73,138
14.5,Autumn,Sunday,4,82,85,67,137
14.5,Autumn,Sunday,5,81,84,61,136
14.5,Autumn,Sunday,6,80,83,63,131
14.5,Autumn,Sunday,7,72,76,58,94
14.5,Autumn,Sunday,8,70,74,47,86
14.5,Autumn,Sunday,9,69,66,37,53
14.5,Autumn,Sunday,10,63,55,24,38
14.5,Autumn,Sunday,11,60,51,14,23
14.5,Autumn,Sunday,12,60,52,13,17
14.5,Autumn,Sunday,13,63,54,14,28
14.5,Autumn,Sunday,14,61,57,16,42
14.5,Autumn,Sunday,15,71,75,25,81
14.5,Autumn,Sunday,16,79,84,43,101
14.5,Autumn,Sunday,17,89,84,57,127
14.5,Autumn,Sunday,18,95,92,86,139
14.5,Autumn,Sunday,19,98,96,98,137
14.5,Autumn,Sunday,20,99,97,103,139
14.5,Autumn,Sunday,21,97,96,98,141
14.5,Autumn,Sunday,22,96,95,96,140
14.5,Autumn,Sunday,23,96,94,95,139
14.5,Autumn,Sunday,24,93,92,95,138
63.5,Autumn,Working Day,1,106,114,92,150
63.5,Autumn,Working Day,2,100,109,89,138
63.5,Autumn,Working Day,3,101,107,89,152
63.5,Autumn,Working Day,4,91,106,79,153
63.5,Autumn,Working Day,5,102,107,79,153
63.5,Autumn,Working Day,6,105,111,82,150
63.5,Autumn,Working Day,7,109,109,101,140
63.5,Autumn,Working Day,8,113,114,101,137
63.5,Autumn,Working Day,9,112,109,84,130
63.5,Autumn,Working Day,10,106,95,68,122
63.5,Autumn,Working Day,11,109,96,53,112
63.5,Autumn,Working Day,12,107,94,44,95
63.5,Autumn,Working Day,13,100,95,43,99
63.5,Autumn,Working Day,14,107,94,49,128
63.5,Autumn,Working Day,15,110,106,60,133
63.5,Autumn,Working Day,16,119,116,77,168
63.5,Autumn,Working Day,17,129,121,85,227
63.5,Autumn,Working Day,18,134,126,104,258
63.5,Autumn,Working Day,19,136,129,118,269
63.5,Autumn,Working Day,20,136,129,117,270
63.5,Autumn,Working Day,21,131,124,108,260
63.5,Autumn,Working Day,22,125,118,105,223
63.5,Autumn,Working Day,23,117,114,111,209
63.5,Autumn,Working Day,24,110,118,109,199
13,Spring,Saturday,1,31,42,26,54
13,Spring,Saturday,2,34,37,27,49
13,Spring,Saturday,3,33,35,24,53
13,Spring,Saturday,4,29,35,20,50
13,Spring,Saturday,5,29,35,19,47
13,Spring,Saturday,6,28,35,18,45
13,Spring,Saturday,7,27,31,16,31
13,Spring,Saturday,8,28,22,12,17
13,Spring,Saturday,9,25,20,7,12
13,Spring,Saturday,10,23,18,6,11
13,Spring,Saturday,11,22,16,4,7
13,Spring,Saturday,12,23,13,4,6
13,Spring,Saturday,13,21,16,4,4
13,Spring,Saturday,14,23,17,5,6
13,Spring,Saturday,15,27,21,6,12
13,Spring,Saturday,16,30,27,8,26
13,Spring,Saturday,17,32,32,11,51
13,Spring,Saturday,18,33,33,19,48
13,Spring,Saturday,19,34,32,25,49
13,Spring,Saturday,20,34,32,26,50
13,Spring,Saturday,21,34,31,26,49
13,Spring,Saturday,22,33,31,26,49
13,Spring,Saturday,23,33,31,26,48
13,Spring,Saturday,24,32,35,27,51
14.5,Spring,Sunday,1,31,30,25,48
14.5,Spring,Sunday,2,30,33,24,48
14.5,Spring,Sunday,3,30,33,22,48
14.5,Spring,Sunday,4,26,33,20,44
14.5,Spring,Sunday,5,28,32,18,42
14.5,Spring,Sunday,6,26,29,16,31
14.5,Spring,Sunday,7,20,20,12,14
14.5,Spring,Sunday,8,20,19,6,8
14.5,Spring,Sunday,9,18,16,5,4
14.5,Spring,Sunday,10,19,16,3,3
14.5,Spring,Sunday,11,18,13,2,2
14.5,Spring,Sunday,12,18,14,2,2
14.5,Spring,Sunday,13,18,15,3,3
14.5,Spring,Sunday,14,19,16,3,5
14.5,Spring,Sunday,15,20,19,4,10
14.5,Spring,Sunday,16,22,21,5,16
14.5,Spring,Sunday,17,29,27,9,36
14.5,Spring,Sunday,18,33,31,16,44
14.5,Spring,Sunday,19,35,33,24,47
14.5,Spring,Sunday,20,35,33,25,48
