time_step,DE00,AT00,FR00,IT00
t_1,51.86501212,51.86501212,51.86501212,51.86501212
t_10,50.24777528,50.24777528,50.24777528,50.24777528
t_100,51.86501212,51.86501212,51.86501212,51.86501212
t_1000,51.86501212,51.86501212,51.86501212,51.86501212
t_1001,51.86501212,51.86501212,51.86501212,51.86501212
t_1002,51.86501212,51.86501212,51.86501212,51.86501212
t_1003,51.86501212,51.86501212,51.86501212,51.86501212
t_1004,51.86501212,51.86501212,51.86501212,51.86501212
t_1005,51.86501212,51.86501212,51.86501212,51.86501212
t_1006,51.86501212,51.86501212,51.86501212,51.86501212
t_1007,51.86501212,51.86501212,51.86501212,51.86501212
t_1008,51.86501212,51.86501212,51.86501212,51.86501212
t_1009,51.86501212,51.86501212,51.86501212,51.86501212
t_101,51.86501212,51.86501212,51.86501212,51.86501212
t_1010,42.00984982,42.00984982,42.00984982,42.00984982
t_1011,42.00984982,42.00984982,42.00984982,42.00984982
t_1012,42.00984982,42.00984982,42.00984982,42.00984982
t_1013,42.00984982,42.00984982,42.00984982,42.00984982
t_1014,42.00984982,42.00984982,42.00984982,42.00984982
t_1015,42.00984982,42.00984982,42.00984982,42.00984982
t_1016,51.86501212,51.86501212,51.86501212,51.86501212
t_1017,51.86501212,51.86501212,51.86501212,51.86501212
t_1018,42.00984982,42.00984982,42.00984982,42.00984982
t_1019,42.00984982,42.00984982,42.00984982,42.00984982
t_102,51.86501212,51.86501212,51.86501212,51.86501212
t_1020,42.00984982,42.00984982,42.00984982,42.00984982
t_1021,42.00984982,42.00984982,42.00984982,42.00984982
t_1022,42.00984982,42.00984982,42.00984982,42.00984982
t_1023,42.00984982,42.00984982,42.00984982,42.00984982
t_1024,51.86501212,51.86501212,51.86501212,51.86501212
t_1025,51.86501212,51.86501212,51.86501212,51.86501212
t_1026,51.86501212,51.86501212,51.86501212,51.86501212
t_1027,51.86501212,51.86501212,51.86501212,51.86501212
t_1028,51.86501212,51.86501212,51.86501212,51.86501212
t_1029,51.86501212,51.86501212,51.86501212,51.86501212
t_103,51.86501212,51.86501212,51.86501212,51.86501212
t_1030,51.86501212,51.86501212,51.86501212,51.86501212
t_1031,51.86501212,51.86501212,51.86501212,51.86501212
t_1032,51.86501212,51.86501212,51.86501212,51.86501212
t_1033,51.86501212,51.86501212,51.86501212,51.86501212
t_1034,51.86501212,51.86501212,51.86501212,51.86501212
t_1035,51.86501212,51.86501212,51.86501212,51.86501212
t_1036,51.86501212,51.86501212,51.86501212,51.86501212
t_1037,51.86501212,51.86501212,51.86501212,51.86501212
t_1038,51.86501212,51.86501212,51.86501212,51.86501212
t_1039,51.86501212,51.86501212,51.86501212,51.86501212
t_104,51.86501212,51.86501212,51.86501212,51.86501212
t_1040,51.86501212,51.86501212,51.86501212,51.86501212
t_1041,51.86501212,51.86501212,51.86501212,51.86501212
t_1042,51.86501212,51.86501212,51.86501212,51.86501212
t_1043,51.86501212,51.86501212,51.86501212,51.86501212
t_1044,51.86501212,51.86501212,51.86501212,51.86501212
t_1045,51.86501212,51.86501212,51.86501212,51.86501212
t_1046,51.86501212,51.86501212,51.86501212,51.86501212
t_1047,51.86501212,51.86501212,51.86501212,51.86501212
t_1048,51.86501212,51.86501212,51.86501212,51.86501212
t_1049,51.86501212,51.86501212,51.86501212,51.86501212
t_105,51.86501212,51.86501212,51.86501212,51.86501212
t_1050,51.86501212,51.86501212,51.86501212,51.86501212
t_1051,51.86501212,51.86501212,51.86501212,51.86501212
t_1052,51.86501212,51.86501212,51.86501212,51.86501212
t_1053,51.86501212,51.86501212,51.86501212,51.86501212
t_1054,51.86501212,51.86501212,51.86501212,51.86501212
t_1055,51.86501212,51.86501212,51.86501212,51.86501212
t_1056,51.86501212,51.86501212,51.86501212,51.86501212
t_1057,51.86501212,51.86501212,51.86501212,51.86501212
t_1058,51.86501212,51.86501212,51.86501212,51.86501212
t_1059,51.86501212,51.86501212,51.86501212,51.86501212
t_106,51.86501212,51.86501212,51.86501212,51.86501212
t_1060,51.86501212,51.86501212,51.86501212,51.86501212
t_1061,51.86501212,51.86501212,51.86501212,51.86501212
t_1062,51.86501212,51.86501212,51.86501212,51.86501212
t_1063,51.86501212,51.86501212,51.86501212,51.86501212
t_1064,51.86501212,51.86501212,51.86501212,51.86501212
t_1065,51.86501212,51.86501212,51.86501212,51.86501212
t_1066,51.86501212,51.86501212,51.86501212,51.86501212
t_1067,51.86501212,51.86501212,51.86501212,51.86501212
t_1068,51.86501212,51.86501212,51.86501212,51.86501212
t_1069,51.86501212,51.86501212,51.86501212,51.86501212
t_107,51.86501212,51.86501212,51.86501212,51.86501212
t_1070,51.86501212,51.86501212,51.86501212,51.86501212
t_1071,51.86501212,51.86501212,51.86501212,51.86501212
t_1072,51.86501212,51.86501212,51.86501212,51.86501212
t_1073,51.86501212,51.86501212,51.86501212,51.86501212
t_1074,51.86501212,51.86501212,51.86501212,51.86501212
t_1075,51.86501212,51.86501212,51.86501212,51.86501212
t_1076,51.86501212,51.86501212,51.86501212,51.86501212
t_1077,51.86501212,51.86501212,51.86501212,51.86501212
t_1078,51.86501212,51.86501212,51.86501212,51.86501212
t_1079,51.86501212,51.86501212,51.86501212,51.86501212
t_108,51.86501212,51.86501212,51.86501212,51.86501212
t_1080,51.86501212,51.86501212,51.86501212,51.86501212
t_1081,51.86501212,51.86501212,51.86501212,51.86501212
t_1082,51.86501212,51.86501212,51.86501212,51.86501212
t_1083,51.86501212,51.86501212,51.86501212,51.86501212
t_1084,51.86501212,51.86501212,51.86501212,51.86501212
t_1085,51.86501212,51.86501212,51.86501212,51.86501212
t_1086,50.24777529,50.24777529,50.24777529,50.24777529
t_1087,51.86501211,51.86501211,51.86501211,51.86501211
t_1088,51.86501212,51.86501212,51.86501212,51.86501212
t_1089,51.86501212,51.86501212,51.86501212,51.86501212
t_109,51.86501212,51.86501212,51.86501212,51.86501212
t_1090,42.00984982,42.00984982,42.00984982,42.00984982
t_1091,42.00984982,42.00984982,42.00984982,42.00984982
t_1092,42.00984982,42.00984982,42.00984982,42.00984982
t_1093,42.00984982,42.00984982,42.00984982,42.00984982
t_1094,42.00984982,42.00984982,42.00984982,42.00984982
t_1095,42.00984982,42.00984982,42.00984982,42.00984982
t_1096,51.86501212,51.86501212,51.86501212,51.86501212
t_1097,51.86501212,51.86501212,51.86501212,51.86501212
t_1098,51.86501212,51.86501212,51.86501212,51.86501212
t_1099,51.86501212,51.86501212,51.86501212,51.86501212
t_11,50.24777528,50.24777528,50.24777528,50.24777528
t_110,51.86501212,51.86501212,51.86501212,51.86501212
t_1100,51.86501212,51.86501212,51.86501212,51.86501212
t_1101,51.86501212,51.86501212,51.86501212,51.86501212
t_1102,51.86501212,51.86501212,51.86501212,51.86501212
t_1103,51.86501212,51.86501212,51.86501212,51.86501212
t_1104,51.86501212,51.86501212,51.86501212,51.86501212
t_1105,51.86501212,51.86501212,51.86501212,51.86501212
t_1106,50.24777529,50.24777529,50.24777529,50.24777529
t_1107,50.24777529,50.24777529,50.24777529,50.24777529
t_1108,50.24777529,50.24777529,50.24777529,50.24777529
t_1109,50.24777529,50.24777529,50.24777529,50.24777529
t_111,51.86501212,51.86501212,51.86501212,51.86501212
t_1110,51.86501212,51.86501212,51.86501212,51.86501212
t_1111,51.86501212,51.86501212,51.86501212,51.86501212
t_1112,51.86501212,51.86501212,51.86501212,51.86501212
t_1113,51.86501212,51.86501212,51.86501212,51.86501212
t_1114,51.86501212,51.86501212,51.86501212,51.86501212
t_1115,42.00984982,42.00984982,42.00984982,42.00984982
t_1116,42.00984982,42.00984982,42.00984982,42.00984982
t_1117,42.00984982,42.00984982,42.00984982,42.00984982
t_1118,42.00984982,42.00984982,42.00984982,42.00984982
t_1119,42.00984982,42.00984982,42.00984982,42.00984982
t_112,60.1493903,60.1493903,60.1493903,60.1493903
t_1120,50.24777529,50.24777529,50.24777529,50.24777529
t_1121,51.86501212,51.86501212,51.86501212,51.86501212
t_1122,51.86501212,51.86501212,51.86501212,51.86501212
t_1123,51.86501212,51.86501212,51.86501212,51.86501212
t_1124,51.86501212,51.86501212,51.86501212,51.86501212
t_1125,51.86501212,51.86501212,51.86501212,51.86501212
t_1126,51.86501212,51.86501212,51.86501212,51.86501212
t_1127,51.86501212,51.86501212,51.86501212,51.86501212
t_1128,51.86501211,51.86501211,51.86501211,51.86501211
t_1129,9,9,9,9
t_113,60.44873706,60.44873706,60.44873706,60.44873706
t_1130,9,9,9,9
t_1131,9,9,9,9
t_1132,9,9,9,9
t_1133,9,9,9,9
t_1134,1.83E-10,1.83E-10,1.83E-10,1.83E-10
t_1135,1.25E-10,1.25E-10,1.25E-10,1.25E-10
t_1136,4.31E-11,4.31E-11,4.31E-11,4.31E-11
t_1137,2.53E-11,2.53E-11,2.53E-11,2.53E-11
t_1138,1.87E-11,1.87E-11,1.87E-11,1.87E-11
t_1139,1.45E-11,1.45E-11,1.45E-11,1.45E-11
t_114,51.86501212,51.86501212,51.86501212,51.86501212
t_1140,1.01E-11,1.01E-11,1.01E-11,1.01E-11
t_1141,9.01E-12,9.01E-12,9.01E-12,9.01E-12
t_1142,1.18E-11,1.18E-11,1.18E-11,1.18E-11
t_1143,2.02E-11,2.02E-11,2.02E-11,2.02E-11
t_1144,4.90E-11,4.90E-11,4.90E-11,4.90E-11
t_1145,9,9,9,9
t_1146,42.00984982,42.00984982,42.00984982,42.00984982
t_1147,51.86501212,51.86501212,51.86501212,51.86501212
t_1148,51.86501212,51.86501212,51.86501212,51.86501212
t_1149,51.86501212,51.86501212,51.86501212,51.86501212
t_115,51.86501212,51.86501212,51.86501212,51.86501212
t_1150,51.86501212,51.86501212,51.86501212,51.86501212
t_1151,51.86501212,51.86501212,51.86501212,51.86501212
t_1152,51.86501212,51.86501212,51.86501212,51.86501212
t_1153,51.86501212,51.86501212,51.86501212,51.86501212
t_1154,51.86501212,51.86501212,51.86501212,51.86501212
t_1155,51.86501212,51.86501212,51.86501212,51.86501212
t_1156,51.86501212,51.86501212,51.86501212,51.86501212
t_1157,51.86501212,51.86501212,51.86501212,51.86501212
t_1158,51.86501212,51.86501212,51.86501212,51.86501212
t_1159,51.86501212,51.86501212,51.86501212,51.86501212
t_116,51.86501212,51.86501212,51.86501212,51.86501212
t_1160,51.86501212,51.86501212,51.86501212,51.86501212
t_1161,51.86501212,51.86501212,51.86501212,51.86501212
t_1162,51.86501212,51.86501212,51.86501212,51.86501212
t_1163,51.86501212,51.86501212,51.86501212,51.86501212
t_1164,51.86501212,51.86501212,51.86501212,51.86501212
t_1165,51.86501212,51.86501212,51.86501212,51.86501212
t_1166,51.86501212,51.86501212,51.86501212,51.86501212
t_1167,51.86501212,51.86501212,51.86501212,51.86501212
t_1168,51.86501212,51.86501212,51.86501212,51.86501212
t_1169,51.86501212,51.86501212,51.86501212,51.86501212
t_117,51.86501212,51.86501212,51.86501212,51.86501212
t_1170,51.86501212,51.86501212,51.86501212,51.86501212
t_1171,51.86501212,51.86501212,51.86501212,51.86501212
t_1172,51.86501212,51.86501212,51.86501212,51.86501212
t_1173,51.86501212,51.86501212,51.86501212,51.86501212
t_1174,51.86501212,51.86501212,51.86501212,51.86501212
t_1175,51.86501212,51.86501212,51.86501212,51.86501212
t_1176,51.86501212,51.86501212,51.86501212,51.86501212
t_1177,51.86501212,51.86501212,51.86501212,51.86501212
t_1178,51.86501212,51.86501212,51.86501212,51.86501212
t_1179,51.86501212,51.86501212,51.86501212,51.86501212
t_118,51.86501212,51.86501212,51.86501212,51.86501212
t_1180,51.86501212,51.86501212,51.86501212,51.86501212
t_1181,51.86501212,51.86501212,51.86501212,51.86501212
t_1182,51.86501212,51.86501212,51.86501212,51.86501212
t_1183,51.86501212,51.86501212,51.86501212,51.86501212
t_1184,51.86501212,51.86501212,51.86501212,51.86501212
t_1185,50.24777529,50.24777529,50.24777529,50.24777529
t_1186,42.00984982,42.00984982,42.00984982,42.00984982
t_1187,42.00984982,42.00984982,42.00984982,42.00984982
t_1188,42.00984982,42.00984982,42.00984982,42.00984982
t_1189,42.00984982,42.00984982,42.00984982,42.00984982
t_119,51.86501212,51.86501212,51.86501212,51.86501212
t_1190,42.00984982,42.00984982,42.00984982,42.00984982
t_1191,43.0177452,43.0177452,43.0177452,43.0177452
t_1192,51.86501212,51.86501212,51.86501212,51.86501212
t_1193,51.86501212,51.86501212,51.86501212,51.86501212
t_1194,51.86501212,51.86501212,51.86501212,51.86501212
t_1195,51.86501212,51.86501212,51.86501212,51.86501212
t_1196,51.86501212,51.86501212,51.86501212,51.86501212
t_1197,51.86501212,51.86501212,51.86501212,51.86501212
t_1198,51.86501212,51.86501212,51.86501212,51.86501212
t_1199,51.86501212,51.86501212,51.86501212,51.86501212
t_12,50.24777528,50.24777528,50.24777528,50.24777528
t_120,51.86501212,51.86501212,51.86501212,51.86501212
t_1200,51.86501212,51.86501212,51.86501212,51.86501212
t_1201,51.86501212,51.86501212,51.86501212,51.86501212
t_1202,51.86501212,51.86501212,51.86501212,51.86501212
t_1203,51.86501212,51.86501212,51.86501212,51.86501212
t_1204,51.86501212,51.86501212,51.86501212,51.86501212
t_1205,51.86501212,51.86501212,51.86501212,51.86501212
t_1206,51.86501212,51.86501212,51.86501212,51.86501212
t_1207,51.86501212,51.86501212,51.86501212,51.86501212
t_1208,51.86501212,51.86501212,51.86501212,51.86501212
t_1209,50.24777529,50.24777529,50.24777529,50.24777529
t_121,51.86501212,51.86501212,51.86501212,51.86501212
t_1210,42.00984982,42.00984982,42.00984982,42.00984982
t_1211,42.00984982,42.00984982,42.00984982,42.00984982
t_1212,42.00984982,42.00984982,42.00984982,42.00984982
t_1213,42.00984982,42.00984982,42.00984982,42.00984982
t_1214,42.71465058,42.71465058,42.71465058,42.71465058
t_1215,51.86501212,51.86501212,51.86501212,51.86501212
t_1216,51.86501212,51.86501212,51.86501212,51.86501212
t_1217,51.86501212,51.86501212,51.86501212,51.86501212
t_1218,51.86501212,51.86501212,51.86501212,51.86501212
t_1219,51.86501212,51.86501212,51.86501212,51.86501212
t_122,51.86501212,51.86501212,51.86501212,51.86501212
t_1220,51.86501212,51.86501212,51.86501212,51.86501212
t_1221,51.86501212,51.86501212,51.86501212,51.86501212
t_1222,51.86501212,51.86501212,51.86501212,51.86501212
t_1223,51.86501212,51.86501212,51.86501212,51.86501212
t_1224,51.86501212,51.86501212,51.86501212,51.86501212
t_1225,51.86501212,51.86501212,51.86501212,51.86501212
t_1226,51.86501212,51.86501212,51.86501212,51.86501212
t_1227,51.86501212,51.86501212,51.86501212,51.86501212
t_1228,51.86501212,51.86501212,51.86501212,51.86501212
t_1229,51.86501212,51.86501212,51.86501212,51.86501212
t_123,51.86501212,51.86501212,51.86501212,51.86501212
t_1230,51.86501212,51.86501212,51.86501212,51.86501212
t_1231,51.86501212,51.86501212,51.86501212,51.86501212
t_1232,51.86501212,51.86501212,51.86501212,51.86501212
t_1233,51.86501212,51.86501212,51.86501212,51.86501212
t_1234,42.00984982,42.00984982,42.00984982,42.00984982
t_1235,42.00984982,42.00984982,42.00984982,42.00984982
t_1236,42.00984982,42.00984982,42.00984982,42.00984982
t_1237,42.00984982,42.00984982,42.00984982,42.00984982
t_1238,42.00984982,42.00984982,42.00984982,42.00984982
t_1239,42.00984982,42.00984982,42.00984982,42.00984982
t_124,51.86501212,51.86501212,51.86501212,51.86501212
t_1240,51.86501212,51.86501212,51.86501212,51.86501212
t_1241,51.86501212,51.86501212,51.86501212,51.86501212
t_1242,51.86501212,51.86501212,51.86501212,51.86501212
t_1243,51.86501212,51.86501212,51.86501212,51.86501212
t_1244,51.86501212,51.86501212,51.86501212,51.86501212
t_1245,51.86501212,51.86501212,51.86501212,51.86501212
t_1246,51.86501212,51.86501212,51.86501212,51.86501212
t_1247,51.86501212,51.86501212,51.86501212,51.86501212
t_1248,51.86501212,51.86501212,51.86501212,51.86501212
t_1249,51.86501212,51.86501212,51.86501212,51.86501212
t_125,51.86501212,51.86501212,51.86501212,51.86501212
t_1250,51.86501212,51.86501212,51.86501212,51.86501212
t_1251,51.86501212,51.86501212,51.86501212,51.86501212
t_1252,42.00984982,42.00984982,42.00984982,42.00984982
t_1253,42.00984982,42.00984982,42.00984982,42.00984982
t_1254,51.86501212,51.86501212,51.86501212,51.86501212
t_1255,51.86501212,51.86501212,51.86501212,51.86501212
t_1256,51.86501212,51.86501212,51.86501212,51.86501212
t_1257,51.86501212,51.86501212,51.86501212,51.86501212
t_1258,42.00984982,42.00984982,42.00984982,42.00984982
t_1259,42.00984982,42.00984982,42.00984982,42.00984982
t_126,51.86501212,51.86501212,51.86501212,51.86501212
t_1260,42.00984982,42.00984982,42.00984982,42.00984982
t_1261,42.00984982,42.00984982,42.00984982,42.00984982
t_1262,42.00984982,42.00984982,42.00984982,42.00984982
t_1263,42.00984982,42.00984982,42.00984982,42.00984982
t_1264,51.86501212,51.86501212,51.86501212,51.86501212
t_1265,51.86501212,51.86501212,51.86501212,51.86501212
t_1266,51.86501212,51.86501212,51.86501212,51.86501212
t_1267,51.86501212,51.86501212,51.86501212,51.86501212
t_1268,51.86501212,51.86501212,51.86501212,51.86501212
t_1269,51.86501212,51.86501212,51.86501212,51.86501212
t_127,51.86501212,51.86501212,51.86501212,51.86501212
t_1270,51.86501212,51.86501212,51.86501212,51.86501212
t_1271,51.86501212,51.86501212,51.86501212,51.86501212
t_1272,51.86501212,51.86501212,51.86501212,51.86501212
t_1273,51.86501212,51.86501212,51.86501212,51.86501212
t_1274,51.86501212,51.86501212,51.86501212,51.86501212
t_1275,51.86501212,51.86501212,51.86501212,51.86501212
t_1276,42.00984983,42.00984983,42.00984983,42.00984983
t_1277,50.24777529,50.24777529,50.24777529,50.24777529
t_1278,51.86501212,51.86501212,51.86501212,51.86501212
t_1279,51.86501212,51.86501212,51.86501212,51.86501212
t_128,51.86501212,51.86501212,51.86501212,51.86501212
t_1280,51.86501212,51.86501212,51.86501212,51.86501212
t_1281,51.86501212,51.86501212,51.86501212,51.86501212
t_1282,51.86501212,51.86501212,51.86501212,51.86501212
