time_step,DE00,AT00,FR00,IT00
t_1,9,9,9,9
t_10,9,9,9,9
t_100,9,9,9,9
t_1000,9,9,9,9
t_1001,9,9,9,9
t_1002,9,9,9,9
t_1003,9,9,9,9
t_1004,9,9,9,9
t_1005,9,9,9,9
t_1006,9,9,9,9
t_1007,9,9,9,9
t_1008,9,9,9,9
t_1009,9,9,9,9
t_101,9,9,9,9
t_1010,9,9,9,9
t_1011,9,9,9,9
t_1012,9,9,9,9
t_1013,9,9,9,9
t_1014,9,9,9,9
t_1015,9,9,9,9
t_1016,9,9,9,9
t_1017,9,9,9,9
t_1018,9,9,9,9
t_1019,9,9,9,9
t_102,9,9,9,9
t_1020,9,9,9,9
t_1021,9,9,9,9
t_1022,9,9,9,9
t_1023,9,9,9,9
t_1024,9,9,9,9
t_1025,9,9,9,9
t_1026,9,9,9,9
t_1027,9,9,9,9
t_1028,9,9,9,9
t_1029,9,9,9,9
t_103,9,9,9,9
t_1030,9,9,9,9
t_1031,9,9,9,9
t_1032,9,9,9,9
t_1033,9,9,9,9
t_1034,9,9,9,9
t_1035,9,9,9,9
t_1036,9,9,9,9
t_1037,9,9,9,9
t_1038,9,9,9,9
t_1039,9,9,9,9
t_104,9.000000002,9.000000002,9.000000002,9.000000002
t_1040,9,9,9,9
t_1041,9,9,9,9
t_1042,9,9,9,9
t_1043,9,9,9,9
t_1044,9,9,9,9
t_1045,9,9,9,9
t_1046,9,9,9,9
t_1047,9,9,9,9
t_1048,9,9,9,9
t_1049,9,9,9,9
t_105,9,9,9,9
t_1050,9,9,9,9
t_1051,9,9,9,9
t_1052,9,9,9,9
t_1053,9,9,9,9
t_1054,9,9,9,9
t_1055,9,9,9,9
t_1056,9,9,9,9
t_1057,9,9,9,9
t_1058,9,9,9,9
t_1059,9,9,9,9
t_106,9,9,9,9
t_1060,9,9,9,9
t_1061,9,9,9,9
t_1062,9,9,9,9
t_1063,9,9,9,9
t_1064,9,9,9,9
t_1065,9,9,9,9
t_1066,9,9,9,9
t_1067,9,9,9,9
t_1068,9,9,9,9
t_1069,9,9,9,9
t_107,9,9,9,9
t_1070,9,9,9,9
t_1071,9,9,9,9
t_1072,9,9,9,9
t_1073,9,9,9,9
t_1074,9,9,9,9
t_1075,9,9,9,9
t_1076,9,9,9,9
t_1077,9,9,9,9
t_1078,9,9,9,9
t_1079,9,9,9,9
t_108,9,9,9,9
t_1080,9,9,9,9
t_1081,9,9,9,9
t_1082,9,9,9,9
t_1083,9,9,9,9
t_1084,9,9,9,9
t_1085,9,9,9,9
t_1086,9,9,9,9
t_1087,9,9,9,9
t_1088,9,9,9,9
t_1089,9,9,9,9
t_109,9,9,9,9
t_1090,9,9,9,9
t_1091,9,9,9,9
t_1092,9,9,9,9
t_1093,9,9,9,9
t_1094,9,9,9,9
t_1095,9,9,9,9
t_1096,9,9,9,9
t_1097,9,9,9,9
t_1098,9,9,9,9
t_1099,9,9,9,9
t_11,9,9,9,9
t_110,9,9,9,9
t_1100,9,9,9,9
t_1101,9,9,9,9
t_1102,9,9,9,9
t_1103,9,9,9,9
t_1104,9,9,9,9
t_1105,9,9,9,9
t_1106,9,9,9,9
t_1107,9,9,9,9
t_1108,9,9,9,9
t_1109,9,9,9,9
t_111,9,9,9,9
t_1110,9,9,9,9
t_1111,9,9,9,9
t_1112,9,9,9,9
t_1113,9,9,9,9
t_1114,9,9,9,9
t_1115,9,9,9,9
t_1116,7.28919,7.28919,7.28919,7.28919
t_1117,6.811343102,6.811343102,6.811343102,6.811343102
t_1118,6.811343102,6.811343102,6.811343102,6.811343102
t_1119,7.28919,7.28919,7.28919,7.28919
t_112,9,9,9,9
t_1120,9,9,9,9
t_1121,9,9,9,9
t_1122,9,9,9,9
t_1123,9,9,9,9
t_1124,9,9,9,9
t_1125,9,9,9,9
t_1126,9,9,9,9
t_1127,9,9,9,9
t_1128,9,9,9,9
t_1129,9,9,9,9
t_113,9,9,9,9
t_1130,9,9,9,9
t_1131,9,9,9,9
t_1132,9,9,9,9
t_1133,9,9,9,9
t_1134,9,9,9,9
t_1135,9,9,9,9
t_1136,9,9,9,9
t_1137,9,9,9,9
t_1138,9,9,9,9
t_1139,9,9,9,9
t_114,9,9,9,9
t_1140,9,9,9,9
t_1141,9,9,9,9
t_1142,9,9,9,9
t_1143,9,9,9,9
t_1144,9,9,9,9
t_1145,9,9,9,9
t_1146,9,9,9,9
t_1147,9,9,9,9
t_1148,9,9,9,9
t_1149,9,9,9,9
t_115,9,9,9,9
t_1150,9,9,9,9
t_1151,9,9,9,9
t_1152,9,9,9,9
t_1153,9,9,9,9
t_1154,9,9,9,9
t_1155,9,9,9,9
t_1156,9,9,9,9
t_1157,9,9,9,9
t_1158,9,9,9,9
t_1159,9,9,9,9
t_116,9,9,9,9
t_1160,9,9,9,9
t_1161,9,9,9,9
t_1162,9,9,9,9
t_1163,8.999999998,8.999999998,8.999999998,8.999999998
t_1164,6.811343103,6.811343103,6.811343103,6.811343103
t_1165,3.48E-11,3.48E-11,3.48E-11,3.48E-11
t_1166,1.66E-11,1.66E-11,1.66E-11,1.66E-11
t_1167,6.811343102,6.811343102,6.811343102,6.811343102
t_1168,9,9,9,9
t_1169,9,9,9,9
t_117,9,9,9,9
t_1170,9,9,9,9
t_1171,9,9,9,9
t_1172,9,9,9,9
t_1173,9,9,9,9
t_1174,9,9,9,9
t_1175,9,9,9,9
t_1176,9,9,9,9
t_1177,9,9,9,9
t_1178,9,9,9,9
t_1179,9,9,9,9
t_118,9,9,9,9
t_1180,9,9,9,9
t_1181,9,9,9,9
t_1182,9,9,9,9
t_1183,9,9,9,9
t_1184,9,9,9,9
t_1185,9,9,9,9
t_1186,9,9,9,9
t_1187,9,9,9,9
t_1188,7.28919,7.28919,7.28919,7.28919
t_1189,6.811343103,6.811343103,6.811343103,6.811343103
t_119,9.000999999,9.000999999,9.000999999,9.000999999
t_1190,6.811343103,6.811343103,6.811343103,6.811343103
t_1191,7.28919,7.28919,7.28919,7.28919
t_1192,9,9,9,9
t_1193,9,9,9,9
t_1194,9,9,9,9
t_1195,9,9,9,9
t_1196,9,9,9,9
t_1197,9,9,9,9
t_1198,9,9,9,9
t_1199,9,9,9,9
t_12,9,9,9,9
t_120,9,9,9,9
t_1200,9,9,9,9
t_1201,9,9,9,9
t_1202,9,9,9,9
t_1203,9,9,9,9
t_1204,9,9,9,9
t_1205,9,9,9,9
t_1206,9,9,9,9
t_1207,9,9,9,9
t_1208,9,9,9,9
t_1209,9,9,9,9
t_121,9,9,9,9
t_1210,9,9,9,9
t_1211,9,9,9,9
t_1212,9,9,9,9
t_1213,9,9,9,9
t_1214,9,9,9,9
t_1215,9,9,9,9
t_1216,9,9,9,9
t_1217,9,9,9,9
t_1218,9,9,9,9
t_1219,9,9,9,9
t_122,9,9,9,9
t_1220,9,9,9,9
t_1221,9,9,9,9
t_1222,9,9,9,9
t_1223,9,9,9,9
t_1224,9,9,9,9
t_1225,9,9,9,9
t_1226,9,9,9,9
t_1227,9,9,9,9
t_1228,9,9,9,9
t_1229,9,9,9,9
t_123,9,9,9,9
t_1230,9,9,9,9
t_1231,9,9,9,9
t_1232,9,9,9,9
t_1233,9,9,9,9
t_1234,9,9,9,9
t_1235,9,9,9,9
t_1236,9,9,9,9
t_1237,9,9,9,9
t_1238,9,9,9,9
t_1239,9,9,9,9
t_124,9,9,9,9
t_1240,9,9,9,9
t_1241,9,9,9,9
t_1242,9,9,9,9
t_1243,9,9,9,9
t_1244,9,9,9,9
t_1245,9,9,9,9
t_1246,9,9,9,9
t_1247,9,9,9,9
t_1248,9,9,9,9
t_1249,9,9,9,9
t_125,9,9,9,9
t_1250,9,9,9,9
t_1251,9,9,9,9
t_1252,9,9,9,9
t_1253,9,9,9,9
t_1254,9,9,9,9
t_1255,9,9,9,9
t_1256,9,9,9,9
t_1257,9,9,9,9
t_1258,9,9,9,9
t_1259,9,9,9,9
t_126,9,9,9,9
t_1260,9,9,9,9
t_1261,9,9,9,9
t_1262,9,9,9,9
t_1263,9,9,9,9
t_1264,9,9,9,9
t_1265,9,9,9,9
t_1266,9,9,9,9
t_1267,9,9,9,9
t_1268,9,9,9,9
t_1269,9,9,9,9
t_127,9,9,9,9
t_1270,9,9,9,9
t_1271,9,9,9,9
t_1272,9,9,9,9
t_1273,9,9,9,9
t_1274,9,9,9,9
t_1275,9,9,9,9
t_1276,9,9,9,9
t_1277,9,9,9,9
t_1278,9,9,9,9
t_1279,9,9,9,9
t_128,9,9,9,9
t_1280,9,9,9,9
t_1281,9,9,9,9
t_1282,9,9,9,9
t_1283,9,9,9,9
t_1284,9,9,9,9
t_1285,9,9,9,9
t_1286,9,9,9,9
t_1287,9,9,9,9
t_1288,9,9,9,9
t_1289,9,9,9,9
t_129,9,9,9,9
t_1290,9,9,9,9
t_1291,9,9,9,9
t_1292,9,9,9,9
t_1293,9,9,9,9
t_1294,9,9,9,9
t_1295,9,9,9,9
t_1296,9,9,9,9
t_1297,9,9,9,9
t_1298,9,9,9,9
t_1299,9,9,9,9
t_13,8.999999999,8.999999999,8.999999999,8.999999999
t_130,9,9,9,9
t_1300,9,9,9,9
t_1301,9,9,9,9
t_1302,9,9,9,9
t_1303,9,9,9,9
t_1304,9,9,9,9
t_1305,9,9,9,9
t_1306,9,9,9,9
t_1307,9,9,9,9
t_1308,9,9,9,9
t_1309,9,9,9,9
t_131,9,9,9,9
t_1310,9,9,9,9
t_1311,9,9,9,9
t_1312,9,9,9,9
t_1313,9,9,9,9
t_1314,9,9,9,9
t_1315,9,9,9,9
t_1316,9,9,9,9
t_1317,9,9,9,9
t_1318,9,9,9,9
t_1319,9,9,9,9
t_132,9,9,9,9
t_1320,9,9,9,9
t_1321,9,9,9,9
t_1322,9,9,9,9
t_1323,9,9,9,9
t_1324,9,9,9,9
t_1325,9,9,9,9
t_1326,9,9,9,9
t_1327,9,9,9,9
t_1328,9,9,9,9
t_1329,9,9,9,9
t_133,9,9,9,9
t_1330,9,9,9,9
t_1331,9,9,9,9
t_1332,9,9,9,9
t_1333,9,9,9,9
t_1334,9,9,9,9
t_1335,9,9,9,9
t_1336,9,9,9,9
t_1337,9,9,9,9
t_1338,9,9,9,9
t_1339,9,9,9,9
t_134,9,9,9,9
t_1340,9,9,9,9
t_1341,9,9,9,9
t_1342,9,9,9,9
t_1343,9,9,9,9
t_1344,9,9,9,9
t_1345,9,9,9,9
t_1346,9,9,9,9
t_1347,9,9,9,9
t_1348,9,9,9,9
t_1349,9,9,9,9
t_135,9,9,9,9
t_1350,9,9,9,9
t_1351,9,9,9,9
t_1352,9,9,9,9
t_1353,9,9,9,9
t_1354,9,9,9,9
t_1355,9,9,9,9
t_1356,9,9,9,9
t_1357,9,9,9,9
t_1358,9,9,9,9
t_1359,9,9,9,9
t_136,9,9,9,9
t_1360,9,9,9,9
t_1361,9,9,9,9
t_1362,9,9,9,9
t_1363,9,9,9,9
t_1364,9,9,9,9
t_1365,9,9,9,9
t_1366,9,9,9,9
t_1367,9.000000001,9.000000001,9.000000001,9.000000001
