time_step,DE00,AT00,FR00,IT00
t_1,60.1494,60.1494,60.1494,60.1494
t_10,0.0,0.0,0.0,0.0
t_100,60.1494,60.1494,60.1494,60.1494
t_1000,81.0944,81.0944,81.0944,81.0944
t_1001,107.022,107.022,107.022,107.022
t_1002,107.022,107.022,107.022,107.022
t_1003,107.022,107.022,107.022,107.022
t_1004,107.022,107.022,107.022,107.022
t_1005,107.022,107.022,107.022,107.022
t_1006,107.022,107.022,107.022,107.022
t_1007,107.022,107.022,107.022,107.022
t_1008,107.022,107.022,107.022,107.022
t_1009,107.022,107.022,107.022,107.022
t_101,60.1494,60.1494,60.1494,60.1494
t_1010,107.022,107.022,107.022,107.022
t_1011,107.022,107.022,107.022,107.022
t_1012,107.022,107.022,107.022,107.022
t_1013,107.022,107.022,107.022,107.022
t_1014,107.022,107.022,107.022,107.022
t_1015,107.022,107.022,107.022,107.022
t_1016,107.022,107.022,107.022,107.022
t_1017,107.022,107.022,107.022,107.022
t_1018,107.022,107.022,107.022,107.022
t_1019,86.687,86.687,86.687,86.687
t_102,60.1494,60.1494,60.1494,60.1494
t_1020,86.687,86.687,86.687,86.687
t_1021,86.687,86.687,86.687,86.687
t_1022,86.687,86.687,86.687,86.687
t_1023,86.687,86.687,86.687,86.687
t_1024,107.022,107.022,107.022,107.022
t_1025,132.1269,132.1269,132.1269,132.1269
t_1026,132.1269,132.1269,132.1269,132.1269
t_1027,132.1269,132.1269,132.1269,132.1269
t_1028,132.1269,132.1269,132.1269,132.1269
t_1029,132.1269,132.1269,132.1269,132.1269
t_103,68.5239,68.5239,68.5239,68.5239
t_1030,132.1269,132.1269,132.1269,132.1269
t_1031,132.1269,132.1269,132.1269,132.1269
t_1032,132.1269,132.1269,132.1269,132.1269
t_1033,131.4276,131.4276,131.4276,131.4276
t_1034,121.153,121.153,121.153,121.153
t_1035,110.0869,110.0869,110.0869,110.0869
t_1036,110.0052,110.0052,110.0052,110.0052
t_1037,110.0052,110.0052,110.0052,110.0052
t_1038,110.0052,110.0052,110.0052,110.0052
t_1039,132.1269,132.1269,132.1269,132.1269
t_104,68.5239,68.5239,68.5239,68.5239
t_1040,132.1269,132.1269,132.1269,132.1269
t_1041,110.0052,110.0052,110.0052,110.0052
t_1042,107.022,107.022,107.022,107.022
t_1043,107.022,107.022,107.022,107.022
t_1044,107.022,107.022,107.022,107.022
t_1045,107.022,107.022,107.022,107.022
t_1046,107.022,107.022,107.022,107.022
t_1047,107.022,107.022,107.022,107.022
t_1048,110.0052,110.0052,110.0052,110.0052
t_1049,132.1269,132.1269,132.1269,132.1269
t_105,60.1494,60.1494,60.1494,60.1494
t_1050,132.1269,132.1269,132.1269,132.1269
t_1051,132.1269,132.1269,132.1269,132.1269
t_1052,132.1269,132.1269,132.1269,132.1269
t_1053,132.1269,132.1269,132.1269,132.1269
t_1054,132.1269,132.1269,132.1269,132.1269
t_1055,132.1269,132.1269,132.1269,132.1269
t_1056,110.0052,110.0052,110.0052,110.0052
t_1057,107.022,107.022,107.022,107.022
