time_step,DE00,AT00,FR00,IT00
t_1,43.21985363,43.21985363,43.21985363,43.21985363
t_10,27.37388764,27.37388764,27.37388764,27.37388764
t_100,43.21985363,43.21985363,43.21985363,43.21985363
t_1000,48.45610921,48.45610921,48.45610921,48.45610921
t_1001,55.39492022,55.39492022,55.39492022,55.39492022
t_1002,55.39492022,55.39492022,55.39492022,55.39492022
t_1003,55.39492022,55.39492022,55.39492022,55.39492022
t_1004,55.39492022,55.39492022,55.39492022,55.39492022
t_1005,54.93799906,54.93799906,54.93799906,54.93799906
t_1006,54.93799906,54.93799906,54.93799906,54.93799906
t_1007,54.93799906,54.93799906,54.93799906,54.93799906
t_1008,54.93799906,54.93799906,54.93799906,54.93799906
t_1009,54.93799906,54.93799906,54.93799906,54.93799906
t_101,43.21985363,43.21985363,43.21985363,43.21985363
t_1010,52.47420849,52.47420849,52.47420849,52.47420849
t_1011,52.47420849,52.47420849,52.47420849,52.47420849
t_1012,50.01041791,50.01041791,50.01041791,50.01041791
t_1013,50.01041792,50.01041792,50.01041792,50.01041792
t_1014,52.47420849,52.47420849,52.47420849,52.47420849
t_1015,52.47420849,52.47420849,52.47420849,52.47420849
t_1016,54.93799906,54.93799906,54.93799906,54.93799906
t_1017,54.93799906,54.93799906,54.93799906,54.93799906
t_1018,50.01041791,50.01041791,50.01041791,50.01041791
t_1019,44.92667174,44.92667174,44.92667174,44.92667174
t_102,43.21985364,43.21985364,43.21985364,43.21985364
t_1020,44.92667174,44.92667174,44.92667174,44.92667174
t_1021,44.92667174,44.92667174,44.92667174,44.92667174
t_1022,44.92667174,44.92667174,44.92667174,44.92667174
t_1023,44.92667174,44.92667174,44.92667174,44.92667174
t_1024,54.93799906,54.93799906,54.93799906,54.93799906
t_1025,61.2142289,61.2142289,61.2142289,61.2142289
t_1026,61.2142289,61.2142289,61.2142289,61.2142289
t_1027,61.2142289,61.2142289,61.2142289,61.2142289
t_1028,61.2142289,61.2142289,61.2142289,61.2142289
t_1029,61.2142289,61.2142289,61.2142289,61.2142289
t_103,47.39988017,47.39988017,47.39988017,47.39988017
t_1030,61.21422891,61.21422891,61.21422891,61.21422891
t_1031,61.21422891,61.21422891,61.21422891,61.21422891
t_1032,61.21422891,61.21422891,61.21422891,61.21422891
t_1033,61.03940909,61.03940909,61.03940909,61.03940909
t_1034,58.47076477,58.47076477,58.47076477,58.47076477
t_1035,55.70422258,55.70422258,55.70422258,55.70422258
t_1036,55.68379356,55.68379356,55.68379356,55.68379356
t_1037,55.68379356,55.68379356,55.68379356,55.68379356
t_1038,55.68379356,55.68379356,55.68379356,55.68379356
t_1039,61.2142289,61.2142289,61.2142289,61.2142289
t_104,48.35520743,48.35520743,48.35520743,48.35520743
t_1040,61.2142289,61.2142289,61.2142289,61.2142289
t_1041,52.54384291,52.54384291,52.54384291,52.54384291
t_1042,41.97174603,41.97174603,41.97174603,41.97174603
t_1043,41.97174603,41.97174603,41.97174603,41.97174603
t_1044,41.97174603,41.97174603,41.97174603,41.97174603
t_1045,41.97174603,41.97174603,41.97174603,41.97174603
t_1046,41.97174603,41.97174603,41.97174603,41.97174603
t_1047,41.97174603,41.97174603,41.97174603,41.97174603
t_1048,55.68379356,55.68379356,55.68379356,55.68379356
t_1049,61.2142289,61.2142289,61.2142289,61.2142289
t_105,43.21985363,43.21985363,43.21985363,43.21985363
t_1050,61.2142289,61.2142289,61.2142289,61.2142289
t_1051,61.2142289,61.2142289,61.2142289,61.2142289
t_1052,61.2142289,61.2142289,61.2142289,61.2142289
t_1053,61.2142289,61.2142289,61.2142289,61.2142289
t_1054,61.2142289,61.2142289,61.2142289,61.2142289
t_1055,61.2142289,61.2142289,61.2142289,61.2142289
t_1056,55.68379356,55.68379356,55.68379356,55.68379356
t_1057,54.93799906,54.93799906,54.93799906,54.93799906
t_1058,54.93799906,54.93799906,54.93799906,54.93799906
t_1059,54.93799906,54.93799906,54.93799906,54.93799906
t_106,41.14875909,41.14875909,41.14875909,41.14875909
t_1060,54.93799906,54.93799906,54.93799906,54.93799906
t_1061,53.81366476,53.81366476,53.81366476,53.81366476
t_1062,54.8908794,54.8908794,54.8908794,54.8908794
t_1063,54.93799906,54.93799906,54.93799906,54.93799906
t_1064,54.93799906,54.93799906,54.93799906,54.93799906
t_1065,54.93799906,54.93799906,54.93799906,54.93799906
t_1066,48.43354949,48.43354949,48.43354949,48.43354949
t_1067,43.21985363,43.21985363,43.21985363,43.21985363
t_1068,43.21985363,43.21985363,43.21985363,43.21985363
t_1069,43.21985363,43.21985363,43.21985363,43.21985363
t_107,30.43250606,30.43250606,30.43250606,30.43250606
t_1070,43.21985363,43.21985363,43.21985363,43.21985363
t_1071,43.21985363,43.21985363,43.21985363,43.21985363
t_1072,43.21985363,43.21985363,43.21985363,43.21985363
t_1073,54.93799906,54.93799906,54.93799906,54.93799906
t_1074,54.93799906,54.93799906,54.93799906,54.93799906
t_1075,54.93799906,54.93799906,54.93799906,54.93799906
t_1076,54.93799906,54.93799906,54.93799906,54.93799906
t_1077,54.93799906,54.93799906,54.93799906,54.93799906
t_1078,54.93799906,54.93799906,54.93799906,54.93799906
t_1079,54.93799906,54.93799906,54.93799906,54.93799906
t_108,28.18250606,28.18250606,28.18250606,28.18250606
t_1080,54.93799906,54.93799906,54.93799906,54.93799906
t_1081,53.98676779,53.98676779,53.98676779,53.98676779
t_1082,52.6329576,52.6329576,52.6329576,52.6329576
t_1083,48.43354949,48.43354949,48.43354949,48.43354949
t_1084,48.43354949,48.43354949,48.43354949,48.43354949
t_1085,48.43354949,48.43354949,48.43354949,48.43354949
t_1086,48.02924028,48.02924028,48.02924028,48.02924028
t_1087,53.18404424,53.18404424,53.18404424,53.18404424
t_1088,48.43354949,48.43354949,48.43354949,48.43354949
t_1089,43.21985363,43.21985363,43.21985363,43.21985363
t_109,28.18250606,28.18250606,28.18250606,28.18250606
