time_step,DE00,AT00,FR00,IT00
t_1,113,113,113,113
t_2,104,104,104,104
t_3,104,104,104,104
t_4,100,100,100,100
t_5,99,99,99,99
t_6,101,101,101,101
t_7,110,110,110,110
t_8,127,127,127,127
t_9,120,120,120,120
t_10,109,109,109,109
t_11,111,111,111,111
t_12,125,125,125,125
t_13,106,106,106,106
t_14,102,102,102,102
t_15,132,132,132,132
t_16,173,173,173,173
t_17,172,172,172,172
t_18,332,332,332,332
t_19,418,418,418,418
t_20,348,348,348,348
t_21,181,181,181,181
t_22,171,171,171,171
t_23,162,162,162,162
t_24,134,134,134,134
t_25,113,113,113,113
t_26,104,104,104,104
t_27,104,104,104,104
t_28,100,100,100,100
t_29,99,99,99,99
t_30,101,101,101,101
t_31,110,110,110,110
t_32,127,127,127,127
t_33,120,120,120,120
t_34,109,109,109,109
t_35,111,111,111,111
t_36,125,125,125,125
t_37,106,106,106,106
t_38,102,102,102,102
t_39,132,132,132,132
t_40,173,173,173,173
t_41,172,172,172,172
t_42,332,332,332,332
t_43,418,418,418,418
t_44,348,348,348,348
t_45,181,181,181,181
t_46,171,171,171,171
t_47,162,162,162,162
t_48,134,134,134,134
t_49,113,113,113,113
t_50,104,104,104,104
t_51,104,104,104,104
t_52,100,100,100,100
t_53,99,99,99,99
t_54,101,101,101,101
t_55,110,110,110,110
t_56,127,127,127,127
t_57,120,120,120,120
t_58,109,109,109,109
t_59,111,111,111,111
t_60,125,125,125,125
t_61,106,106,106,106
t_62,102,102,102,102
t_63,132,132,132,132
t_64,173,173,173,173
t_65,172,172,172,172
t_66,332,332,332,332
t_67,418,418,418,418
t_68,348,348,348,348
t_69,181,181,181,181
t_70,171,171,171,171
t_71,162,162,162,162
t_72,134,134,134,134
t_73,113,113,113,113
t_74,104,104,104,104
t_75,104,104,104,104
t_76,100,100,100,100
t_77,99,99,99,99
t_78,101,101,101,101
t_79,110,110,110,110
t_80,127,127,127,127
t_81,120,120,120,120
t_82,109,109,109,109
t_83,111,111,111,111
t_84,125,125,125,125
t_85,106,106,106,106
t_86,102,102,102,102
t_87,132,132,132,132
t_88,173,173,173,173
t_89,172,172,172,172
t_90,332,332,332,332
t_91,418,418,418,418
t_92,348,348,348,348
t_93,181,181,181,181
t_94,171,171,171,171
t_95,162,162,162,162
t_96,134,134,134,134
t_97,113,113,113,113
t_98,104,104,104,104
t_99,104,104,104,104
t_100,100,100,100,100
t_101,99,99,99,99
t_102,101,101,101,101
t_103,110,110,110,110
t_104,127,127,127,127
t_105,120,120,120,120
t_106,109,109,109,109
t_107,111,111,111,111
t_108,125,125,125,125
t_109,106,106,106,106
t_110,102,102,102,102
t_111,132,132,132,132
t_112,173,173,173,173
t_113,172,172,172,172
t_114,332,332,332,332
t_115,418,418,418,418
t_116,348,348,348,348
t_117,181,181,181,181
