time_step,AT00,DE00,FR00,IT00
t_1,75.0,143.0,56.0,168.0
t_2,70.0,132.0,46.0,159.0
t_3,67.0,125.0,44.0,172.0
t_4,67.0,120.0,39.0,165.0
t_5,67.0,120.0,39.0,163.0
t_6,68.0,130.0,43.0,154.0
t_7,76.0,141.0,50.0,163.0
t_8,89.0,159.0,61.0,186.0
t_9,88.0,158.0,59.0,163.0
t_10,124.0,104.0,104.0,94.0
t_11,121.0,95.0,84.0,135.0
t_12,119.0,92.0,72.0,204.0
t_13,120.0,93.0,70.0,131.0
t_14,115.0,115.0,76.0,93.0
t_15,111.0,159.0,60.0,188.0
t_16,116.0,170.0,70.0,323.0
t_17,108.0,173.0,74.0,319.0
t_18,128.0,207.0,100.0,344.0
t_19,170.0,267.0,148.0,397.0
t_20,135.0,212.0,129.0,342.0
t_21,109.0,174.0,85.0,340.0
t_22,111.0,166.0,82.0,311.0
t_23,106.0,160.0,79.0,289.0
t_24,81.0,150.0,70.0,223.0
t_25,75.0,143.0,56.0,168.0
t_26,70.0,132.0,46.0,159.0
t_27,67.0,125.0,44.0,172.0
t_28,67.0,120.0,39.0,165.0
t_29,67.0,120.0,39.0,163.0
t_30,68.0,130.0,43.0,154.0
t_31,76.0,141.0,50.0,163.0
t_32,89.0,159.0,61.0,186.0
t_33,88.0,158.0,59.0,163.0
t_34,124.0,104.0,104.0,94.0
t_35,121.0,95.0,84.0,135.0
t_36,119.0,92.0,72.0,204.0
t_37,120.0,93.0,70.0,131.0
t_38,115.0,115.0,76.0,93.0
t_39,111.0,159.0,60.0,188.0
t_40,116.0,170.0,70.0,323.0
t_41,108.0,173.0,74.0,319.0
t_42,128.0,207.0,100.0,344.0
t_43,170.0,267.0,148.0,397.0
t_44,135.0,212.0,129.0,342.0
t_45,109.0,174.0,85.0,340.0
t_46,111.0,166.0,82.0,311.0
t_47,106.0,160.0,79.0,289.0
t_48,81.0,150.0,70.0,223.0
t_49,75.0,143.0,56.0,168.0
t_50,70.0,132.0,46.0,159.0
t_51,67.0,125.0,44.0,172.0
t_52,67.0,120.0,39.0,165.0
t_53,67.0,120.0,39.0,163.0
t_54,68.0,130.0,43.0,154.0
t_55,76.0,141.0,50.0,163.0
t_56,89.0,159.0,61.0,186.0
t_57,88.0,158.0,59.0,163.0
t_58,124.0,104.0,104.0,94.0
t_59,121.0,95.0,84.0,135.0
t_60,119.0,92.0,72.0,204.0
t_61,120.0,93.0,70.0,131.0
t_62,115.0,115.0,76.0,93.0
t_63,111.0,159.0,60.0,188.0
t_64,116.0,170.0,70.0,323.0
t_65,108.0,173.0,74.0,319.0
t_66,128.0,207.0,100.0,344.0
t_67,170.0,267.0,148.0,397.0
t_68,135.0,212.0,129.0,342.0
t_69,109.0,174.0,85.0,340.0
t_70,111.0,166.0,82.0,311.0
t_71,106.0,160.0,79.0,289.0
t_72,81.0,150.0,70.0,223.0
t_73,75.0,143.0,56.0,168.0
t_74,70.0,132.0,46.0,159.0
t_75,67.0,125.0,44.0,172.0
t_76,67.0,120.0,39.0,165.0
t_77,67.0,120.0,39.0,163.0
t_78,68.0,130.0,43.0,154.0
t_79,76.0,141.0,50.0,163.0
t_80,89.0,159.0,61.0,186.0
t_81,88.0,158.0,59.0,163.0
t_82,124.0,104.0,104.0,94.0
t_83,121.0,95.0,84.0,135.0
t_84,119.0,92.0,72.0,204.0
t_85,120.0,93.0,70.0,131.0
t_86,115.0,115.0,76.0,93.0
t_87,111.0,159.0,60.0,188.0
t_88,116.0,170.0,70.0,323.0
t_89,108.0,173.0,74.0,319.0
t_90,128.0,207.0,100.0,344.0
t_91,170.0,267.0,148.0,397.0
t_92,135.0,212.0,129.0,342.0
t_93,109.0,174.0,85.0,340.0
t_94,111.0,166.0,82.0,311.0
t_95,106.0,160.0,79.0,289.0
t_96,81.0,150.0,70.0,223.0
t_97,75.0,143.0,56.0,168.0
t_98,70.0,132.0,46.0,159.0
t_99,67.0,125.0,44.0,172.0
t_100,67.0,120.0,39.0,165.0
t_101,67.0,120.0,39.0,163.0
t_102,68.0,130.0,43.0,154.0
t_103,76.0,141.0,50.0,163.0
t_104,89.0,159.0,61.0,186.0
t_105,88.0,158.0,59.0,163.0
t_106,124.0,104.0,104.0,94.0
t_107,121.0,95.0,84.0,135.0
t_108,119.0,92.0,72.0,204.0
t_109,120.0,93.0,70.0,131.0
t_110,115.0,115.0,76.0,93.0
t_111,111.0,159.0,60.0,188.0
t_112,116.0,170.0,70.0,323.0
t_113,108.0,173.0,74.0,319.0
t_114,128.0,207.0,100.0,344.0
t_115,170.0,267.0,148.0,397.0
t_116,135.0,212.0,129.0,342.0
t_117,109.0,174.0,85.0,340.0
t_118,111.0,166.0,82.0,311.0
