time_step,DE00,AT00,FR00,IT00
t_1,94.6591,94.6591,94.6591,94.6591
t_2,93.6594,93.6594,93.6594,93.6594
t_3,92.0689,92.0689,92.0689,92.0689
t_4,89.9958,89.9958,89.9958,89.9958
t_5,87.5808,87.5808,87.5808,87.5808
t_6,84.9881,84.9881,84.9881,84.9881
t_7,82.3939,82.3939,82.3939,82.3939
t_8,79.9746,79.9746,79.9746,79.9746
t_9,77.8946,77.8946,77.8946,77.8946
t_10,76.2953,76.2953,76.2953,76.2953
t_11,75.2853,75.2853,75.2853,75.2853
t_12,74.9334,74.9334,74.9334,74.9334
t_13,75.2634,75.2634,75.2634,75.2634
t_14,76.2526,76.2526,76.2526,76.2526
t_15,77.8336,77.8336,77.8336,77.8336
t_16,79.8986,79.8986,79.8986,79.8986
t_17,82.3065,82.3065,82.3065,82.3065
t_18,84.8931,84.8931,84.8931,84.8931
t_19,87.4814,87.4814,87.4814,87.4814
t_20,89.8944,89.8944,89.8944,89.8944
t_21,91.9667,91.9667,91.9667,91.9667
t_22,93.5559,93.5559,93.5559,93.5559
t_23,94.5522,94.5522,94.5522,94.5522
t_24,94.8861,94.8861,94.8861,94.8861
t_25,94.5328,94.5328,94.5328,94.5328
t_26,93.5147,93.5147,93.5147,93.5147
t_27,91.8988,91.8988,91.8988,91.8988
t_28,89.7934,89.7934,89.7934,89.7934
t_29,87.3399,87.3399,87.3399,87.3399
t_30,84.7037,84.7037,84.7037,84.7037
t_31,82.0628,82.0628,82.0628,82.0628
t_32,79.5957,79.5957,79.5957,79.5957
t_33,77.4694,77.4694,77.4694,77.4694
t_34,75.8279,75.8279,75.8279,75.8279
t_35,74.7824,74.7824,74.7824,74.7824
t_36,74.4037,74.4037,74.4037,74.4037
t_37,74.7172,74.7172,74.7172,74.7172
t_38,75.7012,75.7012,75.7012,75.7012
t_39,77.2883,77.2883,77.2883,77.2883
t_40,79.3698,79.3698,79.3698,79.3698
t_41,81.8032,81.8032,81.8032,81.8032
t_42,84.4215,84.4215,84.4215,84.4215
t_43,87.0448,87.0448,87.0448,87.0448
t_44,89.4924,89.4924,89.4924,89.4924
t_45,91.5953,91.5953,91.5953,91.5953
t_46,93.2074,93.2074,93.2074,93.2074
t_47,94.2156,94.2156,94.2156,94.2156
t_48,94.5477,94.5477,94.5477,94.5477
t_49,94.1774,94.1774,94.1774,94.1774
t_50,93.1261,93.1261,93.1261,93.1261
t_51,91.4616,91.4616,91.4616,91.4616
t_52,89.2935,89.2935,89.2935,89.2935
t_53,86.7661,86.7661,86.7661,86.7661
t_54,84.0485,84.0485,84.0485,84.0485
t_55,81.3231,81.3231,81.3231,81.3231
t_56,78.7732,78.7732,78.7732,78.7732
t_57,76.5709,76.5709,76.5709,76.5709
t_58,74.8647,74.8647,74.8647,74.8647
t_59,73.7699,73.7699,73.7699,73.7699
t_60,73.3604,73.3604,73.3604,73.3604
t_61,73.6634,73.6634,73.6634,73.6634
t_62,74.6578,74.6578,74.6578,74.6578
t_63,76.2752,76.2752,76.2752,76.2752
t_64,78.4045,78.4045,78.4045,78.4045
t_65,80.8992,80.8992,80.8992,80.8992
t_66,83.5876,83.5876,83.5876,83.5876
t_67,86.2842,86.2842,86.2842,86.2842
t_68,88.802,88.802,88.802,88.802
t_69,90.966,90.966,90.966,90.966
t_70,92.6244,92.6244,92.6244,92.6244
t_71,93.6593,93.6593,93.6593,93.6593
t_72,93.9952,93.9952,93.9952,93.9952
t_73,93.6036,93.6036,93.6036,93.6036
t_74,92.5055,92.5055,92.5055,92.5055
t_75,90.7704,90.7704,90.7704,90.7704
t_76,88.5112,88.5112,88.5112,88.5112
t_77,85.8768,85.8768,85.8768,85.8768
t_78,83.0424,83.0424,83.0424,83.0424
t_79,80.1973,80.1973,80.1973,80.1973
t_80,77.5323,77.5323,77.5323,77.5323
t_81,75.2265,75.2265,75.2265,75.2265
t_82,73.435,73.435,73.435,73.435
t_83,72.2786,72.2786,72.2786,72.2786
t_84,71.8352,71.8352,71.8352,71.8352
t_85,72.1341,72.1341,72.1341,72.1341
t_86,73.1542,73.1542,73.1542,73.1542
t_87,74.8252,74.8252,74.8252,74.8252
t_88,77.0318,77.0318,77.0318,77.0318
t_89,79.6221,79.6221,79.6221,79.6221
t_90,82.4169,82.4169,82.4169,82.4169
t_91,85.2227,85.2227,85.2227,85.2227
t_92,87.8442,87.8442,87.8442,87.8442
t_93,90.0978,90.0978,90.0978,90.0978
t_94,91.8246,91.8246,91.8246,91.8246
t_95,92.9004,92.9004,92.9004,92.9004
t_96,93.2453,93.2453,93.2453,93.2453
t_97,92.8287,92.8287,92.8287,92.8287
t_98,91.6718,91.6718,91.6718,91.6718
t_99,89.8464,89.8464,89.8464,89.8464
t_100,87.4703,87.4703,87.4703,87.4703
t_101,84.699,84.699,84.699,84.699
t_102,81.716,81.716,81.716,81.716
t_103,78.7197,78.7197,78.7197,78.7197
t_104,75.9106,75.9106,75.9106,75.9106
t_105,73.4769,73.4769,73.4769,73.4769
t_106,71.5821,71.5821,71.5821,71.5821
t_107,70.3538,70.3538,70.3538,70.3538
t_108,69.8744,69.8744,69.8744,69.8744
t_109,70.1756,70.1756,70.1756,70.1756
t_110,71.236,71.236,71.236,71.236
t_111,72.9822,72.9822,72.9822,72.9822
t_112,75.2936,75.2936,75.2936,75.2936
t_113,78.0106,78.0106,78.0106,78.0106
t_114,80.9449,80.9449,80.9449,80.9449
t_115,83.8926,83.8926,83.8926,83.8926
t_116,86.648,86.648,86.648,86.648
t_117,89.0173,89.0173,89.0173,89.0173
t_118,90.8323,90.8323,90.8323,90.8323
t_119,91.9619,91.9619,91.9619,91.9619
t_120,92.3209,92.3209,92.3209,92.3209
t_121,91.8764,91.8764,91.8764,91.8764
t_122,90.6503,90.6503,90.6503,90.6503
t_123,88.7177,88.7177,88.7177,88.7177
t_124,86.2024,86.2024,86.2024,86.2024
t_125,83.2685,83.2685,83.2685,83.2685
t_126,80.1095,80.1095,80.1095,80.1095
t_127,76.9352,76.9352,76.9352,76.9352
t_128,73.9574,73.9574,73.9574,73.9574
t_129,71.3754,71.3754,71.3754,71.3754
t_130,69.3625,69.3625,69.3625,69.3625
t_131,68.0539,68.0539,68.0539,68.0539
t_132,67.5376,67.5376,67.5376,67.5376
t_133,67.8475,67.8475,67.8475,67.8475
t_134,68.9615,68.9615,68.9615,68.9615
t_135,70.8023,70.8023,70.8023,70.8023
t_136,73.2426,73.2426,73.2426,73.2426
t_137,76.1137,76.1137,76.1137,76.1137
t_138,79.2162,79.2162,79.2162,79.2162
t_139,82.3343,82.3343,82.3343,82.3343
t_140,85.2498,85.2498,85.2498,85.2498
t_141,87.7571,87.7571,87.7571,87.7571
t_142,89.6778,89.6778,89.6778,89.6778
t_143,90.8723,90.8723,90.8723,90.8723
t_144,91.25,91.25,91.25,91.25
t_145,90.7757,90.7757,90.7757,90.7757
t_146,89.472,89.472,89.472,89.472
t_147,87.4184,87.4184,87.4184,87.4184
t_148,84.746,84.746,84.746,84.746
t_149,81.6287,81.6287,81.6287,81.6287
t_150,78.2719,78.2719,78.2719,78.2719
t_151,74.898,74.898,74.898,74.898
t_152,71.732,71.732,71.732,71.732
t_153,68.9857,68.9857,68.9857,68.9857
t_154,66.8434,66.8434,66.8434,66.8434
t_155,65.449,65.449,65.449,65.449
t_156,64.8958,64.8958,64.8958,64.8958
t_157,65.2205,65.2205,65.2205,65.2205
t_158,66.3997,66.3997,66.3997,66.3997
t_159,68.3517,68.3517,68.3517,68.3517
t_160,70.9412,70.9412,70.9412,70.9412
t_161,73.989,73.989,73.989,73.989
t_162,77.2835,77.2835,77.2835,77.2835
t_163,80.5952,80.5952,80.5952,80.5952
t_164,83.6921,83.6921,83.6921,83.6921
t_165,86.3557,86.3557,86.3557,86.3557
t_166,88.396,88.396,88.396,88.396
t_167,89.6647,89.6647,89.6647,89.6647
t_168,90.0652,90.0652,90.0652,90.0652
t_169,89.5598,89.5598,89.5598,89.5598
t_170,88.1727,88.1727,88.1727,88.1727
t_171,85.9881,85.9881,85.9881,85.9881
t_172,83.1454,83.1454,83.1454,83.1454
t_173,79.8296,79.8296,79.8296,79.8296
t_174,76.2588,76.2588,76.2588,76.2588
t_175,72.6699,72.6699,72.6699,72.6699
t_176,69.302,69.302,69.302,69.302
t_177,66.3806,66.3806,66.3806,66.3806
t_178,64.1016,64.1016,64.1016,64.1016
t_179,62.618,62.618,62.618,62.618
t_180,62.0293,62.0293,62.0293,62.0293
t_181,62.3745,62.3745,62.3745,62.3745
t_182,63.6287,63.6287,63.6287,63.6287
t_183,65.7048,65.7048,65.7048,65.7048
t_184,68.4592,68.4592,68.4592,68.4592
t_185,71.7012,71.7012,71.7012,71.7012
t_186,75.2055,75.2055,75.2055,75.2055
t_187,78.7281,78.7281,78.7281,78.7281
t_188,82.0222,82.0222,82.0222,82.0222
t_189,84.8555,84.8555,84.8555,84.8555
t_190,87.0259,87.0259,87.0259,87.0259
t_191,88.3757,88.3757,88.3757,88.3757
t_192,88.8024,88.8024,88.8024,88.8024
t_193,88.2659,88.2659,88.2659,88.2659
t_194,86.7919,86.7919,86.7919,86.7919
t_195,84.4703,84.4703,84.4703,84.4703
t_196,81.4493,81.4493,81.4493,81.4493
t_197,77.9257,77.9257,77.9257,77.9257
t_198,74.1316,74.1316,74.1316,74.1316
t_199,70.3187,70.3187,70.3187,70.3187
t_200,66.7414,66.7414,66.7414,66.7414
t_201,63.6391,63.6391,63.6391,63.6391
t_202,61.2202,61.2202,61.2202,61.2202
t_203,59.647,59.647,59.647,59.647
t_204,59.0252,59.0252,59.0252,59.0252
t_205,59.3959,59.3959,59.3959,59.3959
t_206,60.7325,60.7325,60.7325,60.7325
t_207,62.9422,62.9422,62.9422,62.9422
t_208,65.8722,65.8722,65.8722,65.8722
t_209,69.3196,69.3196,69.3196,69.3196
t_210,73.0452,73.0452,73.0452,73.0452
t_211,76.7897,76.7897,76.7897,76.7897
t_212,80.2908,80.2908,80.2908,80.2908
t_213,83.3022,83.3022,83.3022,83.3022
t_214,85.6092,85.6092,85.6092,85.6092
t_215,87.0447,87.0447,87.0447,87.0447
t_216,87.5,87.5,87.5,87.5
t_217,94.6591,94.6591,94.6591,94.6591
t_218,93.6594,93.6594,93.6594,93.6594
t_219,92.0689,92.0689,92.0689,92.0689
t_220,89.9958,89.9958,89.9958,89.9958
t_221,87.5808,87.5808,87.5808,87.5808
t_222,84.9881,84.9881,84.9881,84.9881
t_223,82.3939,82.3939,82.3939,82.3939
t_224,79.9746,79.9746,79.9746,79.9746
t_225,77.8946,77.8946,77.8946,77.8946
t_226,76.2953,76.2953,76.2953,76.2953
t_227,75.2853,75.2853,75.2853,75.2853
t_228,74.9334,74.9334,74.9334,74.9334
t_229,75.2634,75.2634,75.2634,75.2634
t_230,76.2526,76.2526,76.2526,76.2526
t_231,77.8336,77.8336,77.8336,77.8336
t_232,79.8986,79.8986,79.8986,79.8986
t_233,82.3065,82.3065,82.3065,82.3065
t_234,84.8931,84.8931,84.8931,84.8931
t_235,87.4814,87.4814,87.4814,87.4814
t_236,89.8944,89.8944,89.8944,89.8944
t_237,91.9667,91.9667,91.9667,91.9667
t_238,93.5559,93.5559,93.5559,93.5559
t_239,94.5522,94.5522,94.5522,94.5522
t_240,94.8861,94.8861,94.8861,94.8861
t_241,94.5328,94.5328,94.5328,94.5328
t_242,93.5147,93.5147,93.5147,93.5147
t_243,91.8988,91.8988,91.8988,91.8988
t_244,89.7934,89.7934,89.7934,89.7934
t_245,87.3399,87.3399,87.3399,87.3399
t_246,84.7037,84.7037,84.7037,84.7037
t_247,82.0628,82.0628,82.0628,82.0628
t_248,79.5957,79.5957,79.5957,79.5957
t_249,77.4694,77.4694,77.4694,77.4694
t_250,75.8279,75.8279,75.8279,75.8279
t_251,74.7824,74.7824,74.7824,74.7824
t_252,74.4037,74.4037,74.4037,74.4037
t_253,74.7172,74.7172,74.7172,74.7172
t_254,75.7012,75.7012,75.7012,75.7012
t_255,77.2883,77.2883,77.2883,77.2883
t_256,79.3698,79.3698,79.3698,79.3698
t_257,81.8032,81.8032,81.8032,81.8032
t_258,84.4215,84.4215,84.4215,84.4215
t_259,87.0448,87.0448,87.0448,87.0448
t_260,89.4924,89.4924,89.4924,89.4924
t_261,91.5953,91.5953,91.5953,91.5953
t_262,93.2074,93.2074,93.2074,93.2074
t_263,94.2156,94.2156,94.2156,94.2156
t_264,94.5477,94.5477,94.5477,94.5477
t_265,94.1774,94.1774,94.1774,94.1774
t_266,93.1261,93.1261,93.1261,93.1261
t_267,91.4616,91.4616,91.4616,91.4616
t_268,89.2935,89.2935,89.2935,89.2935
t_269,86.7661,86.7661,86.7661,86.7661
t_270,84.0485,84.0485,84.0485,84.0485
t_271,81.3231,81.3231,81.3231,81.3231
t_272,78.7732,78.7732,78.7732,78.7732
t_273,76.5709,76.5709,76.5709,76.5709
t_274,74.8647,74.8647,74.8647,74.8647
t_275,73.7699,73.7699,73.7699,73.7699
t_276,73.3604,73.3604,73.3604,73.3604
t_277,73.6634,73.6634,73.6634,73.6634
t_278,74.6578,74.6578,74.6578,74.6578
t_279,76.2752,76.2752,76.2752,76.2752
t_280,78.4045,78.4045,78.4045,78.4045
t_281,80.8992,80.8992,80.8992,80.8992
t_282,83.5876,83.5876,83.5876,83.5876
t_283,86.2842,86.2842,86.2842,86.2842
t_284,88.802,88.802,88.802,88.802
t_285,90.966,90.966,90.966,90.966
t_286,92.6244,92.6244,92.6244,92.6244
