time_step,DE00,AT00,FR00,IT00
t_6553,1000,1000,1000,1000
t_6554,1000,1000,1000,1000
t_6555,1000,1000,1000,1000
t_6556,1000,1000,1000,1000
t_6557,1000,1000,1000,1000
t_6558,1000,1000,1000,1000
t_6559,1000,1000,1000,1000
t_6560,1000,1000,1000,1000
t_6561,1000,1000,1000,1000
t_6562,1000,1000,1000,1000
t_6563,1000,1000,1000,1000
t_6564,1000,1000,1000,1000
t_6565,1000,1000,1000,1000
t_6566,1000,1000,1000,1000
t_6567,1000,1000,1000,1000
t_6568,1000,1000,1000,1000
t_6569,1000,1000,1000,1000
t_6570,1000,1000,1000,1000
t_6571,1000,1000,1000,1000
t_6572,1000,1000,1000,1000
t_6573,1000,1000,1000,1000
t_6574,1000,1000,1000,1000
t_6575,1000,1000,1000,1000
t_6576,1000,1000,1000,1000
t_6577,1000,1000,1000,1000
t_6578,1000,1000,1000,1000
t_6579,1000,1000,1000,1000
t_6580,1000,1000,1000,1000
t_6581,1000,1000,1000,1000
t_6582,1000,1000,1000,1000
t_6583,1000,1000,1000,1000
t_6584,1000,1000,1000,1000
t_6585,1000,1000,1000,1000
t_6586,1000,1000,1000,1000
t_6587,1000,1000,1000,1000
t_6588,1000,1000,1000,1000
t_6589,1000,1000,1000,1000
t_6590,1000,1000,1000,1000
t_6591,1000,1000,1000,1000
t_6592,1000,1000,1000,1000
t_6593,1000,1000,1000,1000
t_6594,1000,1000,1000,1000
t_6595,1000,1000,1000,1000
t_6596,1000,1000,1000,1000
t_6597,1000,1000,1000,1000
t_6598,1000,1000,1000,1000
t_6599,1000,1000,1000,1000
t_6600,1000,1000,1000,1000
t_6601,1000,1000,1000,1000
t_6602,1000,1000,1000,1000
t_6603,1000,1000,1000,1000
t_6604,1000,1000,1000,1000
t_6605,1000,1000,1000,1000
t_6606,1000,1000,1000,1000
t_6607,1000,1000,1000,1000
t_6608,1000,1000,1000,1000
t_6609,1000,1000,1000,1000
t_6610,1000,1000,1000,1000
t_6611,1000,1000,1000,1000
t_6612,1000,1000,1000,1000
t_6613,1000,1000,1000,1000
t_6614,1000,1000,1000,1000
t_6615,1000,1000,1000,1000
t_6616,1000,1000,1000,1000
t_6617,1000,1000,1000,1000
t_6618,1000,1000,1000,1000
t_6619,1000,1000,1000,1000
t_6620,1000,1000,1000,1000
t_6621,1000,1000,1000,1000
t_6622,1000,1000,1000,1000
t_6623,1000,1000,1000,1000
t_6624,1000,1000,1000,1000
t_6625,1000,1000,1000,1000
t_6626,1000,1000,1000,1000
t_6627,1000,1000,1000,1000
t_6628,1000,1000,1000,1000
t_6629,1000,1000,1000,1000
t_6630,1000,1000,1000,1000
t_6631,1000,1000,1000,1000
t_6632,1000,1000,1000,1000
t_6633,1000,1000,1000,1000
t_6634,1000,1000,1000,1000
t_6635,1000,1000,1000,1000
t_6636,1000,1000,1000,1000
t_6637,1000,1000,1000,1000
t_6638,1000,1000,1000,1000
t_6639,1000,1000,1000,1000
t_6640,1000,1000,1000,1000
t_6641,1000,1000,1000,1000
t_6642,1000,1000,1000,1000
