name,scenario,2030,2035,2040,2050
# AL00_battery,DistributedEnergy,179.4084474,223.7409211,268.0733949,237.3918841
# AL00_battery,GlobalAmbition,100.2578217,104.8170739,109.376326,128.6508681
# AL00_gas,DistributedEnergy,300,300,300,300
# AL00_gas,GlobalAmbition,300,300,300,300
AT00_battery,DistributedEnergy,4289.962533,6643.831659,8997.700784,14935.84669
AT00_battery,GlobalAmbition,3062.877059,5065.363973,7067.850888,9042.406202
AT00_biomass,DistributedEnergy,585.92,585.92,585.92,585.92
AT00_biomass,GlobalAmbition,585.92,585.92,585.92,585.92
AT00_dsr,DistributedEnergy,500,1250,2000,2260
AT00_dsr,GlobalAmbition,500,1250,2000,2000
AT00_gas,DistributedEnergy,4123.102,3716.051,3309,3309
AT00_gas,GlobalAmbition,4123.102,2540.051,957,957
AT00_oil,DistributedEnergy,163.606,81.803,,
AT00_oil,GlobalAmbition,163.606,81.803,,
# BA00_battery,DistributedEnergy,245.0935074,211.904552,178.7155966,158.261256
# BA00_battery,GlobalAmbition,66.83854783,69.87804926,72.91755069,85.7672454
# BA00_hardcoal,DistributedEnergy,1918,959,,
# BA00_hardcoal,GlobalAmbition,1303,651.5,,
BE00_battery,DistributedEnergy,4254.295408,6588.594259,8922.89311,10889.71547
BE00_battery,GlobalAmbition,2842.640536,3358.344103,3874.047671,4958.283163
BE00_biomass,DistributedEnergy,903.6,903.6,903.6,903.6
BE00_biomass,GlobalAmbition,903.6,903.6,903.6,903.6
BE00_dsr,DistributedEnergy,2047.804535,2119.477722,2191.150909,2476.000528
BE00_dsr,GlobalAmbition,2047.804535,2119.477722,2191.150909,2191.150909
BE00_gas,DistributedEnergy,9843.843568,16064.17265,22284.50173,38438.73065
BE00_gas,GlobalAmbition,9843.843568,9733.172647,9622.501726,8792.201726
BE00_oil,DistributedEnergy,158,158,158,140
BE00_oil,GlobalAmbition,158,158,158,140
# BG00_battery,DistributedEnergy,1218.62677,1723.116531,2227.606291,2440.510451
# BG00_battery,GlobalAmbition,859.3407444,863.7796861,868.2186278,1111.208268
# BG00_biomass,DistributedEnergy,302,305.5,309,309
# BG00_biomass,GlobalAmbition,302,305.5,309,309
# BG00_gas,DistributedEnergy,2025,4265,6505,6283
# BG00_gas,GlobalAmbition,2025,1969,1913,1691
# BG00_hardcoal,DistributedEnergy,2519,1259.5,,
# BG00_hardcoal,GlobalAmbition,2519,1259.5,,
# BG00_nuclear,DistributedEnergy,1960,980,,
# BG00_nuclear,GlobalAmbition,1960,2960,3960,2000
# CY00_battery,DistributedEnergy,210.9721397,279.5484537,348.1247676,501.2541306
# CY00_battery,GlobalAmbition,144.7148062,180.1144416,215.5140771,278.2787577
# CY00_biomass,DistributedEnergy,15,15,15,15
# CY00_biomass,GlobalAmbition,15,15,15,15
# CY00_dsr,DistributedEnergy,50,50,50,56.5
# CY00_dsr,GlobalAmbition,50,50,50,50
# CY00_gas,DistributedEnergy,1210,1210,1210,380
# CY00_gas,GlobalAmbition,1210,1210,1210,380
# CY00_oil,DistributedEnergy,287.7,143.85,,
# CY00_oil,GlobalAmbition,287.7,143.85,,
CZ00_battery,DistributedEnergy,1926.862682,2784.743999,3642.625315,3810.830748
CZ00_battery,GlobalAmbition,1057.666426,1297.668681,1537.670936,1984.897265
CZ00_biomass,DistributedEnergy,676.45,752.4,828.35,828.35
CZ00_biomass,GlobalAmbition,676.45,752.4,828.35,828.35
