name,scenario,2030,2035,2040,2050
CH01_biomass,WWB,35.451,43.3537,51.2563,51.943
CH01_biomass,ZBA,46.1453,74.3009,102.4566,176.5718
CH01_biomass,ZVA,46.0442,73.7273,101.4104,173.5311
CH01_biomass,ZVB,46.4232,76.3185,106.2137,193.3149
CH02_biomass,WWB,24.6162,28.6044,32.5927,38.1918
CH02_biomass,ZBA,31.234,43.6196,56.0051,103.8082
CH02_biomass,ZVA,30.9022,41.7361,52.5701,93.8243
CH02_biomass,ZVB,32.1465,50.244,68.3415,158.7831
CH03_biomass,WWB,32.1058,36.8956,41.6855,44.4431
CH03_biomass,ZBA,38.9834,55.4009,71.8184,121.0083
CH03_biomass,ZVA,38.8202,54.4747,70.1293,116.0987
CH03_biomass,ZVB,39.4322,58.6586,77.8849,148.0425
CH04_biomass,WWB,22.0346,24.1703,26.3059,31.9825
CH04_biomass,ZBA,26.1938,32.1564,38.119,56.9743
CH04_biomass,ZVA,25.8399,30.1484,34.4568,46.33
CH04_biomass,ZVB,27.1666,39.2191,51.2715,115.5857
CH05_biomass,WWB,32.2589,32.9859,33.7128,36.7287
CH05_biomass,ZBA,34.1121,35.8545,37.597,47.4437
CH05_biomass,ZVA,33.9281,34.8107,35.6932,41.9105
CH05_biomass,ZVB,34.6178,39.5259,44.4341,77.9118
CH06_biomass,WWB,12.4473,12.7472,13.0472,14.548
CH06_biomass,ZBA,13.2897,13.6162,13.9428,25.8898
CH06_biomass,ZVA,13.2092,13.1595,13.1098,23.4689
CH06_biomass,ZVB,13.5109,15.2225,16.9341,39.2203
CH07_biomass,WWB,1.7675,1.7734,1.7793,1.8011
CH07_biomass,ZBA,1.789,1.774,1.7591,2.7843
CH07_biomass,ZVA,1.789,1.774,1.7591,2.7843
CH07_biomass,ZVB,1.789,1.774,1.7591,2.7843
CH01_CCGTCCS,WWB,175.7222,169.0344,162.3465,167.2526
CH01_CCGTCCS,ZBA,166.5123,139.0825,111.6527,40.4341
CH01_CCGTCCS,ZVA,168.3684,138.9784,109.5884,40.4341
CH01_CCGTCCS,ZVB,62.6996,57.0144,51.3291,50.9896
CH02_CCGTCCS,WWB,109.025,112.8669,116.7088,144.4294
CH02_CCGTCCS,ZBA,111.1416,100.0869,89.0321,49.9584
CH02_CCGTCCS,ZVA,111.4044,97.7905,84.1766,49.9584
CH02_CCGTCCS,ZVB,209.8609,550.7826,891.7043,1008.7923
CH03_CCGTCCS,WWB,110.3741,108.9877,107.6014,120.9318
CH03_CCGTCCS,ZBA,107.3233,91.7815,76.2397,31.9827
CH03_CCGTCCS,ZVA,108.1577,90.8924,73.6271,31.9827
CH03_CCGTCCS,ZVB,314.097,1122.6932,1931.2895,2247.1798
CH04_CCGTCCS,WWB,81.6512,88.6111,95.571,125.951
CH04_CCGTCCS,ZBA,87.0897,83.7724,80.455,59.5959
CH04_CCGTCCS,ZVA,86.9494,81.1639,75.3784,59.5959
CH04_CCGTCCS,ZVB,115.1738,106.1696,97.1655,75.1538
CH05_CCGTCCS,WWB,46.5555,50.3338,54.1122,70.4253
CH05_CCGTCCS,ZBA,49.6576,48.9288,48.2,40.5183
CH05_CCGTCCS,ZVA,49.6434,47.5801,45.5169,40.5183
CH05_CCGTCCS,ZVB,72.0128,66.0637,60.1146,51.0959
CH06_CCGTCCS,WWB,23.7836,25.6156,27.4476,34.7363
CH06_CCGTCCS,ZBA,25.0811,24.8627,24.6443,21.1104
CH06_CCGTCCS,ZVA,25.1198,24.2828,23.4457,21.1104
CH06_CCGTCCS,ZVB,35.8131,32.7604,29.7077,26.6214
CH07_CCGTCCS,WWB,12.9968,13.2651,13.5335,14.2179
CH07_CCGTCCS,ZBA,12.868,13.2657,13.6635,14.4302
CH07_CCGTCCS,ZVA,13.0403,13.3046,13.5688,14.4302
CH07_CCGTCCS,ZVB,18.3686,16.4496,14.5306,18.1973
CH01_battery,WWB,133.9555,200.3252,266.6949,100.0
CH01_battery,ZBA,170.6185,0.0,693.9877,0.0
CH01_battery,ZVA,133.9555,212.7002,291.4448,100.0
CH01_battery,ZVB,170.5404,353.9082,537.276,100.0
CH02_battery,WWB,260.362,405.1501,549.9381,100.0
CH02_battery,ZBA,331.6218,0.0,1431.0369,0.0
CH02_battery,ZVA,260.362,430.6678,600.9736,100.0
CH02_battery,ZVB,331.47,719.6798,1107.8896,100.0
CH03_battery,WWB,117.3284,200.9092,284.49,100.0
CH03_battery,ZBA,149.4405,0.0,740.2938,0.0
CH03_battery,ZVA,117.3284,214.1099,310.8914,100.0
CH03_battery,ZVB,149.3721,361.2489,573.1256,100.0
CH04_battery,WWB,111.8368,198.8822,285.9276,100.0
CH04_battery,ZBA,142.4459,0.0,744.0346,0.0
CH04_battery,ZVA,111.8368,212.1496,312.4623,100.0
CH04_battery,ZVB,142.3807,359.2012,576.0216,100.0
CH05_battery,WWB,184.5824,297.6378,410.6932,100.0
CH05_battery,ZBA,235.1017,0.0,1068.6969,0.0
CH05_battery,ZVA,184.5824,316.6944,448.8065,100.0
CH05_battery,ZVB,234.9941,531.1825,827.3709,100.0
