name,scenario,2030,2040,2050
CH01_biomass,WWB,35.451,51.2563,51.943
CH01_biomass,ZBA,46.1453,102.4566,176.5718
CH01_biomass,ZVA,46.0442,101.4104,173.5311
CH01_biomass,ZVB,46.4232,106.2137,193.3149
CH02_biomass,WWB,24.6162,32.5927,38.1918
CH02_biomass,ZBA,31.234,56.0051,103.8082
CH02_biomass,ZVA,30.9022,52.5701,93.8243
CH02_biomass,ZVB,32.1465,68.3415,158.7831
CH03_biomass,WWB,32.1058,41.6855,44.4431
CH03_biomass,ZBA,38.9834,71.8184,121.0083
CH03_biomass,ZVA,38.8202,70.1293,116.0987
CH03_biomass,ZVB,39.4322,77.8849,148.0425
CH04_biomass,WWB,22.0346,26.3059,31.9825
CH04_biomass,ZBA,26.1938,38.119,56.9743
CH04_biomass,ZVA,25.8399,34.4568,46.33
CH04_biomass,ZVB,27.1666,51.2715,115.5857
CH05_biomass,WWB,32.2589,33.7128,36.7287
CH05_biomass,ZBA,34.1121,37.597,47.4437
CH05_biomass,ZVA,33.9281,35.6932,41.9105
CH05_biomass,ZVB,34.6178,44.4341,77.9118
CH06_biomass,WWB,12.4473,13.0472,14.548
CH06_biomass,ZBA,13.2897,13.9428,25.8898
CH06_biomass,ZVA,13.2092,13.1098,23.4689
CH06_biomass,ZVB,13.5109,16.9341,39.2203
CH07_biomass,WWB,1.7675,1.7793,1.8011
CH07_biomass,ZBA,1.789,1.7591,2.7843
CH07_biomass,ZVA,1.789,1.7591,2.7843
CH07_biomass,ZVB,1.789,1.7591,2.7843
CH01_gas,WWB,0.0,0.0,0.0
CH01_gas,ZBA,0.0,0.0,0.0
CH01_gas,ZVA,0.0,0.0,0.0
CH01_gas,ZVB,0.0,0.0,0.0
CH02_gas,WWB,0.0,0.0,0.0
CH02_gas,ZBA,0.0,0.0,0.0
CH02_gas,ZVA,0.0,0.0,0.0
CH02_gas,ZVB,0.0,0.0,0.0
CH03_gas,WWB,0.0,0.0,0.0
CH03_gas,ZBA,0.0,0.0,0.0
CH03_gas,ZVA,0.0,0.0,0.0
CH03_gas,ZVB,0.0,0.0,0.0
CH04_gas,WWB,0.0,0.0,0.0
CH04_gas,ZBA,0.0,0.0,0.0
CH04_gas,ZVA,0.0,0.0,0.0
CH04_gas,ZVB,0.0,0.0,0.0
CH05_gas,WWB,0.0,0.0,0.0
CH05_gas,ZBA,0.0,0.0,0.0
CH05_gas,ZVA,0.0,0.0,0.0
CH05_gas,ZVB,0.0,0.0,0.0
CH06_gas,WWB,0.0,0.0,0.0
CH06_gas,ZBA,0.0,0.0,0.0
CH06_gas,ZVA,0.0,0.0,0.0
CH06_gas,ZVB,0.0,0.0,0.0
CH07_gas,WWB,0.0,0.0,0.0
