Unnamed: 0,hardcoal,gas,lignite,nuclear,oil,chp,dsr,biomass,CCGTresmethane,SCGTresmethane,CCGTCCS,SCGTfossil,battery,hydrogen,other
AT,1.0,1.0,1,1,1.0,1,1,1,1,1,1.0,1.0,1,1,1
BE,1.0,1.0,1,1,1.0,1,1,1,1,1,1.0,1.0,1,1,1
CH,1.8889,1.0789,1,1,1.0804,1,1,1,1,1,1.0789,1.1804,1,1,1
CZ,1.0,1.0,1,1,1.0,1,1,1,1,1,1.0,1.0,1,1,1
DE,1.0,1.0,1,1,1.0,1,1,1,1,1,1.0,1.0,1,1,1
DK,1.0,1.0,1,1,1.0,1,1,1,1,1,1.0,1.0,1,1,1
ES,1.0,1.0,1,1,1.0,1,1,1,1,1,1.0,1.0,1,1,1
FR,1.0,1.0,1,1,1.0,1,1,1,1,1,1.0,1.0,1,1,1
HU,1.0,1.0,1,1,1.0,1,1,1,1,1,1.0,1.0,1,1,1
HR,1.0,1.0,1,1,1.0,1,1,1,1,1,1.0,1.0,1,1,1
IT,1.0,1.0,1,1,1.0,1,1,1,1,1,1.0,1.0,1,1,1
LU,1.0,1.0,1,1,1.0,1,1,1,1,1,1.0,1.0,1,1,1
NL,1.0,1.0,1,1,1.0,1,1,1,1,1,1.0,1.0,1,1,1
NO,1.0,1.0,1,1,1.0,1,1,1,1,1,1.0,1.0,1,1,1
PL,1.0,1.0,1,1,1.0,1,1,1,1,1,1.0,1.0,1,1,1
PT,1.0,1.0,1,1,1.0,1,1,1,1,1,1.0,1.0,1,1,1
SE,1.0,1.0,1,1,1.0,1,1,1,1,1,1.0,1.0,1,1,1
SI,1.0,1.0,1,1,1.0,1,1,1,1,1,1.0,1.0,1,1,1
SK,1.0,1.0,1,1,1.0,1,1,1,1,1,1.0,1.0,1,1,1
UK,1.0,1.0,1,1,1.0,1,1,1,1,1,1.0,1.0,1,1,1
