index,nodeDH,nodeElec,tech,gen_max_limit,energy_max_limit,electric_connection,efficiency,power_to_heat_ratio,CHPDH,self_discharge_per_day_percent,TES_charge_efficiecy,TES_discharge_efficiecy
DH_Mittelland_thermalNew,DH_Mittelland,na,gas_boiler,400,inf,,,,,,,
DH_Mittelland_CHPNew,DH_Mittelland,CH00,CCGTCCS,400,inf,True,,0.61,True,,,
DH_Mittelland_HPNew,DH_Mittelland,CH00,heat_pump,400,inf,True,4.26,,,,,
DH_Mittelland_resistiveNew,DH_Mittelland,CH00,resistive_heater,400,inf,True,0.99,,,,,
DH_Mittelland_TTES_medium,DH_Mittelland,na,TTES_medium,15000,15000.0,,,,,0.285,0.922,0.922
DH_Mittelland_PTES_large,DH_Mittelland,na,PTES_large,60000,600000.0,,,,,0.175,0.922,0.922
DH_Alpen_thermalNew,DH_Alpen,na,gas_boiler,400,inf,,,,,,,
DH_Alpen_CHPNew,DH_Alpen,CH00,CCGTCCS,400,inf,True,,0.61,True,,,
DH_Alpen_HPNew,DH_Alpen,CH00,heat_pump,400,inf,True,4.26,,,,,
DH_Alpen_resistiveNew,DH_Alpen,CH00,resistive_heater,400,inf,True,0.99,,,,,
DH_Alpen_TTES_medium,DH_Alpen,na,TTES_medium,15000,15000.0,,,,,0.285,0.922,0.922
DH_Alpen_PTES_large,DH_Alpen,na,PTES_large,60000,600000.0,,,,,0.175,0.922,0.922
DH_Jura_thermalNew,DH_Jura,na,gas_boiler,400,inf,,,,,,,
DH_Jura_CHPNew,DH_Jura,CH00,CCGTCCS,400,inf,True,,0.61,True,,,
DH_Jura_HPNew,DH_Jura,CH00,heat_pump,400,inf,True,4.26,,,,,
DH_Jura_resistiveNew,DH_Jura,CH00,resistive_heater,400,inf,True,0.99,,,,,
DH_Jura_TTES_medium,DH_Jura,na,TTES_medium,15000,15000.0,,,,,0.285,0.922,0.922
DH_Jura_PTES_large,DH_Jura,na,PTES_large,60000,600000.0,,,,,0.175,0.922,0.922
DH_Voralpen_thermalNew,DH_Voralpen,na,gas_boiler,400,inf,,,,,,,
DH_Voralpen_CHPNew,DH_Voralpen,CH00,CCGTCCS,400,inf,True,,0.61,True,,,
DH_Voralpen_HPNew,DH_Voralpen,CH00,heat_pump,400,inf,True,4.26,,,,,
DH_Voralpen_resistiveNew,DH_Voralpen,CH00,resistive_heater,400,inf,True,0.99,,,,,
DH_Voralpen_TTES_medium,DH_Voralpen,na,TTES_medium,15000,15000.0,,,,,0.285,0.922,0.922
DH_Voralpen_PTES_large,DH_Voralpen,na,PTES_large,60000,600000.0,,,,,0.175,0.922,0.922
ILLT_Mittelland_thermalNew,ILLT_Mittelland,na,gas_boiler,400,inf,,,,,,,
ILLT_Mittelland_CHPNew,ILLT_Mittelland,CH00,CCGTCCS,400,inf,True,,0.61,True,,,
ILLT_Mittelland_HPNew,ILLT_Mittelland,CH00,heat_pump,400,inf,True,2.5,,,,,
ILLT_Mittelland_resistiveNew,ILLT_Mittelland,CH00,resistive_heater,400,inf,True,0.99,,,,,
ILLT_Mittelland_PTES_large,ILLT_Mittelland,na,PTES_large,60000,600000.0,,,,,0.175,0.922,0.922
ILLT_Mittelland_TTES_medium,ILLT_Mittelland,na,TTES_medium,15000,15000.0,,,,,0.285,0.922,0.922
ILLT_Alpen_thermalNew,ILLT_Alpen,na,gas_boiler,400,inf,,,,,,,
ILLT_Alpen_CHPNew,ILLT_Alpen,CH00,CCGTCCS,400,inf,True,,0.61,True,,,
ILLT_Alpen_HPNew,ILLT_Alpen,CH00,heat_pump,400,inf,True,2.5,,,,,
