index,node,market,plant_type,tech,upperwn,lowerwn,eta,eta_pump,n_redispatch
RU00_electrolyzer,RU00,RU00,electrolyzer,electrolyzer,,,,,
MA00_electrolyzer,MA00,MA00,electrolyzer,electrolyzer,,,,,
CZ00_electrolyzer,CZ00,CZ00,electrolyzer,electrolyzer,,,,,
FR00_electrolyzer,FR00,FR00,electrolyzer,electrolyzer,,,,,
DE00_electrolyzer,DE00,DE00,electrolyzer,electrolyzer,,,,,
DEKF_electrolyzer,DEKF,DEKF,electrolyzer,electrolyzer,,,,,
NOM1_electrolyzer,NOM1,NOM1,electrolyzer,electrolyzer,,,,,
NON1_electrolyzer,NON1,NON1,electrolyzer,electrolyzer,,,,,
NOS0_electrolyzer,NOS0,NOS0,electrolyzer,electrolyzer,,,,,
ES00_electrolyzer,ES00,ES00,electrolyzer,electrolyzer,,,,,
IT00_electrolyzer,IT00,IT00,electrolyzer,electrolyzer,,,,,
TR00_electrolyzer,TR00,TR00,electrolyzer,electrolyzer,,,,,
DKE1_electrolyzer,DKE1,DKE1,electrolyzer,electrolyzer,,,,,
DKW1_electrolyzer,DKW1,DKW1,electrolyzer,electrolyzer,,,,,
DKKF_electrolyzer,DKKF,DKKF,electrolyzer,electrolyzer,,,,,
BG00_electrolyzer,BG00,BG00,electrolyzer,electrolyzer,,,,,
SE01_electrolyzer,SE01,SE01,electrolyzer,electrolyzer,,,,,
SE02_electrolyzer,SE02,SE02,electrolyzer,electrolyzer,,,,,
SE03_electrolyzer,SE03,SE03,electrolyzer,electrolyzer,,,,,
SE04_electrolyzer,SE04,SE04,electrolyzer,electrolyzer,,,,,
FI00_electrolyzer,FI00,FI00,electrolyzer,electrolyzer,,,,,
BE00_electrolyzer,BE00,BE00,electrolyzer,electrolyzer,,,,,
AT00_electrolyzer,AT00,AT00,electrolyzer,electrolyzer,,,,,
PT00_electrolyzer,PT00,PT00,electrolyzer,electrolyzer,,,,,
GR00_electrolyzer,GR00,GR00,electrolyzer,electrolyzer,,,,,
PL00_electrolyzer,PL00,PL00,electrolyzer,electrolyzer,,,,,
HU00_electrolyzer,HU00,HU00,electrolyzer,electrolyzer,,,,,
CH00_electrolyzer,CH00,CH00,electrolyzer,electrolyzer,,,,,
NL00_electrolyzer,NL00,NL00,electrolyzer,electrolyzer,,,,,
EE00_electrolyzer,EE00,EE00,electrolyzer,electrolyzer,,,,,
UK00_electrolyzer,UK00,UK00,electrolyzer,electrolyzer,,,,,
IE00_electrolyzer,IE00,IE00,electrolyzer,electrolyzer,,,,,
LT00_electrolyzer,LT00,LT00,electrolyzer,electrolyzer,,,,,
RO00_electrolyzer,RO00,RO00,electrolyzer,electrolyzer,,,,,
HR00_electrolyzer,HR00,HR00,electrolyzer,electrolyzer,,,,,
LV00_electrolyzer,LV00,LV00,electrolyzer,electrolyzer,,,,,
SK00_electrolyzer,SK00,SK00,electrolyzer,electrolyzer,,,,,
SI00_electrolyzer,SI00,SI00,electrolyzer,electrolyzer,,,,,
