index,node,market,plant_type,tech,upperwn,lowerwn,eta,eta_pump,n_redispatch,gen_max_limit,energy_max_limit,fuel_switching
CH01_pvrf,CH01,CH00,RES,pvrf,,,,,CH01,10000,inf,
CH01_windon,CH01,CH00,RES,windon,,,,,CH01,600,inf,
CH02_pvrf,CH02,CH00,RES,pvrf,,,,,CH02,10000,inf,
CH02_windon,CH02,CH00,RES,windon,,,,,CH02,600,inf,
CH03_pvrf,CH03,CH00,RES,pvrf,,,,,CH03,10000,inf,
CH03_windon,CH03,CH00,RES,windon,,,,,CH03,600,inf,
CH04_pvrf,CH04,CH00,RES,pvrf,,,,,CH04,10000,inf,
CH04_windon,CH04,CH00,RES,windon,,,,,CH04,600,inf,
CH05_pvrf,CH05,CH00,RES,pvrf,,,,,CH05,10000,inf,
CH05_windon,CH05,CH00,RES,windon,,,,,CH05,600,inf,
CH06_pvrf,CH06,CH00,RES,pvrf,,,,,CH06,10000,inf,
CH06_windon,CH06,CH00,RES,windon,,,,,CH06,600,inf,
CH07_pvrf,CH07,CH00,RES,pvrf,,,,,CH07,10000,inf,
CH07_windon,CH07,CH00,RES,windon,,,,,CH07,600,inf,
CH00_CCGTresmethane,CH01,CH00,cap_op_energy,CCGTresmethane,,,,,CH01,7000,9422222.222,
CH00_SCGTresmethane,CH01,CH00,cap_op_energy,SCGTresmethane,,,,,CH01,7000,6222222.222,
CH00_CCGTCCS,CH01,CH00,cap_op_energy,CCGTCCS,,,,,CH01,7000,16920000,
CH00_SCGTfossil,CH01,CH00,cap_op_energy,SCGTfossil,,,,,CH01,7000,12600000,
CH00_battery,CH01,CH00,cap_op_energy,battery,,,,,CH01,5000,inf,
CH00_hydrogen,CH01,CH00,cap_op_energy,hydrogen,,,,,CH01,10000,inf,
CH00_nuclear,CH01,CH00,cap_op,nuclear,,,,,CH01,10000,inf,
