index,node,market,plant_type,tech,upperwn,lowerwn,eta,eta_pump,n_redispatch
AL00_battery,AL00,AL00,Conventional,battery,,,,,
AL00_gas,AL00,AL00,Conventional,gas,,,,,
AT00_battery,AT00,AT00,Conventional,battery,,,,,
AT00_dsr,AT00,AT00,Conventional,dsr,,,,,
AT00_gas,AT00,AT00,Conventional,gas,,,,,
AT00_biomass,AT00,AT00,Conventional,biomass,,,,,
BA00_battery,BA00,BA00,Conventional,battery,,,,,
BE00_battery,BE00,BE00,Conventional,battery,,,,,
BE00_dsr,BE00,BE00,Conventional,dsr,,,,,
BE00_gas,BE00,BE00,Conventional,gas,,,,,
BE00_oil,BE00,BE00,Conventional,oil,,,,,
BE00_biomass,BE00,BE00,Conventional,biomass,,,,,
BG00_battery,BG00,BG00,Conventional,battery,,,,,
BG00_gas,BG00,BG00,Conventional,gas,,,,,
BG00_biomass,BG00,BG00,Conventional,biomass,,,,,
CY00_battery,CY00,CY00,Conventional,battery,,,,,
CY00_dsr,CY00,CY00,Conventional,dsr,,,,,
CY00_gas,CY00,CY00,Conventional,gas,,,,,
CY00_biomass,CY00,CY00,Conventional,biomass,,,,,
CZ00_battery,CZ00,CZ00,Conventional,battery,,,,,
CZ00_gas,CZ00,CZ00,Conventional,gas,,,,,
CZ00_biomass,CZ00,CZ00,Conventional,biomass,,,,,
DE00_battery,DE00,DE00,Conventional,battery,,,,,
DE00_dsr,DE00,DE00,Conventional,dsr,,,,,
DE00_gas,DE00,DE00,Conventional,gas,,,,,
DE00_oil,DE00,DE00,Conventional,oil,,,,,
DE00_biomass,DE00,DE00,Conventional,biomass,,,,,
DEKF_battery,DEKF,DEKF,Conventional,battery,,,,,
DKE1_battery,DKE1,DKE1,Conventional,battery,,,,,
DKE1_gas,DKE1,DKE1,Conventional,gas,,,,,
DKE1_oil,DKE1,DKE1,Conventional,oil,,,,,
DKE1_biomass,DKE1,DKE1,Conventional,biomass,,,,,
DKKF_battery,DKKF,DKKF,Conventional,battery,,,,,
DKW1_battery,DKW1,DKW1,Conventional,battery,,,,,
DKW1_gas,DKW1,DKW1,Conventional,gas,,,,,
DKW1_oil,DKW1,DKW1,Conventional,oil,,,,,
DKW1_biomass,DKW1,DKW1,Conventional,biomass,,,,,
EE00_battery,EE00,EE00,Conventional,battery,,,,,
EE00_dsr,EE00,EE00,Conventional,dsr,,,,,
EE00_gas,EE00,EE00,Conventional,gas,,,,,
EE00_oil,EE00,EE00,Conventional,oil,,,,,
EE00_biomass,EE00,EE00,Conventional,biomass,,,,,
ES00_battery,ES00,ES00,Conventional,battery,,,,,
ES00_dsr,ES00,ES00,Conventional,dsr,,,,,
ES00_gas,ES00,ES00,Conventional,gas,,,,,
ES00_biomass,ES00,ES00,Conventional,biomass,,,,,
FI00_battery,FI00,FI00,Conventional,battery,,,,,
FI00_dsr,FI00,FI00,Conventional,dsr,,,,,
FI00_gas,FI00,FI00,Conventional,gas,,,,,
FI00_nuclear,FI00,FI00,Conventional,nuclear,,,,,
FI00_biomass,FI00,FI00,Conventional,biomass,,,,,
FR00_battery,FR00,FR00,Conventional,battery,,,,,
FR00_dsr,FR00,FR00,Conventional,dsr,,,,,
FR00_gas,FR00,FR00,Conventional,gas,,,,,
FR00_nuclear,FR00,FR00,Conventional,nuclear,,,,,
FR00_biomass,FR00,FR00,Conventional,biomass,,,,,
FR15_battery,FR15,FR15,Conventional,battery,,,,,
FR15_dsr,FR15,FR15,Conventional,dsr,,,,,
GR00_battery,GR00,GR00,Conventional,battery,,,,,
GR00_gas,GR00,GR00,Conventional,gas,,,,,
GR00_biomass,GR00,GR00,Conventional,biomass,,,,,
GR03_battery,GR03,GR03,Conventional,battery,,,,,
GR03_oil,GR03,GR03,Conventional,oil,,,,,
HR00_battery,HR00,HR00,Conventional,battery,,,,,
HR00_dsr,HR00,HR00,Conventional,dsr,,,,,
HR00_gas,HR00,HR00,Conventional,gas,,,,,
HR00_biomass,HR00,HR00,Conventional,biomass,,,,,
HU00_battery,HU00,HU00,Conventional,battery,,,,,
HU00_gas,HU00,HU00,Conventional,gas,,,,,
HU00_biomass,HU00,HU00,Conventional,biomass,,,,,
IE00_battery,IE00,IE00,Conventional,battery,,,,,
IE00_dsr,IE00,IE00,Conventional,dsr,,,,,
IE00_gas,IE00,IE00,Conventional,gas,,,,,
IE00_oil,IE00,IE00,Conventional,oil,,,,,
IE00_biomass,IE00,IE00,Conventional,biomass,,,,,
IT00_battery,IT00,IT00,Conventional,battery,,,,,
IT00_dsr,IT00,IT00,Conventional,dsr,,,,,
