index,node,market,plant_type,tech,upperwn,lowerwn,eta,eta_pump,n_redispatch
CH01_biomass,CH00,CH00,Conventional,biomass,,,,,
CH02_biomass,CH00,CH00,Conventional,biomass,,,,,
CH03_biomass,CH00,CH00,Conventional,biomass,,,,,
CH04_biomass,CH00,CH00,Conventional,biomass,,,,,
CH05_biomass,CH00,CH00,Conventional,biomass,,,,,
CH06_biomass,CH00,CH00,Conventional,biomass,,,,,
CH07_biomass,CH00,CH00,Conventional,biomass,,,,,
CH01_CCGTCCS,CH00,CH00,Conventional,CCGTCCS,,,,,
CH02_CCGTCCS,CH00,CH00,Conventional,CCGTCCS,,,,,
CH03_CCGTCCS,CH00,CH00,Conventional,CCGTCCS,,,,,
CH04_CCGTCCS,CH00,CH00,Conventional,CCGTCCS,,,,,
CH05_CCGTCCS,CH00,CH00,Conventional,CCGTCCS,,,,,
CH06_CCGTCCS,CH00,CH00,Conventional,CCGTCCS,,,,,
CH07_CCGTCCS,CH00,CH00,Conventional,CCGTCCS,,,,,
CH01_battery,CH00,CH00,Conventional,battery,,,,,
CH02_battery,CH00,CH00,Conventional,battery,,,,,
CH03_battery,CH00,CH00,Conventional,battery,,,,,
CH04_battery,CH00,CH00,Conventional,battery,,,,,
CH05_battery,CH00,CH00,Conventional,battery,,,,,
CH06_battery,CH00,CH00,Conventional,battery,,,,,
CH07_battery,CH00,CH00,Conventional,battery,,,,,
CH03_nuclear,CH00,CH00,Conventional,nuclear,,,,,
CH01_other,CH00,CH00,Conventional,other,,,,,
CH02_other,CH00,CH00,Conventional,other,,,,,
CH03_other,CH00,CH00,Conventional,other,,,,,
CH04_other,CH00,CH00,Conventional,other,,,,,
CH05_other,CH00,CH00,Conventional,other,,,,,
CH06_other,CH00,CH00,Conventional,other,,,,,
CH07_other,CH00,CH00,Conventional,other,,,,,
