name,node,tech,scenario,2030,2035,2040,2050
AL00_pvrf,AL00,pvrf,DistributedEnergy,795.0,1207.5,1620.0,1650.0
AL00_pvrf,AL00,pvrf,GlobalAmbition,795.0,1207.5,1620.0,1650.0
AL00_windon,AL00,windon,DistributedEnergy,595.0,1007.5,1420.0,1650.0
AL00_windon,AL00,windon,GlobalAmbition,595.0,1007.5,1420.0,1650.0
AT00_pvrf,AT00,pvrf,DistributedEnergy,18575.62,32479.375,46383.13,56486.37
AT00_pvrf,AT00,pvrf,GlobalAmbition,17369.09,28515.005,39660.92,50680.64
AT00_windon,AT00,windon,DistributedEnergy,11096.07,16342.795,21589.52,25306.9
AT00_windon,AT00,windon,GlobalAmbition,10270.85,14692.35,19113.85,22171.05
BA00_pvrf,BA00,pvrf,DistributedEnergy,1171.7,1981.45,2791.2,3239.0
BA00_pvrf,BA00,pvrf,GlobalAmbition,1171.7,1900.475,2629.25,3066.59
BA00_windon,BA00,windon,DistributedEnergy,3557.41,4705.235,5853.06,13221.06
BA00_windon,BA00,windon,GlobalAmbition,1951.8,2410.2,2868.6,2238.41
BE00_pvrf,BE00,pvrf,DistributedEnergy,17063.0,24733.955,32404.91,43305.43
BE00_pvrf,BE00,pvrf,GlobalAmbition,15566.6,19738.25,23909.9,28688.61
BE00_windof,BE00,windof,DistributedEnergy,4243.36,5115.18,5987.0,6862.67
BE00_windof,BE00,windof,GlobalAmbition,5345.08,5630.08,5915.08,6675.08
BE00_windon,BE00,windon,DistributedEnergy,5247.92,7053.465,8859.01,10440.0
BE00_windon,BE00,windon,GlobalAmbition,4910.42,6378.465,7846.51,9067.5
BG00_pvrf,BG00,pvrf,DistributedEnergy,9628.93,13717.64,17806.35,26957.07
BG00_pvrf,BG00,pvrf,GlobalAmbition,5670.52,8010.955,10351.39,13363.16
BG00_windof,BG00,windof,DistributedEnergy,0.0,0.0,0.0,134.8421
BG00_windof,BG00,windof,GlobalAmbition,354.9,532.35,709.8,709.8
BG00_windon,BG00,windon,DistributedEnergy,2504.93,5290.96,8076.99,12643.65
BG00_windon,BG00,windon,GlobalAmbition,2504.93,3523.735,4542.54,6656.0
CY00_pvrf,CY00,pvrf,DistributedEnergy,1540.44,1891.005,2241.57,3319.29
CY00_pvrf,CY00,pvrf,GlobalAmbition,1382.3,1684.65,1987.0,2385.51
CY00_windon,CY00,windon,DistributedEnergy,299.81,299.81,299.81,1117.5
CY00_windon,CY00,windon,GlobalAmbition,299.81,299.81,299.81,315.65
CZ00_pvrf,CZ00,pvrf,DistributedEnergy,9862.83,15842.08,21821.33,33983.13
CZ00_pvrf,CZ00,pvrf,GlobalAmbition,9288.8,12061.945,14835.09,19743.92
CZ00_windon,CZ00,windon,DistributedEnergy,5388.59,8487.975,11587.36,15149.95
