Item,2035_100_inv_EUbat,2035_100_inv_EUbat,2035_100_inv_EUbat,2035_090_inv_EUbat,2035_090_inv_EUbat,2035_090_inv_EUbat,2035_080_inv_EUbat,2035_080_inv_EUbat,2035_080_inv_EUbat,2035_070_inv_EUbat,2035_070_inv_EUbat,2035_070_inv_EUbat,2035_060_inv_EUbat,2035_060_inv_EUbat,2035_060_inv_EUbat,2035_050_inv_EUbat,2035_050_inv_EUbat,2035_050_inv_EUbat,2035_040_inv_EUbat,2035_040_inv_EUbat,2035_040_inv_EUbat,2035_030_inv_EUbat,2035_030_inv_EUbat,2035_030_inv_EUbat,2050_100_inv_EUbat,2050_100_inv_EUbat,2050_100_inv_EUbat,2050_090_inv_EUbat,2050_090_inv_EUbat,2050_090_inv_EUbat,2050_080_inv_EUbat,2050_080_inv_EUbat,2050_080_inv_EUbat,2050_070_inv_EUbat,2050_070_inv_EUbat,2050_070_inv_EUbat,2050_060_inv_EUbat,2050_060_inv_EUbat,2050_060_inv_EUbat,2050_050_inv_EUbat,2050_050_inv_EUbat,2050_050_inv_EUbat,2050_040_inv_EUbat,2050_040_inv_EUbat,2050_040_inv_EUbat,2050_030_inv_EUbat,2050_030_inv_EUbat,2050_030_inv_EUbat,2035_100_inv_CHbat,2035_100_inv_CHbat,2035_100_inv_CHbat,2035_090_inv_CHbat,2035_090_inv_CHbat,2035_090_inv_CHbat,2035_080_inv_CHbat,2035_080_inv_CHbat,2035_080_inv_CHbat,2035_070_inv_CHbat,2035_070_inv_CHbat,2035_070_inv_CHbat,2035_060_inv_CHbat,2035_060_inv_CHbat,2035_060_inv_CHbat,2035_050_inv_CHbat,2035_050_inv_CHbat,2035_050_inv_CHbat,2035_040_inv_CHbat,2035_040_inv_CHbat,2035_040_inv_CHbat,2035_030_inv_CHbat,2035_030_inv_CHbat,2035_030_inv_CHbat,2050_100_inv_CHbat,2050_100_inv_CHbat,2050_100_inv_CHbat,2050_090_inv_CHbat,2050_090_inv_CHbat,2050_090_inv_CHbat,2050_080_inv_CHbat,2050_080_inv_CHbat,2050_080_inv_CHbat,2050_070_inv_CHbat,2050_070_inv_CHbat,2050_070_inv_CHbat,2050_060_inv_CHbat,2050_060_inv_CHbat,2050_060_inv_CHbat,2050_050_inv_CHbat,2050_050_inv_CHbat,2050_050_inv_CHbat,2050_040_inv_CHbat,2050_040_inv_CHbat,2050_040_inv_CHbat,2050_030_inv_CHbat,2050_030_inv_CHbat,2050_030_inv_CHbat,2035_070_inv_EUbat_bcf081,2035_070_inv_EUbat_bcf081,2035_070_inv_EUbat_bcf081,2035_070_inv_EUbat_bcf083,2035_070_inv_EUbat_bcf083,2035_070_inv_EUbat_bcf083,2035_070_inv_EUbat_bcf086,2035_070_inv_EUbat_bcf086,2035_070_inv_EUbat_bcf086,2035_070_inv_EUbat_bcf088,2035_070_inv_EUbat_bcf088,2035_070_inv_EUbat_bcf088,2035_070_inv_EUbat_bcf090,2035_070_inv_EUbat_bcf090,2035_070_inv_EUbat_bcf090,2035_070_inv_EUbat_bcf093,2035_070_inv_EUbat_bcf093,2035_070_inv_EUbat_bcf093,2035_070_inv_EUbat_bcf095,2035_070_inv_EUbat_bcf095,2035_070_inv_EUbat_bcf095,2035_070_inv_EUbat_bcf098,2035_070_inv_EUbat_bcf098,2035_070_inv_EUbat_bcf098,2035_070_inv_EUbat_bcf100,2035_070_inv_EUbat_bcf100,2035_070_inv_EUbat_bcf100,2035_070_inv_EUbat_bcf102,2035_070_inv_EUbat_bcf102,2035_070_inv_EUbat_bcf102,2035_070_inv_EUbat_bcf105,2035_070_inv_EUbat_bcf105,2035_070_inv_EUbat_bcf105,2050_070_inv_EUbat_bcf094,2050_070_inv_EUbat_bcf094,2050_070_inv_EUbat_bcf094,2050_070_inv_EUbat_bcf097,2050_070_inv_EUbat_bcf097,2050_070_inv_EUbat_bcf097,2050_070_inv_EUbat_bcf100,2050_070_inv_EUbat_bcf100,2050_070_inv_EUbat_bcf100,2050_070_inv_EUbat_bcf103,2050_070_inv_EUbat_bcf103,2050_070_inv_EUbat_bcf103,2050_070_inv_EUbat_bcf106,2050_070_inv_EUbat_bcf106,2050_070_inv_EUbat_bcf106,2050_070_inv_EUbat_bcf108,2050_070_inv_EUbat_bcf108,2050_070_inv_EUbat_bcf108,2050_070_inv_EUbat_bcf111,2050_070_inv_EUbat_bcf111,2050_070_inv_EUbat_bcf111,2050_070_inv_EUbat_bcf114,2050_070_inv_EUbat_bcf114,2050_070_inv_EUbat_bcf114,2050_070_inv_EUbat_bcf117,2050_070_inv_EUbat_bcf117,2050_070_inv_EUbat_bcf117,2050_070_inv_EUbat_bcf119,2050_070_inv_EUbat_bcf119,2050_070_inv_EUbat_bcf119,2050_070_inv_EUbat_bcf122,2050_070_inv_EUbat_bcf122,2050_070_inv_EUbat_bcf122
sub_secn,wy1995,wy2008,wy2009,wy1995,wy2008,wy2009,wy1995,wy2008,wy2009,wy1995,wy2008,wy2009,wy1995,wy2008,wy2009,wy1995,wy2008,wy2009,wy1995,wy2008,wy2009,wy1995,wy2008,wy2009,wy1995,wy2008,wy2009,wy1995,wy2008,wy2009,wy1995,wy2008,wy2009,wy1995,wy2008,wy2009,wy1995,wy2008,wy2009,wy1995,wy2008,wy2009,wy1995,wy2008,wy2009,wy1995,wy2008,wy2009,wy1995,wy2008,wy2009,wy1995,wy2008,wy2009,wy1995,wy2008,wy2009,wy1995,wy2008,wy2009,wy1995,wy2008,wy2009,wy1995,wy2008,wy2009,wy1995,wy2008,wy2009,wy1995,wy2008,wy2009,wy1995,wy2008,wy2009,wy1995,wy2008,wy2009,wy1995,wy2008,wy2009,wy1995,wy2008,wy2009,wy1995,wy2008,wy2009,wy1995,wy2008,wy2009,wy1995,wy2008,wy2009,wy1995,wy2008,wy2009,wy1995,wy2008,wy2009,wy1995,wy2008,wy2009,wy1995,wy2008,wy2009,wy1995,wy2008,wy2009,wy1995,wy2008,wy2009,wy1995,wy2008,wy2009,wy1995,wy2008,wy2009,wy1995,wy2008,wy2009,wy1995,wy2008,wy2009,wy1995,wy2008,wy2009,wy1995,wy2008,wy2009,wy1995,wy2008,wy2009,wy1995,wy2008,wy2009,wy1995,wy2008,wy2009,wy1995,wy2008,wy2009,wy1995,wy2008,wy2009,wy1995,wy2008,wy2009,wy1995,wy2008,wy2009,wy1995,wy2008,wy2009,wy1995,wy2008,wy2009,wy1995,wy2008,wy2009,wy1995,wy2008,wy2009
comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
weight_in_objective_fcn,0.33,0.33,0.34,0.33,0.33,0.34,0.33,0.33,0.34,0.33,0.33,0.34,0.33,0.33,0.34,0.33,0.33,0.34,0.33,0.33,0.34,0.33,0.33,0.34,0.33,0.33,0.34,0.33,0.33,0.34,0.33,0.33,0.34,0.33,0.33,0.34,0.33,0.33,0.34,0.33,0.33,0.34,0.33,0.33,0.34,0.33,0.33,0.34,0.33,0.33,0.34,0.33,0.33,0.34,0.33,0.33,0.34,0.33,0.33,0.34,0.33,0.33,0.34,0.33,0.33,0.34,0.33,0.33,0.34,0.33,0.33,0.34,0.33,0.33,0.34,0.33,0.33,0.34,0.33,0.33,0.34,0.33,0.33,0.34,0.33,0.33,0.34,0.33,0.33,0.34,0.33,0.33,0.34,0.33,0.33,0.34,0.33,0.33,0.34,0.33,0.33,0.34,0.33,0.33,0.34,0.33,0.33,0.34,0.33,0.33,0.34,0.33,0.33,0.34,0.33,0.33,0.34,0.33,0.33,0.34,0.33,0.33,0.34,0.33,0.33,0.34,0.33,0.33,0.34,0.33,0.33,0.34,0.33,0.33,0.34,0.33,0.33,0.34,0.33,0.33,0.34,0.33,0.33,0.34,0.33,0.33,0.34,0.33,0.33,0.34,0.33,0.33,0.34,0.33,0.33,0.34,0.33,0.33,0.34,0.33,0.33,0.34
NTC_CH_ratio,1,1,1,0.9,0.9,0.9,0.8,0.8,0.8,0.7,0.7,0.7,0.6,0.6,0.6,0.5,0.5,0.5,0.4,0.4,0.4,0.3,0.3,0.3,1,1,1,0.9,0.9,0.9,0.8,0.8,0.8,0.7,0.7,0.7,0.6,0.6,0.6,0.5,0.5,0.5,0.4,0.4,0.4,0.3,0.3,0.3,1,1,1,0.9,0.9,0.9,0.8,0.8,0.8,0.7,0.7,0.7,0.6,0.6,0.6,0.5,0.5,0.5,0.4,0.4,0.4,0.3,0.3,0.3,1,1,1,0.9,0.9,0.9,0.8,0.8,0.8,0.7,0.7,0.7,0.6,0.6,0.6,0.5,0.5,0.5,0.4,0.4,0.4,0.3,0.3,0.3,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
weather_year,1995,2008,2009,1995,2008,2009,1995,2008,2009,1995,2008,2009,1995,2008,2009,1995,2008,2009,1995,2008,2009,1995,2008,2009,1995,2008,2009,1995,2008,2009,1995,2008,2009,1995,2008,2009,1995,2008,2009,1995,2008,2009,1995,2008,2009,1995,2008,2009,1995,2008,2009,1995,2008,2009,1995,2008,2009,1995,2008,2009,1995,2008,2009,1995,2008,2009,1995,2008,2009,1995,2008,2009,1995,2008,2009,1995,2008,2009,1995,2008,2009,1995,2008,2009,1995,2008,2009,1995,2008,2009,1995,2008,2009,1995,2008,2009,1995,2008,2009,1995,2008,2009,1995,2008,2009,1995,2008,2009,1995,2008,2009,1995,2008,2009,1995,2008,2009,1995,2008,2009,1995,2008,2009,1995,2008,2009,1995,2008,2009,1995,2008,2009,1995,2008,2009,1995,2008,2009,1995,2008,2009,1995,2008,2009,1995,2008,2009,1995,2008,2009,1995,2008,2009,1995,2008,2009,1995,2008,2009,1995,2008,2009
run_year,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2035,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050
t_start,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553
t_end,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552
electrolyzer_demand_reduction_coefficient,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
flexible_household_heatpump_share,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
