P,value
bt_ID161,bt
bt_ID162,bt
bt_ID163,bt
bt_ID164,bt
bt_ID165,bt
bt_ID166,bt
bt_ID167,bt
bt_ID168,bt
bt_ID169,bt
bt_ID170,bt
bt_ID171,bt
bt_ID172,bt
bt_ID173,bt
bt_ID174,bt
bt_ID175,bt
bt_ID176,bt
bt_ID177,bt
bt_ID178,bt
bt_ID179,bt
bt_ID180,bt
bt_ID181,bt
bt_ID182,bt
bt_ID183,bt
bt_ID184,bt
bt_ID185,bt
bt_ID186,bt
bt_ID187,bt
bt_ID188,bt
bt_ID189,bt
bt_ID190,bt
bt_ID191,bt
bt_ID192,bt
bt_ID193,bt
bt_ID194,bt
bt_ID195,bt
bt_ID196,bt
bt_ID197,bt
bt_ID198,bt
bt_ID199,bt
bt_ID200,bt
bt_ID201,bt
bt_ID202,bt
bt_ID203,bt
bt_ID204,bt
bt_ID205,bt
bt_ID206,bt
bt_ID207,bt
bt_ID208,bt
bt_ID209,bt
bt_ID210,bt
bt_ID211,bt
bt_ID212,bt
bt_ID213,bt
bt_ID214,bt
bt_ID215,bt
bt_ID216,bt
bt_ID217,bt
bt_ID218,bt
bt_ID219,bt
bt_ID220,bt
bt_ID221,bt
bt_ID222,bt
bt_ID223,bt
bt_ID224,bt
bt_ID225,bt
bt_ID226,bt
bt_ID227,bt
bt_ID228,bt
bt_ID229,bt
bt_ID230,bt
bt_ID231,bt
bt_ID232,bt
bt_ID233,bt
bt_ID234,bt
bt_ID235,bt
bt_ID236,bt
bt_ID237,bt
bt_ID238,bt
bt_ID239,bt
bt_ID240,bt
bt_ID241,bt
bt_ID242,bt
bt_ID243,bt
bt_ID244,bt
bt_ID245,bt
bt_ID246,bt
bt_ID247,bt
bt_ID248,bt
bt_ID249,bt
bt_ID250,bt
bt_ID251,bt
bt_ID252,bt
bt_ID253,bt
bt_ID254,bt
bt_ID255,bt
bt_ID256,bt
bt_ID257,bt
bt_ID258,bt
bt_ID259,bt
bt_ID260,bt
bt_ID261,bt
bt_ID262,bt
bt_ID263,bt
bt_ID264,bt
bt_ID265,bt
bt_ID266,bt
bt_ID267,bt
bt_ID268,bt
bt_ID269,bt
bt_ID270,bt
bt_ID271,bt
bt_ID272,bt
bt_ID273,bt
bt_ID274,bt
bt_ID275,bt
bt_ID276,bt
bt_ID277,bt
bt_ID278,bt
bt_ID279,bt
bt_ID280,bt
bt_ID281,bt
bt_ID282,bt
bt_ID283,bt
bt_ID284,bt
bt_ID285,bt
bt_ID286,bt
bt_ID287,bt
bt_ID288,bt
bt_ID289,bt
bt_ID290,bt
bt_ID291,bt
bt_ID292,bt
bt_ID293,bt
bt_ID294,bt
bt_ID295,bt
bt_ID296,bt
bt_ID297,bt
bt_ID298,bt
bt_ID299,bt
bt_ID300,bt
hp_ID101,hp
hp_ID102,hp
hp_ID103,hp
hp_ID104,hp
hp_ID105,hp
hp_ID106,hp
hp_ID107,hp
hp_ID108,hp
hp_ID109,hp
hp_ID110,hp
hp_ID111,hp
hp_ID112,hp
hp_ID113,hp
hp_ID114,hp
hp_ID115,hp
hp_ID116,hp
hp_ID117,hp
hp_ID118,hp
hp_ID119,hp
hp_ID120,hp
hp_ID121,hp
hp_ID122,hp
hp_ID123,hp
hp_ID124,hp
hp_ID125,hp
hp_ID126,hp
hp_ID127,hp
hp_ID128,hp
hp_ID129,hp
hp_ID130,hp
hp_ID131,hp
hp_ID132,hp
hp_ID133,hp
hp_ID134,hp
hp_ID135,hp
hp_ID136,hp
hp_ID137,hp
hp_ID138,hp
hp_ID139,hp
hp_ID140,hp
hp_ID141,hp
hp_ID142,hp
hp_ID143,hp
hp_ID144,hp
hp_ID145,hp
hp_ID146,hp
hp_ID147,hp
hp_ID148,hp
hp_ID149,hp
hp_ID150,hp
hp_ID151,hp
hp_ID152,hp
hp_ID153,hp
hp_ID154,hp
hp_ID155,hp
hp_ID156,hp
hp_ID157,hp
hp_ID158,hp
hp_ID159,hp
hp_ID160,hp
hp_ID161,hp
hp_ID162,hp
hp_ID163,hp
hp_ID164,hp
hp_ID165,hp
hp_ID166,hp
hp_ID167,hp
hp_ID168,hp
hp_ID169,hp
hp_ID170,hp
hp_ID171,hp
hp_ID172,hp
hp_ID173,hp
hp_ID174,hp
hp_ID175,hp
hp_ID176,hp
hp_ID177,hp
hp_ID178,hp
hp_ID179,hp
hp_ID180,hp
hp_ID181,hp
hp_ID182,hp
hp_ID183,hp
hp_ID184,hp
hp_ID185,hp
hp_ID186,hp
hp_ID187,hp
hp_ID188,hp
hp_ID189,hp
hp_ID190,hp
hp_ID191,hp
hp_ID192,hp
hp_ID193,hp
hp_ID194,hp
hp_ID195,hp
hp_ID196,hp
hp_ID197,hp
hp_ID198,hp
hp_ID199,hp
hp_ID200,hp
hp_ID201,hp
hp_ID202,hp
hp_ID203,hp
hp_ID204,hp
hp_ID205,hp
hp_ID206,hp
hp_ID207,hp
hp_ID208,hp
hp_ID209,hp
hp_ID210,hp
hp_ID211,hp
hp_ID212,hp
hp_ID213,hp
hp_ID214,hp
hp_ID215,hp
hp_ID216,hp
hp_ID217,hp
hp_ID218,hp
hp_ID219,hp
hp_ID220,hp
hp_ID221,hp
hp_ID222,hp
hp_ID223,hp
hp_ID224,hp
hp_ID225,hp
hp_ID226,hp
hp_ID227,hp
hp_ID228,hp
hp_ID229,hp
hp_ID230,hp
hp_ID231,hp
hp_ID232,hp
hp_ID233,hp
hp_ID234,hp
hp_ID235,hp
hp_ID236,hp
hp_ID237,hp
hp_ID238,hp
hp_ID239,hp
hp_ID240,hp
hp_ID241,hp
hp_ID242,hp
hp_ID243,hp
hp_ID244,hp
hp_ID245,hp
hp_ID246,hp
hp_ID247,hp
hp_ID248,hp
hp_ID249,hp
hp_ID250,hp
hp_ID251,hp
hp_ID252,hp
hp_ID253,hp
hp_ID254,hp
hp_ID255,hp
hp_ID256,hp
hp_ID257,hp
hp_ID258,hp
hp_ID259,hp
hp_ID260,hp
hp_ID261,hp
hp_ID262,hp
hp_ID263,hp
hp_ID264,hp
hp_ID265,hp
hp_ID266,hp
hp_ID267,hp
hp_ID268,hp
hp_ID269,hp
hp_ID270,hp
hp_ID271,hp
hp_ID272,hp
hp_ID273,hp
hp_ID274,hp
hp_ID275,hp
hp_ID276,hp
hp_ID277,hp
hp_ID278,hp
hp_ID279,hp
hp_ID280,hp
hp_ID281,hp
hp_ID282,hp
hp_ID283,hp
hp_ID284,hp
hp_ID285,hp
hp_ID286,hp
hp_ID287,hp
hp_ID288,hp
hp_ID289,hp
hp_ID290,hp
hp_ID291,hp
hp_ID292,hp
hp_ID293,hp
hp_ID294,hp
hp_ID295,hp
hp_ID296,hp
hp_ID297,hp
hp_ID298,hp
hp_ID299,hp
hp_ID300,hp
hp_ID96,hp
hp_ID97,hp
hp_ID98,hp
hp_ID99,hp
v1g_ID100,v1g
v1g_ID101,v1g
v1g_ID102,v1g
v1g_ID103,v1g
v1g_ID104,v1g
v1g_ID105,v1g
v1g_ID106,v1g
v1g_ID107,v1g
v1g_ID108,v1g
v1g_ID109,v1g
v1g_ID110,v1g
v1g_ID111,v1g
v1g_ID112,v1g
v1g_ID113,v1g
v1g_ID114,v1g
v1g_ID115,v1g
v1g_ID116,v1g
v1g_ID117,v1g
v1g_ID118,v1g
v1g_ID119,v1g
v1g_ID120,v1g
v1g_ID121,v1g
v1g_ID122,v1g
v1g_ID123,v1g
v1g_ID124,v1g
v1g_ID125,v1g
v1g_ID126,v1g
v1g_ID127,v1g
v1g_ID128,v1g
v1g_ID129,v1g
v1g_ID130,v1g
v1g_ID131,v1g
v1g_ID132,v1g
v1g_ID133,v1g
v1g_ID134,v1g
